title,Батарея менеджери Lite башкача
rem_apps,Колдонмолордун керексиз иштешине жана батареяңыздын түгөнүп калышына жол бербөө үчүн мындан ары колдонбогон колдонмолорду чыгарып салыңыз
uninst_apps,Колдонмолорду чыгарып салуу
stat,Баштоо
act_eng_save,Батареяны керектөө үчүн энергияны үнөмдөө режимин иштетиңиз
pow_save,Энергияны үнөмдөө режими
tempe,Температура
heal,Ден соолук
tips,Кеңештер жана ыкмалар менен батареяңызды жакшы абалда сактаңыз.
recomm,Сунуштар
prem,Премиум
more_func,Сиз үчүн көбүрөөк функциялар. Премиум алыңыз, көбүрөөк алыңыз.
more,Дагы
ur_cond_bat,Батареянын абалы
ur_bat_life,Батареяңыздын иштөө мөөнөтү
ur_bat_temp,Сиздин батареянын температурасы
wow,Мыкты
normal,Кадимки
poor,Начар
days,күндөр
mins,Мүнөттөр
hrs,Саат
chging,Заряддоо
ful,Толук
dis_chrg,Заряддоо
unkn,Белгисиз
too_lit,Өтө аз Батарея дайындары
car_any,Эмнеси болсо да аткар
endz_,Аягы
dig_any,Жакшыраак диагностикалык натыйжаларды алуу үчүн, колдонмо батарейкаңызды фондо анализдеп чыгышы керек. Сураныч, диагнозду 24 сааттан кийин баштаңыз
end_dig,Акыркы диагноз
quit_dig,Диагноздон баш тартыңыз
batty_temp,Батареянын температурасы
akku_manager,Акку менеджери
u_agree,"START" менен сиз маалыматтарды коргоо эрежелерине макул болосуз
elemn_opti,Элементтер оптималдаштырылышы мүмкүн
looks_good,Баары жакшы көрүнөт
optimize_,Оптималдаштыруу
toolz_,Куралдар
akku_check,Акку текшерүү
ctrl_load,Башкарылган жүктөө
mng_apps,Колдонмолорду башкаруу
infosm,Маалымат
tenzion,чыңалуу
electy,электр энергиясы
lvl,Деңгээл
akku_man_premium,Akku Manager Premium
premimum_highlight,Батарея башкаргычын толугу менен жарнамасыз колдонуңуз жана сиз колдонуучу интерфейсинин кеңири ыңгайлаштыруу мүмкүнчүлүгүнө ээ болосуз.
design,Дизайн
subjs,предметтер
genrally,Жалпысынан
temp_unit,Температура бирдиги
oth_apps,Башка тиркемелер
dat_protect,Маалыматтарды коргоо
thx_akku,Акку менеджерин премиум версиясын сатып алууда колдогонуңуз үчүн рахмат.
user_got_pre,Эми сизде колдонуучу интерфейсин жана жарнамасыз колдонууну кеңири ыңгайлаштыруу мүмкүнчүлүгү бар.
exp_more,Келечектеги жаңыртууларда көбүрөөк функцияларды күтсөңүз болот
ap_optimiz,Колдонмону оптималдаштыруу
sys_bat_usage,Системанын батареясын керектөө
bat_usage_det,Батареяны колдонуу чоо-жайы
end_optiz,Оптималдаштырууну бүтүрүү
abort,Токтотуу
break_up,ажырашуу
scn,сканерлөө
scn_bgh,Экран жарыктыгы
dact_wlan,WLANды өчүрүү
dact_save_batt,Батареяны үнөмдөө үчүн өчүрүңүз
dact,Өчүрүү
dact_ble,bluetooth өчүрүү
red_brigh,Жарыктыкты азайтыңыз
bright_txt,Батареяны үнөмдөө үчүн дисплейдин жарыктыгын азайтыңыз
to_reduce,азайтуу үчүн
dact_gps,GPS өчүрүү
appz_optimz,Колдонмолор оптималдаштырылган
start_bat_check_det,Ар дайым коопсуз тарапта болуу үчүн батарейканын толук текшерүүсүн баштаңыз
act_eng_save,Батареяны сарптоо үчүн энергияны үнөмдөө режимин иштетиңиз
remove_useless,Колдонулбай калган колдонмолорду чыгарып салыңыз
premium,Премиум
clear_mem,Эстутумду тазалоо
clear_mem_des,Смартфонуңуз тез жана үзгүлтүксүз иштеши үчүн.
clenaup,Тазалоо
rat,рейтинг
rat_free,Батарея менеджерин акысыз баалаңыз
sendz,Жөнөтүү
elmn_found,Элементтер табылган
drumz,барабандар
status,Статус
end_akk_check,Батареяны текшерүүнү бүтүрүү
bat_detlz,Батареянын чоо-жайы
temp_checked,Температура текшерилет
cond_checked,Батареянын абалы текшерилет
checkz_start,Батареяны текшерүү башталат
plug_in,Кошулган
techz,Технология
coldz,Суук
until,чейин
well,жакшы
ovr_heat,Ашыкча ысып кетүү
ovr_load,Ашыкча жүктөө
renam,атын өзгөрткөн
not_def,аныкталган эмес
chrgz,Заряддоо
full,Толук
unloadz,түшүрүү
not_charge_unkn,төлөнбөйт же белгисиз
usb,USB
charger,заряддагыч
wless,зымсыз
not_at_al,эч нерсе эмес
uninstall,Чыгаруу
update,Жаңыртуу
setting,Орнотуулар
app,Колдонмолор
not_found,Колдонмо табылган жок
search,Колдонмолорду издөө
version_code,Версия коду
api_level,API деңгээли
app_version,Колдонмо версиясы
authorization,уруксат
open,ачуу
play_store,Play Store
control,контролдоо
systemstandart,Системалык стандарт
white,Ак
dark,Караңгы
ocean,Океан
black,Кара
dark_blue,Кара көк
excellent,Мыкты
bad,Жаман
battery_bad,Батарея бир аз бузулган
very_bad,Абдан жаман
battery_damaged,Батарея бузулган
custom_mode,Ыңгайлаштырылган режим
brightness,Жарыктык
automatic_brightness,Автоматтык жарыктык
normal,Кадимки
sound_modus,Үн режими
tone_work,Бардык тондор иштейт
mute,Үнсүз
call_note_mute,Чалуулар жана эскертмелер үнү өчүрүлөт
not_bother,убара болбо
tones_vibration_mute,Ойготкучтун обондорунан башка обондорду жана дирилдөөлөрдү өчүрүңүз
sound,Үндөр
music,музыка
notification,Эскертме
alarm,Ойготкуч
ultra_saving,Ультра энергия үнөмдөө режими
edit,Түзөтүү үчүн
disable_ultra_saving,Ультра энергияны үнөмдөө режимин өчүрүү
min_remaining,мин калды
hours,саат
activted_ultra_saving,Ультра энергия үнөмдөө режими иштетилди
charged_in,жылы заряддалган
min,мин
limit_power,Энергияны керектөөнү чектөө
reduce_screen,Экран жарыктыгын азайтыңыз
restrict_bg_act_explain,Фондук аракеттерди чектөө
volatge_check,Чыңалуу текшерилет
software_optimized,Программалык камсыздоо оптималдаштырылган
connect_charger,Заряддагычты туташтырыңыз
charger_removed,Заряддагычты алып салса болот
power_consump_title,Энергияны керектөө
srcn_bg_title,Экран жарыктыгы
bg_al_activities,Фондук иш-чаралар
sftware,Программалык камсыздоо
get_primium,Эгер сиз премиум версиясын сатып алсаңыз, сиз учурдагы бардык функцияларды, ошондой эле келечекте бардык жаңы функцияларды аласыз.
cuztomize_face,Колдонуучу интерфейсин ыңгайлаштыруу
comp_scheme,Батарея менеджериңиздин түс схемасын ар кандай темалардан түзүңүз.
bat_check_detail,Батареяны толук текшерүү
check_cond_test,Ар дайым коопсуз тарапта болуу үчүн батареяңыздын абалын текшерүү үчүн Батарея менеджерин колдонуңуз.
no_ads_yo,Эч кандай жарнама
use_explain_noads,Батарея менеджерин эч кандай жарнамасыз колдонуңуз
act_energy_save,Өзгөчө кырдаалда батареянын иштөө мөөнөтүн узартуу үчүн энергияны үнөмдөө режимин иштетиңиз.
buy_title,Premium сатып алыңыз
loc_title,Жайгашкан жер
cap_title,кубаттуулугу
cap_remain,Калган кубаттуулук
sleepy,Уйку
sek,секунд
sing_min,Мүнөт
miniotes,Мүнөттөр
finish,Бүттү
mobi_data,мобилдик маалымат
plz_rate,Сураныч, Play Store'до Батарея башкаргычына баа бериңиз
ur_data_cus,Жарнамаларды сизге ылайыкташтыруу үчүн дайындарыңызды колдоно берсек болобу?
in_slep_mode,Уйку режиминде
in_use,Колдонууда
with_curr_pow,Учурдагы электр энергиясын керектөө менен
rem_bat_life,Батареянын иштөө мөөнөтү
qck_acc,Ыкчам жетүү
notif_txt,билдирүү
notif_at,Кабарлоо
chg_curr,Заряддоо ток
charge_perm,Заряддоо көрсөткүчү
maxi_charge_per,Максималдуу заряддоо көрсөткүчү
enb_notif,Билдирүүнү иштетүү
perm_send_notif,Батарея менеджери эскертме жөнөтүү үчүн уруксатты талап кылат, ал түзмөктүн жөндөөлөрүндө жандырылышы керек.
to_set,Орнотууларга
title_autost,Autostart иштетүү
auto_explain,Батареянын абалын сурап, эскертме жөнөтүү үчүн Батарея менеджери фондо иштетилген бойдон калууга уруксатты талап кылат.
sync_auto,Автоматтык түрдө синхрондоштуруу
dis_auto_sync,Автоматтык синхрондоштурууну өчүрүү ойгонууларды кыйла азайтат. Бирок, электрондук почтаны алуу сыяктуу кээ бир функциялар жоголот.
chg_lim,Заряддын чеги
avoid_ful_explain,Эгерде сиз батареяңызды максималдуу түрдө заряддасаңыз же аны өчүрүлгөнгө чейин зарядсыздандырсаңыз, батареянын абалы жана иштөө мөөнөтү кыскарат. Төмөндө сиз батарейканын минималдуу жана максималдуу зарядын же разрядын орното аласыз жана чектик мааниге жеткен сайын сизге кабар берилет. Батареяңызды толук заряддоодон жана зарядсыздандыруудан качыңыз жана батареянын иштөө мөөнөтүн узартыңыз.
rec_notif,Билдирме алган жоксузбу?
title_allow_bg_act,Фондук аракеттерге уруксат берүү
allow_bg_act,Батарея башкаргычын операциялык тутум тарабынан кокустан жабылбастан, чектөөсүз колдоно алышыңыз үчүн, сиз жөндөөлөрдөгү батареяны башкаруу жана батареяны колдонуу боюнча атайын функцияларды өчүрүшүңүз керек болушу мүмкүн. Анткени ар кандай өндүрүүчүлөр колдонулган операциялык тутумга жараша бул параметрлерди белгилөөдө айырмаланат. Колдонмо маалымат аймагында Уйку же Батарея астынан Чектөө жок же Фондук аракетке уруксат бериңизди тандаңыз.
dev_usage,Түзмөктүн колдонулушу
dep_sleep,Терең уйку – бул түзмөгүңүз эң аз батареяны колдонуп жаткан абал. Терең уйкунун узактыгы энергияны үнөмдөөгө оң таасирин тийгизет. Терең уйку фондук тапшырмалар менен үзгүлтүккө учурашы мүмкүн, бул батареянын зарядын тезирээк бүтүрөт. Бул учурда, аппаратыңызды өчүрүп күйгүзүңүз.
title_bat_temp,Батареянын температурасы
bat_tempp,Батареянын температурасы эң маанилүү факторлордун бири. Батарея гелди жогорку температурада сактаса, бул батареянын иштөө мөөнөтүнө да, иштешине да таасирин тийгизет. Температура көтөрүлсө, батареянын ички түзүмү бузулушу мүмкүн.
rdc_brightness,Экран жарыктыгын азайтыңыз
display_explain,Дисплей энергиянын көп бөлүгүн керектеген компоненттердин бири. Максималдуу жарыктыкты азайтуу жалпы керектөөнү азайтууга жана байкаларлык үнөмдөөгө жетишүүгө жардам берет. Жарыктыкты азайтаардан мурун, жарыктык керексиз өзгөртүлбөшү үчүн, автоматтык жарыктыкты өчүрүңүз.
tst_charge,Сынак заряддагыч
best_way_test,Заряддоочу түзүлүштү жана кабелди сынап көрүүнүн эң жакшы жолу - экран өчүк болгондо кубаттоо ылдамдыгын текшерүү. Экран күйүп турганда кубаттоо ылдамдыгы жакшы көрсөткүч эмес, анткени телефонуңуз кубаттуулукту керектеп жатат, бул термелүүлөрдү жаратат. Заряддоо түзүлүшкө сайып, экранды бир нече мүнөткө өчүрүп, андан кийин максималдуу заряддын агымын текшериңиз.
wait_title,Күтүү
rfsh_rate,Жаңыртуу ылдамдыгы
low_sizty,Жаңыртуу ылдамдыгын 60 Гц чейин төмөндөтүү батареянын иштөө мөөнөтүн жакшыртат.
drk_mode,Караңгы режим
acti_dark_mode,Караңгы режимди иштетиңиз, Караңгы режимде энергия азыраак керектелет
actz,Иштетүү
poz,Күч
minz,Минималдуу
avgo,Орточо
mixi1,Максималдуу
msg_dis,Диаграмманы толук көрсөтүү үчүн маалымат жетиштүү болсо, билдирүү 24 сааттан кийин жок болот.
no_enough,Көрсөтүү үчүн маалымат жетишсиз
log_graph,Бир нече сааттан кийин бул жерде сиз батареянын температурасын, чыңалуусун, токтун күчүн жана акыркы 24 сааттын деңгээлин текшерүүгө мүмкүндүк берген графикти көрөсүз.
week,жума
buy_it,Сатып алуу
one_pur,бир жолку төлөм
refun_pur,сатып алуу 2 сааттын ичинде кайтарылып берилиши мүмкүн.
each_month,Жазылуу ай сайын автоматтык түрдө жаңыртылып, ай сайын баасы көтөрүлөт. Жазылууну каалаган убакта жокко чыгарса болот.
mng_subs,жазылууну башкаруу
subsci,жазылуу
will_cost_week,Жазылуу жума сайын автоматтык түрдө жаңырып турат жана баасы жумасына көтөрүлөт. Жазылууну каалаган убакта жокко чыгарса болот.
lfllong,өмүр бою
mthly,ай сайын
wkly,Апта сайын
hoto,Ысык
prm_ben_title,Премиум артыкчылыктары
sync_title,Синхрондоштуруу
dis_sync_inc,Шайкештирүүнү өчүрүү кызматтарды фондо шайкештирбестен, батареянын иштөө мөөнөтүн көбөйтөт
time_out,Убакыт бүттү
dec_extend,Дисплей өчүп калганга чейинки убакытты кыскартуу батареянын иштөө мөөнөтүн узартат
u_end_opti,Оптималдаштыруу процессин чын эле бүтүргүңүз келеби?
no_why_perm,Уруксат жок
bright_exp,Батарея менеджери экран жарыктыгын азайтуу же Bluetooth өчүрүү үчүн тутум жөндөөлөрүн өзгөртүү уруксатын талап кылат.
tg_title,Telegram каналга кошулуңуз!
tg_text,Колдонмонун жаңыртуулары менен жаңыртып туруңуз, алгачкы курамдарды алыңыз жана жаңы функцияларды сынап көрүңүз. Идеяларыңызды сунуштаңыз, суроолорду бериңиз жана тезирээк жооп алыңыз
join_tg,кошулуу
curr_consumption,учурдагы керектөө
scrn_onn,экран күйүк
srcn_off,экран өчүрүү
mob_charg,Заряддоо
discha,Заряддоо
activea,Активдүү
slpmode,Уйку режими
chagingspeed,Учурдагы заряддоо ылдамдыгы
dta_proxt,Маалыматтарды коргоо
governs,Бул купуялык саясаты Baxolino тарабынан түзүлгөн мобилдик түзмөктөр үчүн Battery Manager программалык тиркемесин колдонууңузду башкарат.
info_u_provide,Колдонуучу тарабынан берилген маалымат
no_pass_per,Биз жеке маалыматтарды үчүнчү жактарга бербейбиз. Бизге электрондук кат жөнөткөнүңүздө, биз сиздин электрондук почтаңыздын дарегин алабыз, бирок биз аны колдонмолорубузга жардам берүү үчүн гана колдонобуз.
info_auto_coll,Маалымат автоматтык түрдө чогултулат
exp_admob_use,Биз жарнамаларды тейлөө үчүн Google Admob колдонобуз. Бул кызматтарды колдонуу https://www.google.com/policies/privacy/ дарегиндеги Google дайындарын коргоо жоболоруна ылайык болот.
we_real_time,Батарея менеджери түзмөктөн реалдуу убакытта жайгашкан жер тууралуу так маалымат чогултабы?
exp_loc_perm_man,Батарея башкаруучусу жайгашкан жер иштетилген же өчүрүлгөнүн гана текшерет, бирок мобилдик түзмөгүңүздүн жайгашкан жери тууралуу так маалымат чогултпайт. Мындай жайгашууга негизделген функциялар демейки боюнча орнотулган. Сиз бул функцияларды тиешелүү аспабыңыздын жөндөөлөрүнөн өчүрүп же кайра иштете аласыз. Тиркемелерди орноткондон мурун же орноткондон кийин, сизден - аспапка жараша - бул функцияларды өчүрүүнү же жандырууну каалайсызбы деп суралат. Эгер сиз жайгашкан жерди аныктоо кызматтарын иштетсеңиз гана биз сиздин жайгашкан жериңиз тууралуу маалыматты чогулта алабыз.
chng,Өзгөрүүлөр
pri_update_exp,Бул купуялык саясаты кандайдыр бир себептерден улам мезгил-мезгили менен жаңыртылышы мүмкүн. Бул веб-даректе жаңы купуялык саясатын жарыялоо жана колдонмодогу билдирүү аркылуу сизге купуялык саясатыбызга киргизилген өзгөртүүлөр жөнүндө кабарлайбыз. Өзгөртүүлөр үчүн бул Купуялык саясатын такай карап туруу сунушталат, анткени улантуу бардык өзгөртүүлөрдү жактыруу болуп эсептелет. Бул веб-сайттан бул саясаттын тарыхын карап чыга аласыз.
contct,Байланыш
any_que,Эгерде сизде тиркемени колдонууда маалыматтарды коргоо боюнча суроолоруңуз болсо же биздин практикабызга байланыштуу суроолоруңуз болсо, baxolino.de@gmail.com дарегине электрондук кат жөнөтүңүз.
mem_opti,Колдонмолорду сканерлеп, оптималдаштыруу үчүн Батарея башкаргычына "эстутум" мүмкүнчүлүгү керек. Сиз бул функцияларды тиешелүү аспабыңыздын жөндөөлөрүнөн өчүрүп же иштете аласыз. Колдонмону орноткондон мурун же орноткондон кийин, сизден - аспапка жараша - бул функцияларды өчүрүүнү же активдештирүүнү каалайсызбы деп суралат.
storg,Сактагыч
ble_set_acc,blue_set_perm,Батарея менеджери Bluetooth иштетилген же өчүрүлгөнүн текшерүү үчүн "Bluetooth жөндөө мүмкүнчүлүгүн" талап кылат. Жана Bluetooth иштетүү же өчүрүү үчүн.
ble_title,Bluetooth
needz_del,Батарея менеджери колдонмону орнотуудан чыгарууну баштоо үчүн "Пакеттерди жок кылууну сурануу" мүмкүнчүлүгүн талап кылат. Колдонмо ага ачык уруксат берсеңиз гана өчүрүлөт.
deletion_pkg,Пакеттерди жок кылууну сураныңыз
need_adnd,Батарея менеджери "Тынчымды алба" режимин иштетүү же өчүрүү үчүн "Тынчымды алба" мүмкүнчүлүгүн талап кылат.
adnd,"Тынчымды алба" режимине кирүү
need_wlan_acc,Батарея башкаргычы WLAN иштетилген же өчүрүлгөнүн текшере алышы үчүн, "WLAN туташууларын алуу" мүмкүнчүлүгүн талап кылат. Жана WLANды иштетүү же өчүрүү үчүн.
wln_conn,WLAN байланыштарын алыңыз
shop_bill_exp,Google Play In App Billing аркылуу соода кылганыңызда, Google бизге жашаган өлкөңүздү, кээде штатты, шаарды жана почта индексин берет, бирок эч качан толук даректи бербейт. Биз бул маалыматты салык жана бухгалтердик эсептин эрежелерин сактоо үчүн колдонобуз.
pri_date,21/02/2021 карата
how_to_stop,Сиз жөн гана колдонмону жок кылуу менен, колдонмонун маалымат жыйнагын токтото аласыз. Сиз мобилдик түзмөгүңүздүн бир бөлүгү катары же мобилдик тиркемелер үчүн базар же тармак аркылуу жеткиликтүү болгон стандарттуу алып салуу процесстерин колдоно аласыз.
opt_out,Менин баш тартуу укуктарым кандай?
ur_permission,сиздин уруксатыңыз
accept_privacy,Тиркемени колдонуу менен, сиз бул купуялык саясатында жана биз тарабынан оңдоолордо белгиленгендей, маалыматыңызды иштетүүгө макулдугуңузду билдиресиз.
