title,Battery Manager Lite farklıdır
dep_sleep,Derin uyku, cihazınızın en az miktarda pil kullandığı bir durumdur. Derin uyku süresinin enerji tasarrufu üzerinde olumlu etkisi vardır. Derin uyku, pilin daha hızlı boşalmasına neden olan arka plan görevleri tarafından kesilebilir. Bu durumda cihazınızı yeniden başlatın.
title_bat_temp,Pil sıcaklığı
bat_tempp,Pil sıcaklığı en önemli faktörlerden biridir. Akü yüksek sıcaklıklarda jel tutulursa bu durum akünün hem kullanım ömrünü hem de performansını etkiler. Sıcaklık yükselirse, pilin iç yapısı zarar görebilir.
rdc_brightness,Ekran parlaklığını azaltın
display_explain,Ekran, enerjinin çoğunu tüketen bileşenlerden biridir. Maksimum parlaklığın düşürülmesi, toplam tüketimin azaltılmasına ve gözle görülür tasarruf sağlanmasına yardımcı olur. Parlaklığı azaltmadan önce, parlaklığın gereksiz yere değişmemesi için otomatik parlaklığı devre dışı bırakın.
tst_charge,Şarj cihazı testi
best_way_test,Şarj cihazını ve kabloyu test etmenin en iyi yolu, ekran kapalıyken şarj hızını kontrol etmektir. Ekran açıkken şarj hızı iyi bir ölçüt değil çünkü telefonunuz güç tüketiyor ve bu da dalgalanmalara neden oluyor. Şarj cihazını prize takın, ekranı birkaç dakika kapatın ve ardından maksimum şarj akımını kontrol edin.
wait_title,Beklemek
rfsh_rate,Yenileme hızı
low_sizty,Yenileme hızının 60 Hz'e düşürülmesi pil ömrünü uzatır.
drk_mode,Karanlık Mod
acti_dark_mode,Karanlık Modu etkinleştirin, Karanlık Modda daha az güç tüketilir
actz,Etkinleştir
poz,Güç
minz,Asgari
avgo,Ortalama
mixi1,Maksimum
msg_dis,Diyagramı tam olarak görüntülemek için yeterli veri varsa, mesaj 24 saat sonra kaybolur.
no_enough,Görüntülenecek yeterli veri yok
log_graph,Birkaç saat içinde burada son 24 saatteki akü sıcaklığını, voltajı, amperajı ve seviyesini kontrol etmenizi sağlayacak bir grafik göreceksiniz.
week,hafta
buy_it,Satın almak
one_pur,tek seferlik ücret
refun_pur,satın alma 2 saat içinde iade edilebilir.
each_month,Abonelik her ay otomatik olarak yenilenir ve aylık olarak ücretlendirilmeye devam eder. Abonelik herhangi bir zamanda iptal edilebilir.
mng_subs,aboneliği yönet
subsci,abone olmak
will_cost_week,Abonelik her hafta otomatik olarak yenilenir ve haftalık olarak ücretlendirilmeye devam eder. Abonelik herhangi bir zamanda iptal edilebilir.
lfllong,ömür boyu
mthly,aylık
wkly,Haftalık
hoto,Sıcak
prm_ben_title,Premium avantajlar
sync_title,senkronize et
dis_sync_inc,Senkronizasyonu devre dışı bırakmak, hizmetleri arka planda senkronize etmeyerek pil ömrünü uzatır
time_out,Zaman aşımı
dec_extend,Ekran kapanmadan önceki sürenin azaltılması pil ömrünü uzatır
u_end_opti,Optimizasyon sürecini sonlandırmak istediğinizden emin misiniz?
no_why_perm,İzin yok
bright_exp,Pil Yöneticisi, ekran parlaklığını azaltmak veya Bluetooth'u kapatmak için Sistem ayarlarını değiştirme izni gerektirir.
tg_title,Telegram kanalına katılın!
tg_text,Uygulama güncellemeleriyle güncel kalın, erken sürümleri edinin ve yeni özelliklerin test edilmesine yardımcı olun. Fikirlerinizi önerin, sorular sorun ve daha hızlı yanıt alın
join_tg,katılmak
curr_consumption,anlık tüketim
scrn_onn,ekran açık
srcn_off,Ekran kapalı
mob_charg,Doluyor
discha,boşaltma
activea,Aktif
slpmode,Uyku modu
chagingspeed,Mevcut Şarj hızı
dta_proxt,Veri koruması
governs,Bu gizlilik politikası, Baxolino tarafından oluşturulan mobil cihazlar için Battery Manager yazılım uygulamasını kullanımınızı yönetir.
info_u_provide,Kullanıcı tarafından sağlanan bilgiler
no_pass_per,Kişisel verileri üçüncü taraflara aktarmayız. Bize e-posta gönderdiğinizde, e-posta adresinizi biliyoruz, ancak onu yalnızca uygulamalarımızda size yardımcı olmak için kullanıyoruz.
info_auto_coll,Otomatik olarak toplanan bilgiler
exp_admob_use,Reklam sunmak için Google Admob kullanıyoruz. Bu hizmetlerin kullanımı, https://www.google.com/policies/privacy/ adresindeki Google veri koruma hükümlerine tabidir.
we_real_time,Battery Manager, cihazdan doğru gerçek zamanlı konum bilgilerini topluyor mu?
exp_loc_perm_man,Pil Yöneticisi yalnızca konumun etkinleştirilip etkinleştirilmediğini kontrol eder, ancak mobil cihazınızın konumu hakkında kesin bilgi toplamaz. Bu tür konum tabanlı işlevler varsayılan olarak ayarlanmıştır. Bu işlevleri, ilgili cihazınızın ayarlarında devre dışı bırakabilir veya yeniden etkinleştirebilirsiniz. Uygulamaları yüklemeden önce veya yükledikten sonra - cihaza bağlı olarak - bu işlevleri devre dışı bırakmak veya etkinleştirmek isteyip istemediğiniz sorulacaktır. Yalnızca bu tür konum hizmetlerini etkinleştirirseniz konumunuzla ilgili verileri toplayabiliriz.
chng,Değişiklikler
pri_update_exp,Bu gizlilik politikası herhangi bir nedenle zaman zaman güncellenebilir. Yeni gizlilik politikasını bu web adresinde yayınlayarak ve uygulamadaki bir mesajla sizi bilgilendirerek gizlilik politikamızdaki değişiklikleri size bildireceğiz. Kullanıma devam edilmesi tüm değişikliklerin onaylandığı anlamına geldiğinden, değişiklikler için bu Gizlilik Politikasına düzenli olarak başvurmanız önerilir. Bu politikanın geçmişini bu web sitesinde inceleyebilirsiniz.
contct,İletişim
any_que,Uygulamayı kullanırken veri korumayla ilgili herhangi bir sorunuz varsa veya uygulamalarımız hakkında sorularınız varsa, lütfen baxolino.de@gmail.com adresine bir e-posta gönderin.
mem_opti,Pil Yöneticisi, uygulamaların taranabilmesi ve optimize edilebilmesi için "bellek" erişimine ihtiyaç duyar. Bu işlevleri ilgili cihazınızın ayarlarından devre dışı bırakabilir veya etkinleştirebilirsiniz. Uygulamayı yüklemeden önce veya sonra, cihaza bağlı olarak, bu işlevleri devre dışı bırakmak veya etkinleştirmek isteyip istemediğiniz sorulacaktır.
storg,Depolamak
ble_set_acc,blue_set_perm,Pil Yöneticisi, Bluetooth'un etkinleştirilip etkinleştirilmediğinin kontrol edilebilmesi için "Bluetooth ayar erişimi" erişimini gerektirir. Ve Bluetooth'u etkinleştirmek veya devre dışı bırakmak için.
ble_title,Bluetooth
needz_del,Pil Yöneticisi, bir uygulamanın kaldırılmasını başlatmak için "Paketlerin silinmesini talep et" erişimini gerektirir. Uygulama yalnızca siz açıkça izin verirseniz kaldırılacaktır.
deletion_pkg,Paketlerin silinmesini talep edin
need_adnd,Pil Yöneticisi, Rahatsız Etmeyin modunu etkinleştirmek veya devre dışı bırakmak için "Rahatsız Etmeyin" erişimi gerektirir.
adnd,Erişim Rahatsız Etmeyin
need_wlan_acc,Battery Manager, WLAN'ın etkinleştirilip etkinleştirilmediğini kontrol edebilmesi için "WLAN Bağlantılarını Al"a erişim gerektirir. Ve WLAN'ı etkinleştirmek veya devre dışı bırakmak için.
wln_conn,WLAN bağlantılarını edinin
shop_bill_exp,Google Play Uygulama İçi Faturalandırma aracılığıyla alışveriş yaptığınızda, Google bize ikamet ettiğiniz ülkeyi ve bazen eyalet, şehir ve posta kodunu verir, ancak tam adresi asla vermez. Bu bilgileri vergi ve muhasebe düzenlemelerine uymak için kullanırız.
pri_date,02/21/2021 itibariyle
how_to_stop,Uygulamayı kaldırarak tüm bilgilerin uygulama tarafından toplanmasını durdurabilirsiniz. Mobil cihazınızın bir parçası olarak veya mobil uygulamalar için pazar yeri veya ağ üzerinden sunulan standart kaldırma işlemlerini kullanabilirsiniz.
opt_out,Devre dışı bırakma haklarım nelerdir?
ur_permission,izniniz
accept_privacy,Uygulamayı kullanarak, verilerinizi bu gizlilik politikasında belirtilen ve tarafımızca değiştirilen şekilde işlememize izin vermiş olursunuz.
