title,Battery Manager Lite berbeda
notif_txt,pemberitahuan
notif_at,Beri tahu di
chg_curr,Pengisian arus
charge_perm,Performa pengisian daya
maxi_charge_per,Performa pengisian maksimal
enb_notif,Aktifkan notifikasi
perm_send_notif,Pengelola Baterai memerlukan izin untuk mengirim pemberitahuan, itu harus diaktifkan di pengaturan perangkat.
to_set,Ke pengaturan
title_autost,Aktifkan Mulai Otomatis
auto_explain,Pengelola Baterai memerlukan izin untuk tetap aktif di latar belakang untuk menanyakan status baterai dan mengirim pemberitahuan.
sync_auto,Sinkronisasi secara otomatis
dis_auto_sync,Menonaktifkan sinkronisasi otomatis secara signifikan mengurangi wakelocks. Namun, beberapa fungsi seperti menerima email akan hilang.
chg_lim,Batas Biaya
avoid_ful_explain,Jika Anda mengisi daya baterai hingga maksimum atau mengosongkannya hingga dimatikan, kondisi dan masa pakai baterai akan berkurang. Berikut ini Anda dapat mengatur status pengisian atau pengosongan minimum dan maksimum baterai dan Anda akan diberi tahu setiap kali nilai ambang batas tercapai. Hindari satu pengisian penuh dan kosongkan baterai Anda dan perpanjang umur baterai.
rec_notif,Tidak menerima pemberitahuan?
title_allow_bg_act,Izinkan aktivitas latar belakang
allow_bg_act,Agar Anda dapat menggunakan Pengelola Baterai tanpa batasan tanpa ditutup secara tidak sengaja oleh sistem operasi, Anda mungkin harus menonaktifkan fungsi khusus untuk manajemen baterai dan penggunaan baterai di pengaturan. Karena berbagai pabrikan berbeda dalam penunjukan opsi ini tergantung pada sistem operasi yang digunakan. Di area Informasi Aplikasi, di bawah Tidur atau Baterai, pilih Tanpa Batasan atau Izinkan Aktivitas Latar Belakang.
dev_usage,Penggunaan perangkat
dep_sleep,Tidur nyenyak adalah keadaan di mana perangkat Anda menggunakan baterai paling sedikit. Durasi tidur nyenyak memiliki efek positif pada penghematan energi. Tidur nyenyak dapat terganggu oleh tugas latar belakang, yang menyebabkan baterai lebih cepat habis. Dalam hal ini, mulai ulang perangkat Anda.
title_bat_temp,Suhu baterai
bat_tempp,Suhu baterai adalah salah satu faktor terpenting. Jika baterai disimpan dalam bentuk gel pada suhu tinggi, hal ini akan memengaruhi masa pakai dan kinerja baterai. Jika suhu naik, struktur internal baterai bisa rusak.
rdc_brightness,Kurangi kecerahan layar
display_explain,Layar adalah salah satu komponen yang menghabiskan sebagian besar energi. Mengurangi kecerahan maksimum membantu mengurangi konsumsi keseluruhan dan mencapai penghematan yang nyata. Sebelum mengurangi kecerahan, nonaktifkan kecerahan otomatis agar kecerahan tidak diubah secara tidak perlu.
tst_charge,Pengisi daya uji
best_way_test,Cara terbaik untuk menguji pengisi daya dan kabel adalah dengan memeriksa kecepatan pengisian daya dengan layar mati. Kecepatan pengisian daya saat layar menyala bukanlah tolok ukur yang baik karena ponsel Anda mengonsumsi daya yang menyebabkan fluktuasi. Colokkan pengisi daya, matikan layar selama beberapa menit, lalu periksa arus pengisian daya maksimum.
wait_title,Menunggu
rfsh_rate,Tingkat penyegaran
low_sizty,Menurunkan kecepatan refresh ke 60 Hz meningkatkan masa pakai baterai.
drk_mode,Mode Gelap
acti_dark_mode,Aktifkan Mode Gelap, dalam Mode Gelap lebih sedikit konsumsi daya
actz,Mengaktifkan
poz,Kekuasaan
minz,Minimum
avgo,Rata-rata
mixi1,Maksimum
msg_dis,Pesan akan hilang setelah 24 jam jika ada cukup data untuk menampilkan diagram secara lengkap.
no_enough,Tidak cukup data untuk ditampilkan
log_graph,Dalam beberapa jam Anda akan melihat grafik di sini yang memungkinkan Anda memeriksa suhu baterai, voltase, arus listrik, dan level selama 24 jam terakhir.
week,pekan
buy_it,Membeli
one_pur,Biaya satu kali sebesar
refun_pur,pembelian dapat dikembalikan dalam waktu 2 jam.
each_month,Langganan diperbarui secara otomatis setiap bulan dan terus dikenakan biaya per bulan. Langganan dapat dibatalkan kapan saja.
mng_subs,mengelola langganan
subsci,langganan
will_cost_week,Langganan diperbarui secara otomatis setiap minggu dan terus dikenakan biaya per minggu. Langganan dapat dibatalkan kapan saja.
lfllong,kekal
mthly,bulanan
wkly,Mingguan
hoto,Panas
prm_ben_title,Manfaat premi
sync_title,Sinkronkan
dis_sync_inc,Menonaktifkan sinkronisasi akan meningkatkan masa pakai baterai dengan tidak menyinkronkan layanan di latar belakang
time_out,Waktu habis
dec_extend,Mengurangi waktu sebelum layar mati akan memperpanjang masa pakai baterai
u_end_opti,Yakin ingin mengakhiri proses pengoptimalan?
no_why_perm,Tidak ada izin
bright_exp,Pengelola Baterai memerlukan izin Ubah pengaturan sistem untuk mengurangi kecerahan layar atau mematikan Bluetooth.
tg_title,Bergabunglah dengan saluran Telegram!
tg_text,Ikuti terus pembaruan aplikasi, dapatkan build awal, dan bantu uji fitur baru. Sarankan ide Anda, ajukan pertanyaan, dan dapatkan jawaban lebih cepat
join_tg,Ikuti
curr_consumption,konsumsi saat ini
scrn_onn,layar aktif
srcn_off,layar mati
mob_charg,Mengisi daya
discha,Pengosongan
activea,Aktif
slpmode,Mode tidur
chagingspeed,Kecepatan Pengisian Saat Ini
dta_proxt,Perlindungan data
governs,Kebijakan privasi ini mengatur penggunaan Anda atas aplikasi perangkat lunak Battery Manager untuk perangkat seluler yang dibuat oleh Baxolino.
info_u_provide,Informasi yang diberikan oleh pengguna
no_pass_per,Kami tidak memberikan data pribadi kepada pihak ketiga. Saat Anda mengirim email kepada kami, kami memiliki alamat email Anda, tetapi kami hanya menggunakannya untuk membantu Anda dengan aplikasi kami.
info_auto_coll,Informasi dikumpulkan secara otomatis
exp_admob_use,Kami menggunakan Google Admob untuk menayangkan iklan. Penggunaan layanan ini tunduk pada ketentuan perlindungan data Google di https://www.google.com/policies/privacy/.
we_real_time,Apakah Pengelola Baterai mengumpulkan informasi lokasi real-time yang akurat dari perangkat?
exp_loc_perm_man,Battery Manger hanya memeriksa apakah lokasi diaktifkan atau dinonaktifkan, tetapi tidak mengumpulkan informasi akurat tentang lokasi perangkat seluler Anda. Fungsi berbasis lokasi tersebut diatur secara default. Anda dapat menonaktifkan atau mengaktifkan kembali fungsi tersebut di pengaturan perangkat Anda masing-masing. Sebelum atau sesudah menginstal aplikasi, Anda akan ditanya - tergantung pada perangkat - apakah Anda lebih suka menonaktifkan atau mengaktifkan fungsi ini. Kami hanya dapat mengumpulkan data tentang lokasi Anda jika Anda mengaktifkan layanan lokasi tersebut.
chng,Perubahan
pri_update_exp,Kebijakan privasi ini dapat diperbarui dari waktu ke waktu dengan alasan apapun. Kami akan memberi tahu Anda tentang perubahan kebijakan privasi kami dengan memposting kebijakan privasi baru di alamat web ini dan memberi tahu Anda melalui pesan di aplikasi. Disarankan agar Anda secara teratur berkonsultasi dengan Kebijakan Privasi ini untuk perubahan, karena penggunaan yang berkelanjutan dianggap menyetujui semua perubahan. Anda dapat meninjau riwayat kebijakan ini di situs web ini.
contct,Kontak
any_que,Jika Anda memiliki pertanyaan tentang perlindungan data saat menggunakan aplikasi atau memiliki pertanyaan tentang praktik kami, silakan kirim email ke baxolino.de@gmail.com
mem_opti,Pengelola Baterai memerlukan akses "memori" agar aplikasi dapat dipindai dan dioptimalkan. Anda dapat menonaktifkan atau mengaktifkan fungsi tersebut di pengaturan perangkat Anda masing-masing. Sebelum atau sesudah menginstal aplikasi, Anda akan ditanya - tergantung pada perangkat - apakah Anda lebih memilih untuk menonaktifkan atau mengaktifkan fungsi ini.
storg,Penyimpanan
ble_set_acc,blue_set_perm,Battery Manager memerlukan akses "Bluetooth setting access" agar bisa dicek apakah Bluetooth sudah aktif atau nonaktif. Dan untuk mengaktifkan atau menonaktifkan Bluetooth.
ble_title,Bluetooth
needz_del,Pengelola Baterai memerlukan akses "Permintaan penghapusan paket" untuk memulai pencopotan aplikasi. Aplikasi hanya akan dihapus instalasinya jika Anda mengizinkannya secara eksplisit.
deletion_pkg,Permintaan penghapusan paket
need_adnd,Pengelola Baterai memerlukan akses "Jangan Ganggu" untuk mengaktifkan atau menonaktifkan mode Jangan Ganggu.
adnd,Akses Jangan Ganggu
need_wlan_acc,Pengelola Baterai memerlukan akses ke "Dapatkan Koneksi WLAN" agar Pengelola Baterai dapat memeriksa apakah WLAN diaktifkan atau dinonaktifkan. Dan untuk mengaktifkan atau menonaktifkan WLAN.
wln_conn,Dapatkan koneksi WLAN
shop_bill_exp,Saat Anda berbelanja melalui Penagihan Dalam Aplikasi Google Play, Google memberi kami negara tempat tinggal Anda dan terkadang negara bagian, kota, dan kode pos, tetapi tidak pernah alamat lengkapnya. Kami menggunakan informasi ini untuk mematuhi peraturan pajak dan akuntansi.
pri_date,Pada 02/21/2021
how_to_stop,Anda dapat menghentikan seluruh kumpulan informasi oleh aplikasi hanya dengan mencopot pemasangan aplikasi. Anda dapat menggunakan proses pencopotan pemasangan standar yang tersedia sebagai bagian dari perangkat seluler Anda atau melalui pasar atau jaringan untuk aplikasi seluler.
opt_out,Apa saja hak memilih keluar saya?
ur_permission,izin Mu
accept_privacy,Dengan menggunakan aplikasi, Anda menyetujui pemrosesan data Anda oleh kami sebagaimana diatur dalam kebijakan privasi ini dan sebagaimana diubah oleh kami.
