title,Battery Manager Lite ແມ່ນແຕກຕ່າງກັນ
design_des,ຄວາມອາດສາມາດໃນການອອກແບບແມ່ນຄວາມອາດສາມາດຫມໍ້ໄຟຕົວຈິງ, ວັດແທກໃນ mAh. ເນື່ອງຈາກບໍ່ມີວິທີການຢ່າງເປັນທາງການເພື່ອກໍານົດຄວາມສາມາດ, ມູນຄ່າທີ່ສົ່ງຄືນອາດຈະຜິດພາດ.
correct_it,ຖ້າຄວາມສາມາດທີ່ສະແດງບໍ່ຖືກຕ້ອງ, ກະລຸນາແກ້ໄຂມັນ.
cancel,ຍົກເລີກ
ok,ຕົກລົງ
runtime,ເວລາແລ່ນຫມໍ້ໄຟ
wait,ລໍຖ້າ
per_hr,ການໃຊ້ແບັດເຕີຣີຕໍ່ຊົ່ວໂມງ
life_for,ຊີວິດຫມໍ້ໄຟສໍາລັບ
battery_cond,ສະພາບຫມໍ້ໄຟ
bat_info,ຂໍ້ມູນຫມໍ້ໄຟ
bat_cap,ຄວາມອາດສາມາດຫມໍ້ໄຟ
bat_volt,ແຮງດັນຫມໍ້ໄຟ
bat_cur,ປະຈຸບັນຫມໍ້ໄຟ
unit_mes,ຫົວໜ່ວຍວັດແທກ
done,ສຳເລັດແລ້ວ
c_bat_temp,ອຸນຫະພູມຫມໍ້ໄຟປັດຈຸບັນ
min_bat_tem,ອຸນຫະພູມຕ່ໍາສຸດຂອງຫມໍ້ໄຟ
mx_bat_tem,ອຸນຫະພູມຫມໍ້ໄຟສູງສຸດ
avg_bat_tem,ອຸນຫະພູມຫມໍ້ໄຟສະເລ່ຍ
dig_last,ການວິນິດໄສຄັ້ງສຸດທ້າຍກ່ອນ
rem_time,ເວລາທີ່ຍັງເຫຼືອ
volt,ແຮງດັນ
curr,ປະຈຸບັນ
status,ສະຖານະ
run_time,ເວລາແລ່ນ
currently,ໃນປັດຈຸບັນ
avg,ສະເລ່ຍ
minmal,ໜ້ອຍທີ່ສຸດ
maximal,ສູງສຸດ
tool,ເຄື່ອງມື
rem_apps,ຖອນ​ການ​ຕິດ​ຕັ້ງ​ກິດ​ທີ່​ທ່ານ​ບໍ່​ໄດ້​ນໍາ​ໃຊ້​ຕໍ່​ໄປ​ອີກ​ແລ້ວ​ເພື່ອ​ປ້ອງ​ກັນ​ກິດ​ຈາກ​ການ​ແລ່ນ​ໂດຍ​ບໍ່​ຈໍາ​ເປັນ​ແລະ​ການ​ຫມົດ​ຫມໍ້​ໄຟ​ຂອງ​ທ່ານ​
uninst_apps,ຖອນການຕິດຕັ້ງແອັບຯ
stat,ເລີ່ມ
act_eng_save,ເປີດໃຊ້ໂໝດປະຢັດພະລັງງານເພື່ອຫຼຸດການໃຊ້ແບັດເຕີຣີ
pow_save,ໂໝດປະຢັດພະລັງງານ
tempe,ອຸນຫະພູມ
heal,ສຸ​ຂະ​ພາບ
tips,ຮັກສາແບດເຕີລີ່ຂອງເຈົ້າໃຫ້ຢູ່ໃນສະພາບດີດ້ວຍຄໍາແນະນໍາແລະເຄັດລັບ.
recomm,ຄໍາແນະນໍາ
prem,ພຣີມຽມ
more_func,ຟັງຊັນເພີ່ມເຕີມສໍາລັບທ່ານ. ຮັບພຣີມຽມ, ຮັບເພີ່ມເຕີມ.
more,ເພີ່ມເຕີມ
ur_cond_bat,ສະພາບຫມໍ້ໄຟແມ່ນ
ur_bat_life,ອາຍຸຫມໍ້ໄຟຂອງທ່ານແມ່ນ
ur_bat_temp,ອຸນຫະພູມຫມໍ້ໄຟຂອງທ່ານແມ່ນ
wow,ເລີດ
normal,ປົກກະຕິ
poor,ບໍ່ດີ
days,ມື້
mins,ນາທີ
hrs,ຊົ່ວໂມງ
chging,ກຳລັງສາກໄຟ
ful,ເຕັມ
dis_chrg,ຂັບຖ່າຍ
unkn,ບໍ່ຮູ້ຈັກ
too_lit,ຂໍ້ມູນແບັດເຕີຣີໜ້ອຍເກີນໄປ
car_any,ດໍາເນີນການຢ່າງໃດກໍ່ຕາມ
endz_,ຈົບ
dig_any,ເພື່ອໃຫ້ໄດ້ຜົນການວິນິດໄສທີ່ດີຂຶ້ນ, ແອັບຈະຕ້ອງວິເຄາະແບັດເຕີຣີຂອງທ່ານໃນພື້ນຫຼັງ. ກະລຸນາເລີ່ມການວິນິດໄສຫຼັງຈາກ 24 ຊົ່ວໂມງ
end_dig,ສິ້ນສຸດການວິນິດໄສ
quit_dig,ເຊົາວິນິດໄສແທ້ໆ
batty_temp,ອຸນຫະພູມຫມໍ້ໄຟ
akku_manager,ຜູ້ຈັດການ Akku
u_agree,ດ້ວຍ "START" ທ່ານຕົກລົງເຫັນດີກັບກົດລະບຽບການປົກປ້ອງຂໍ້ມູນ
elemn_opti,ອົງປະກອບສາມາດຖືກປັບແຕ່ງໄດ້
looks_good,ທຸກຢ່າງເບິ່ງດີ
optimize_,ເພີ່ມປະສິດທິພາບ
toolz_,ເຄື່ອງມື
akku_check,ກວດ Akku
ctrl_load,ຄວບຄຸມການໂຫຼດ
mng_apps,ຈັດການແອັບຯ
infosm,ຂໍ້ມູນ
tenzion,ຄວາມກົດດັນ
electy,ໄຟຟ້າ
lvl,ລະດັບ
akku_man_premium,Akku Manager Premium
premimum_highlight,ໃຊ້ຕົວຈັດການແບດເຕີຣີຢ່າງສົມບູນໂດຍບໍ່ມີການໂຄສະນາແລະທ່ານສາມາດເຂົ້າເຖິງການປັບແຕ່ງຢ່າງກວ້າງຂວາງຂອງການໂຕ້ຕອບຜູ້ໃຊ້.
design,ອອກ​ແບບ
subjs,ວິຊາ
genrally,ໂດຍທົ່ວໄປ
temp_unit,ຫົວໜ່ວຍອຸນຫະພູມ
oth_apps,ແອັບອື່ນໆ
dat_protect,ການປົກປ້ອງຂໍ້ມູນ
thx_akku,ຂອບໃຈສໍາລັບການສະຫນັບສະຫນູນ Akku Manager ກັບການຊື້ສະບັບທີ່ນິຍົມ.
user_got_pre,ໃນປັດຈຸບັນທ່ານມີການເຂົ້າເຖິງການປັບແຕ່ງຢ່າງກວ້າງຂວາງຂອງການໂຕ້ຕອບຜູ້ໃຊ້ແລະການນໍາໃຊ້ໂດຍບໍ່ມີການໂຄສະນາ.
exp_more,ທ່ານສາມາດຄາດຫວັງຄຸນສົມບັດເພີ່ມເຕີມໃນການປັບປຸງໃນອະນາຄົດ
ap_optimiz,ການເພີ່ມປະສິດທິພາບແອັບຯ
sys_bat_usage,ການບໍລິໂພກຫມໍ້ໄຟຂອງລະບົບ
bat_usage_det,ລາຍ​ລະ​ອຽດ​ການ​ນໍາ​ໃຊ້​ຫມໍ້​ໄຟ​
end_optiz,ສິ້ນສຸດການເພີ່ມປະສິດທິພາບ
abort,ເອົາລູກອອກ
break_up,ເລີກ​ກັນ
scn,ເພື່ອສະແກນ
scn_bgh,ຄວາມສະຫວ່າງຂອງຫນ້າຈໍ
dact_wlan,ປິດໃຊ້ງານ WLAN
dact_save_batt,ປິດໃຊ້ງານເພື່ອປະຢັດແບັດເຕີຣີ
dact,ປິດໃຊ້ງານ
dact_ble,ປິດໃຊ້ງານ bluetooth
red_brigh,ຫຼຸດຄວາມສະຫວ່າງ
bright_txt,ຫຼຸດຄວາມສະຫວ່າງຂອງຈໍສະແດງຜົນເພື່ອປະຢັດແບັດເຕີຣີ
to_reduce,ເພື່ອ​ຫຼຸດ​ຜ່ອນ​ການ
dact_gps,ປິດການນຳໃຊ້ GPS
appz_optimz,ແອັບທີ່ປັບແຕ່ງແລ້ວ
start_bat_check_det,ເລີ່ມການກວດສອບແບດເຕີຣີແບບລະອຽດເພື່ອໃຫ້ຢູ່ໃນດ້ານທີ່ປອດໄພສະເໝີ
act_eng_save,ເປີດໃຊ້ໂໝດປະຢັດພະລັງງານເພື່ອຫຼຸດການໃຊ້ແບັດເຕີຣີ
remove_useless,ຖອນການຕິດຕັ້ງແອັບຯທີ່ບໍ່ໄດ້ໃຊ້ແລ້ວ
premium,ພຣີມຽມ
clear_mem,ເຮັດຄວາມສະອາດຄວາມຊົງຈໍາ
clear_mem_des,ເພື່ອໃຫ້ໂທລະສັບສະຫຼາດຂອງທ່ານເຮັດວຽກໄດ້ໄວແລະກ້ຽງ.
clenaup,ອະນາໄມ
rat,ຄະແນນ
rat_free,ໃຫ້ຄະແນນຕົວຈັດການຫມໍ້ໄຟຟຣີ
sendz,ສົ່ງ
elmn_found,ພົບເຫັນອົງປະກອບ
drumz,ກອງ
status,ສະຖານະ
end_akk_check,ສິ້ນສຸດການກວດສອບຫມໍ້ໄຟ
bat_detlz,ລາຍລະອຽດຫມໍ້ໄຟ
temp_checked,ອຸນຫະພູມຖືກກວດສອບ
cond_checked,ສະພາບຂອງຫມໍ້ໄຟຖືກກວດສອບ
checkz_start,ການກວດສອບແບັດເຕີຣີເລີ່ມຕົ້ນ
plug_in,ສຽບເຂົ້າແລ້ວ
techz,ເຕັກໂນໂລຊີ
coldz,ໜາວ
until,ຈົນກ່ວາ
well,ດີ
ovr_heat,ຮ້ອນເກີນໄປ
ovr_load,ໂຫຼດເກີນ
renam,ປ່ຽນຊື່
not_def,ບໍ່ໄດ້ກໍານົດ
chrgz,ຄ່າບໍລິການ
full,ເຕັມ
unloadz,ການໂຫຼດ
not_charge_unkn,ບໍ່ຄິດຄ່າບໍລິການ ຫຼືບໍ່ຮູ້
usb,USB
charger,ເຄື່ອງສາກ
wless,ໄຮ້ສາຍ
not_at_al,ບໍ່​ມີ​ຫຍັງ​ເລີຍ
uninstall,ຖອນການຕິດຕັ້ງ
update,ເພື່ອອັບເດດ
setting,ການຕັ້ງຄ່າ
app,ແອັບ
not_found,ບໍ່ພົບແອັບ
search,ຄົ້ນຫາແອັບຯ
version_code,ລະຫັດເວີຊັນ
api_level,ລະດັບ API
app_version,ເວີຊັນແອັບ
authorization,ການອະນຸຍາດ
open,ເພື່ອ​ເປີດ
play_store,Play Store
control,ການຄວບຄຸມ
systemstandart,ມາດຕະຖານລະບົບ
white,ສີຂາວ
dark,ມືດ
ocean,ມະຫາສະໝຸດ
black,ດຳ
dark_blue,ສີ​ຟ້າ​ແກ່
excellent,ເລີດ
bad,ບໍ່ດີ
battery_bad,ແບັດເຕີຣີເສຍຫາຍເລັກນ້ອຍ
very_bad,ບໍ່ດີຫຼາຍ
battery_damaged,ແບັດເຕີຣີເສຍຫາຍ
custom_mode,ໂໝດກຳນົດເອງ
brightness,ຄວາມສະຫວ່າງ
automatic_brightness,ຄວາມສະຫວ່າງອັດຕະໂນມັດ
normal,ປົກກະຕິ
sound_modus,Modus ສຽງ
tone_work,ໂທນທັງໝົດເຮັດວຽກ
mute,ປິດສຽງ
call_note_mute,ການໂທ ແລະການແຈ້ງເຕືອນຖືກປິດສຽງ
not_bother,ຢ່າ​ລົບ​ກວນ
tones_vibration_mute,ປິດສຽງ ແລະສຽງສັ່ນ, ຍົກເວັ້ນສຽງປຸກ
sound,ສຽງ
music,ເພງ
notification,ແຈ້ງການ
alarm,ປຸກ
ultra_saving,ໂໝດປະຢັດພະລັງງານສູງສຸດ
edit,ເພື່ອແກ້ໄຂ
disable_ultra_saving,ປິດໃຊ້ງານໂໝດປະຢັດພະລັງງານສູງສຸດ
min_remaining,ເຫຼືອໜ້ອຍສຸດ
hours,ຊົ່ວໂມງ
activted_ultra_saving,ເປີດໃຊ້ໂໝດປະຢັດພະລັງງານສູງສຸດແລ້ວ
charged_in,ຖືກຄິດຄ່າຢູ່ໃນ
min,ນາທີ
limit_power,ຈຳກັດການໃຊ້ພະລັງງານ
reduce_screen,ຫຼຸດຄວາມສະຫວ່າງໜ້າຈໍ
restrict_bg_act_explain,ຈຳກັດການເຄື່ອນໄຫວໃນພື້ນຫຼັງ
volatge_check,ແຮງດັນຖືກກວດສອບ
software_optimized,ຊອບແວຖືກປັບປຸງໃຫ້ເໝາະສົມ
connect_charger,ເຊື່ອມຕໍ່ສາຍສາກ
charger_removed,ເຄື່ອງສາກສາມາດຖອດອອກໄດ້
power_consump_title,ການ​ນໍາ​ໃຊ້​ພະ​ລັງ​ງານ
srcn_bg_title,ຄວາມສະຫວ່າງຂອງຫນ້າຈໍ
bg_al_activities,ກິດຈະກໍາພື້ນຖານ
sftware,ຊອບແວ
get_primium,ຖ້າທ່ານຊື້ຮຸ່ນທີ່ນິຍົມ, ທ່ານຈະໄດ້ຮັບຟັງຊັນປະຈຸບັນທັງຫມົດເຊັ່ນດຽວກັນກັບຟັງຊັນໃຫມ່ທັງຫມົດໃນອະນາຄົດ.
cuztomize_face,ການປັບແຕ່ງສ່ວນຕິດຕໍ່ຜູ້ໃຊ້
comp_scheme,ປະກອບຮູບແບບສີຂອງຕົວຈັດການແບດເຕີລີ່ຂອງເຈົ້າຈາກຫຼາກຫຼາຍຮູບແບບ.
bat_check_detail,ການ​ກວດ​ສອບ​ຫມໍ້​ໄຟ​ລະ​ອຽດ​
check_cond_test,ໃຊ້ຕົວຈັດການແບດເຕີຣີເພື່ອກວດເບິ່ງສະພາບຂອງແບດເຕີລີ່ຂອງເຈົ້າໃຫ້ຢູ່ໃນດ້ານທີ່ປອດໄພສະ ເໝີ.
no_ads_yo,ບໍ່ມີການໂຄສະນາ
use_explain_noads,ໃຊ້ຕົວຈັດການຫມໍ້ໄຟໂດຍບໍ່ມີການໂຄສະນາໃດໆ
act_energy_save,ເປີດໃຊ້ໂໝດປະຢັດພະລັງງານພິເສດເພື່ອເພີ່ມອາຍຸແບັດເຕີຣີໃນກໍລະນີສຸກເສີນ.
buy_title,ຊື້ Premium
loc_title,ສະຖານທີ່
cap_title,ຄວາມອາດສາມາດ
cap_remain,ຄວາມອາດສາມາດທີ່ຍັງເຫຼືອ
sleepy,ນອນ
sek,ວິນາທີ
sing_min,ນາທີ
miniotes,ນາທີ
finish,ສຳເລັດແລ້ວ
mobi_data,ຂໍ້ມູນມືຖື
plz_rate,ກະລຸນາໃຫ້ຄະແນນຕົວຈັດການແບັດເຕີຣີໃນ Play Store
ur_data_cus,ພວກເຮົາສາມາດສືບຕໍ່ນໍາໃຊ້ຂໍ້ມູນຂອງທ່ານເພື່ອປັບແຕ່ງການໂຄສະນາສໍາລັບທ່ານບໍ?
in_slep_mode,ໃນໂໝດນອນ
in_use,ໃຊ້ຢູ່
with_curr_pow,ດ້ວຍການໃຊ້ພະລັງງານໃນປະຈຸບັນ
rem_bat_life,ອາຍຸແບັດເຕີຣີທີ່ຍັງເຫຼືອ
qck_acc,ເຂົ້າເຖິງດ່ວນ
notif_txt,ແຈ້ງການ
notif_at,ແຈ້ງ​ການ​ທີ່
chg_curr,ກຳລັງສາກໄຟ
charge_perm,ປະສິດທິພາບການສາກໄຟ
maxi_charge_per,ປະສິດທິພາບການສາກໄຟສູງສຸດ
enb_notif,ເປີດໃຊ້ການແຈ້ງເຕືອນ
perm_send_notif,ຕົວຈັດການແບດເຕີຣີຕ້ອງການການອະນຸຍາດເພື່ອສົ່ງການແຈ້ງເຕືອນ, ມັນຕ້ອງຖືກເປີດໃຊ້ໃນການຕັ້ງຄ່າຂອງອຸປະກອນ.
to_set,ໄປທີ່ການຕັ້ງຄ່າ
title_autost,ເປີດໃຊ້ Autostart
auto_explain,ຕົວຈັດການແບດເຕີຣີຕ້ອງການການອະນຸຍາດເພື່ອສືບຕໍ່ເປີດໃຊ້ໃນພື້ນຫຼັງເພື່ອສອບຖາມສະຖານະແບັດເຕີຣີ ແລະສົ່ງການແຈ້ງເຕືອນ.
sync_auto,ຊິ້ງຂໍ້ມູນອັດຕະໂນມັດ
dis_auto_sync,ການປິດໃຊ້ງານການຊິງໂຄຣໄນອັດຕະໂນມັດຈະຊ່ວຍຫຼຸດການຊັກໄດ້ຢ່າງຫຼວງຫຼາຍ. ຢ່າງໃດກໍຕາມ, ບາງຫນ້າທີ່ເຊັ່ນການຮັບອີເມລ໌ຈະສູນເສຍໄປ.
chg_lim,ຈຳກັດຄ່າໃຊ້ຈ່າຍ
avoid_ful_explain,ຖ້າ​ເຈົ້າ​ສາກ​ແບັດ​ເຕີ​ຣີ​ຂອງ​ເຈົ້າ​ຈົນ​ເຖິງ​ທີ່​ສູງ​ສຸດ ຫຼື​ປ່ອຍ​ມັນ​ໄປ​ຈົນ​ກວ່າ​ມັນ​ຈະ​ປິດ, ສະ​ພາບ​ແລະ​ຊີ​ວິດ​ການ​ບໍ​ລິ​ການ​ຂອງ​ແບັດ​ເຕີ​ຣີ​ຈະ​ຖືກ​ຫຼຸດ​ລົງ. ຕໍ່ໄປນີ້, ທ່ານສາມາດກໍານົດຕໍາ່ສຸດທີ່ແລະສູງສຸດຂອງການສາກໄຟຫຼືສະຖານະພາບການໄຫຼຂອງຫມໍ້ໄຟແລະທ່ານຈະໄດ້ຮັບການແຈ້ງເຕືອນໃນແຕ່ລະຄັ້ງທີ່ມູນຄ່າເກນໄດ້ບັນລຸ. ຫຼີກລ້ຽງການສາກໄຟອັນໜຶ່ງໃຫ້ເຕັມແລ້ວປະຖິ້ມແບັດເຕີຣີຂອງເຈົ້າ ແລະຍືດອາຍຸຂອງແບັດເຕີຣີ.
rec_notif,ບໍ່ໄດ້ຮັບການແຈ້ງເຕືອນບໍ?
title_allow_bg_act,ອະນຸຍາດການເຄື່ອນໄຫວໃນພື້ນຫຼັງ
allow_bg_act,ເພື່ອໃຫ້ທ່ານສາມາດນໍາໃຊ້ຕົວຈັດການແບດເຕີຣີໄດ້ໂດຍບໍ່ມີຂໍ້ຈໍາກັດໂດຍບໍ່ໄດ້ປິດໂດຍບໍ່ໄດ້ຕັ້ງໃຈໂດຍລະບົບປະຕິບັດການ, ທ່ານອາດຈະຕ້ອງປິດການທໍາງານພິເສດສໍາລັບການຄຸ້ມຄອງແບດເຕີລີ່ແລະການນໍາໃຊ້ຫມໍ້ໄຟໃນການຕັ້ງຄ່າ. ເນື່ອງຈາກວ່າຜູ້ຜະລິດຕ່າງໆແຕກຕ່າງກັນໃນການອອກແບບທາງເລືອກເຫຼົ່ານີ້ຂຶ້ນກັບລະບົບປະຕິບັດການທີ່ໃຊ້. ໃນພື້ນທີ່ຂໍ້ມູນແອັບ, ພາຍໃຕ້ການນອນ ຫຼື ແບັດເຕີຣີ, ເລືອກບໍ່ມີຂໍ້ຈຳກັດ ຫຼື ອະນຸຍາດໃຫ້ມີການເຄື່ອນໄຫວໃນພື້ນຫຼັງ.
dev_usage,ການນໍາໃຊ້ອຸປະກອນ
dep_sleep,ການນອນຫຼັບເລິກແມ່ນສະຖານະທີ່ອຸປະກອນຂອງທ່ານໃຊ້ແບັດເຕີຣີໜ້ອຍທີ່ສຸດ. ໄລຍະເວລາຂອງການນອນເລິກມີຜົນກະທົບທາງບວກຕໍ່ການປະຫຍັດພະລັງງານ. ການນອນຫລັບເລິກສາມາດຖືກລົບກວນໂດຍການເຮັດວຽກໃນພື້ນຫຼັງ, ເຊິ່ງເຮັດໃຫ້ແບດເຕີລີ່ໄຫຼໄວຂຶ້ນ. ໃນກໍລະນີນີ້, restart ອຸປະກອນຂອງທ່ານ.
title_bat_temp,ອຸນຫະພູມຫມໍ້ໄຟ
bat_tempp,ອຸນຫະພູມຫມໍ້ໄຟແມ່ນຫນຶ່ງໃນປັດໃຈສໍາຄັນທີ່ສຸດ. ຖ້າແບດເຕີຣີຖືກເກັບໄວ້ໃນອຸນຫະພູມສູງ, ນີ້ຈະສົ່ງຜົນກະທົບຕໍ່ທັງຊີວິດການບໍລິການແລະປະສິດທິພາບຂອງຫມໍ້ໄຟ. ຖ້າອຸນຫະພູມສູງຂຶ້ນ, ໂຄງສ້າງພາຍໃນຂອງແບດເຕີຣີສາມາດເສຍຫາຍໄດ້.
rdc_brightness,ຫຼຸດຄວາມສະຫວ່າງໜ້າຈໍ
display_explain,ຈໍສະແດງຜົນແມ່ນຫນຶ່ງໃນອົງປະກອບທີ່ບໍລິໂພກພະລັງງານຫຼາຍທີ່ສຸດ. ການຫຼຸດຜ່ອນຄວາມສະຫວ່າງສູງສຸດຈະຊ່ວຍຫຼຸດຜ່ອນການບໍລິໂພກໂດຍລວມແລະບັນລຸການປະຫຍັດທີ່ສັງເກດເຫັນ. ກ່ອນທີ່ຈະຫຼຸດຄວາມສະຫວ່າງ, ປິດໃຊ້ງານຄວາມສະຫວ່າງອັດຕະໂນມັດເພື່ອບໍ່ໃຫ້ຄວາມສະຫວ່າງມີການປ່ຽນແປງໂດຍບໍ່ຈໍາເປັນ.
tst_charge,ທົດສອບເຄື່ອງສາກ
best_way_test,ວິທີທີ່ດີທີ່ສຸດໃນການທົດສອບສາຍສາກແລະສາຍແມ່ນໂດຍການກວດສອບຄວາມໄວຂອງການສາກໄຟໂດຍປິດຫນ້າຈໍ. ຄວາມໄວໃນການສາກໄຟເມື່ອໜ້າຈໍເປີດຢູ່ນັ້ນບໍ່ແມ່ນມາດຕະຖານທີ່ດີ ເພາະວ່າໂທລະສັບຂອງທ່ານກຳລັງກິນໄຟຢູ່, ເຊິ່ງກໍ່ໃຫ້ເກີດການເໜັງຕີງ. ສຽບສາຍສາກ, ປິດໜ້າຈໍສອງສາມນາທີ, ແລ້ວກວດເບິ່ງກະແສໄຟສູງສຸດ.
wait_title,ລໍຖ້າ
rfsh_rate,ອັດຕາການໂຫຼດຂໍ້ມູນຄືນໃໝ່
low_sizty,ການຫຼຸດອັດຕາການໂຫຼດຫນ້າຈໍຄືນເປັນ 60 Hz ປັບປຸງອາຍຸຂອງຫມໍ້ໄຟ.
drk_mode,ໂໝດມືດ
acti_dark_mode,ເປີດໃຊ້ໂໝດມືດ, ໃນໂໝດມືດໃຊ້ພະລັງງານໜ້ອຍລົງ
actz,ເປີດໃຊ້
poz,ພະລັງງານ
minz,ຕໍາ່ສຸດທີ່
avgo,ສະເລ່ຍ
mixi1,ສູງສຸດ
msg_dis,ຂໍ້ຄວາມຫາຍໄປຫຼັງຈາກ 24 ຊົ່ວໂມງຖ້າມີຂໍ້ມູນພຽງພໍເພື່ອສະແດງແຜນວາດເຕັມ.
no_enough,ບໍ່ມີຂໍ້ມູນພຽງພໍເພື່ອສະແດງ
log_graph,ໃນສອງສາມຊົ່ວໂມງທ່ານຈະເຫັນເສັ້ນສະແດງຢູ່ນີ້ທີ່ຈະຊ່ວຍໃຫ້ທ່ານສາມາດກວດສອບອຸນຫະພູມຫມໍ້ໄຟ, ແຮງດັນ, amperage ແລະລະດັບໃນໄລຍະ 24 ຊົ່ວໂມງທີ່ຜ່ານມາ.
week,ອາທິດ
buy_it,ຊື້
one_pur,ຄ່າທຳນຽມຄັ້ງດຽວຂອງ
refun_pur,ການຊື້ສາມາດຄືນເງິນໄດ້ພາຍໃນ 2 ຊົ່ວໂມງ.
each_month,ການສະໝັກໃຊ້ອັດຕະໂນມັດຕໍ່ອາຍຸໃນແຕ່ລະເດືອນ ແລະສືບຕໍ່ມີຄ່າໃຊ້ຈ່າຍຕໍ່ເດືອນ. ການສະໝັກໃຊ້ສາມາດຖືກຍົກເລີກໄດ້ທຸກເວລາ.
mng_subs,ຈັດການການສະໝັກໃຊ້
subsci,ຈອງ
will_cost_week,ການຕໍ່ອາຍຸການສະໝັກໃຊ້ອັດຕະໂນມັດໃນແຕ່ລະອາທິດ ແລະສືບຕໍ່ມີຄ່າໃຊ້ຈ່າຍຕໍ່ອາທິດ. ການສະໝັກໃຊ້ສາມາດຖືກຍົກເລີກໄດ້ທຸກເວລາ.
lfllong,ຕະຫຼອດຊີວິດ
mthly,ປະຈໍາເດືອນ
wkly,ອາທິດ
hoto,ຮ້ອນ
prm_ben_title,ສິດທິປະໂຫຍດພິເສດ
sync_title,ຊິ້ງຂໍ້ມູນ
