title,يختلف Battery Manager Lite
we_real_time,هل يقوم Battery Manager بجمع معلومات دقيقة عن الموقع في الوقت الفعلي من الجهاز؟
exp_loc_perm_man,يتحقق Battery Manger فقط مما إذا كان الموقع نشطًا أو معطلاً ، لكنه لا يجمع أي معلومات دقيقة حول موقع جهازك المحمول. يتم تعيين هذه الوظائف القائمة على الموقع افتراضيًا. يمكنك إلغاء تنشيط أو إعادة تنشيط هذه الوظائف في إعدادات الجهاز الخاص بك. قبل تثبيت التطبيقات أو بعده ، سيُطلب منك - اعتمادًا على الجهاز - ما إذا كنت تفضل إلغاء تنشيط هذه الوظائف أو تنشيطها. لا يمكننا جمع بيانات حول موقعك إلا إذا قمت بتنشيط خدمات الموقع هذه.
chng,التغييرات
pri_update_exp,قد يتم تحديث سياسة الخصوصية هذه من وقت لآخر لأي سبب. سنبلغك بالتغييرات التي تطرأ على سياسة الخصوصية الخاصة بنا عن طريق نشر سياسة الخصوصية الجديدة على عنوان الويب هذا وإخطارك عبر رسالة في التطبيق. يوصى بمراجعة سياسة الخصوصية هذه بانتظام لإجراء تغييرات ، حيث يعتبر الاستخدام المستمر موافقة على جميع التغييرات. يمكنك مراجعة تاريخ هذه السياسة على هذا الموقع.
contct,اتصال
any_que,إذا كان لديك أي أسئلة حول حماية البيانات أثناء استخدام التطبيق أو لديك أسئلة حول ممارساتنا ، فيرجى إرسال بريد إلكتروني إلى baxolino.de@gmail.com
mem_opti,يحتاج مدير البطارية إلى الوصول إلى "الذاكرة" حتى يمكن فحص التطبيقات وتحسينها. يمكنك إلغاء تنشيط أو تنشيط هذه الوظائف في إعدادات الجهاز الخاص بك. قبل تثبيت التطبيق أو بعده ، سيُطلب منك - اعتمادًا على الجهاز - ما إذا كنت تفضل إلغاء تنشيط هذه الوظائف أو تنشيطها.
storg,تخزين
ble_set_acc,blue_set_perm ، يتطلب مدير البطارية الوصول إلى "الوصول إلى إعداد Bluetooth" حتى يمكن التحقق مما إذا كان Bluetooth قد تم تنشيطه أو تعطيله. ولتفعيل البلوتوث أو تعطيله.
ble_title,بلوتوث
needz_del,يتطلب مدير البطارية الوصول إلى "طلب حذف الحزم" لبدء إلغاء تثبيت التطبيق. سيتم إلغاء تثبيت التطبيق فقط إذا سمحت بذلك صراحة.
deletion_pkg,طلب حذف الطرود
need_adnd,يتطلب مدير البطارية الوصول إلى "عدم الإزعاج" لتمكين أو تعطيل وضع عدم الإزعاج.
adnd,الوصول إلى "عدم الإزعاج"
need_wlan_acc,يتطلب Battery Manager الوصول إلى "Get WLAN Connections" حتى يتمكن مدير البطارية من التحقق مما إذا تم تنشيط WLAN أو إلغاء تنشيطه. ولتفعيل أو إلغاء تنشيط WLAN.
wln_conn,احصل على اتصالات WLAN
shop_bill_exp,عندما تتسوق عبر Google Play In App Billing ، تعطينا Google بلد إقامتك وأحيانًا الولاية والمدينة والرمز البريدي ، ولكن ليس العنوان الكامل. نستخدم هذه المعلومات للامتثال للوائح الضرائب والمحاسبة.
pri_date,اعتبارًا من 21/02/2021
how_to_stop,يمكنك إيقاف المجموعة الكاملة للمعلومات عن طريق التطبيق ببساطة عن طريق إلغاء تثبيت التطبيق. يمكنك استخدام عمليات إلغاء التثبيت القياسية المتوفرة كجزء من جهازك المحمول أو من خلال السوق أو الشبكة لتطبيقات الهاتف المحمول.
opt_out,ما هي حقوق الانسحاب الخاصة بي؟
ur_permission,عن إذنك
accept_privacy,باستخدام التطبيق ، فإنك توافق على معالجتنا لبياناتك على النحو المنصوص عليه في سياسة الخصوصية هذه وكما تم تعديله من قبلنا.
