title,Battery Manager Lite는 다릅니다.
user_got_pre,이제 광고 없이 사용자 인터페이스 및 사용법의 광범위한 사용자 정의에 액세스할 수 있습니다.
exp_more,향후 업데이트에서 더 많은 기능을 기대할 수 있습니다.
ap_optimiz,앱 최적화
sys_bat_usage,시스템 배터리 소모
bat_usage_det,배터리 사용량 세부정보
end_optiz,최종 최적화
abort,중단
break_up,헤어지다
scn,스캔
scn_bgh,화면 밝기
dact_wlan,WLAN 비활성화
dact_save_batt,비활성화하여 배터리 절약
dact,비활성화
dact_ble,블루투스 비활성화
red_brigh,밝기 감소
bright_txt,배터리를 절약하기 위해 디스플레이 밝기를 줄입니다.
to_reduce,줄이기 위해
dact_gps,GPS 비활성화
appz_optimz,최적화된 앱
start_bat_check_det,항상 안전을 위해 자세한 배터리 확인을 시작하십시오.
act_eng_save,에너지 절약 모드를 활성화하여 배터리 소모를 줄입니다.
remove_useless,더 이상 사용하지 않는 앱 제거
premium,프리미엄
clear_mem,메모리 정리
clear_mem_des,스마트폰이 빠르고 원활하게 실행되도록 합니다.
clenaup,대청소
rat,평가
rat_free,무료 배터리 관리자 평가
sendz,보내다
elmn_found,찾은 요소
drumz,드럼
status,상태
end_akk_check,배터리 확인 종료
bat_detlz,배터리 세부 정보
temp_checked,온도 확인
cond_checked,배터리 상태가 확인됩니다.
checkz_start,배터리 확인 시작
plug_in,연결됨
techz,기술
coldz,추운
until,까지
well,잘
ovr_heat,과열
ovr_load,초과 적재
renam,개명
not_def,정의되지 않음
chrgz,요금
full,가득한
unloadz,하역
not_charge_unkn,청구되지 않았거나 알 수 없음
usb,USB
charger,충전기
wless,무선 전화
not_at_al,전혀
uninstall,제거
update,업데이트하려면
setting,설정
app,앱
not_found,앱을 찾을 수 없음
search,앱 검색
version_code,버전 코드
api_level,API 수준
app_version,앱 버전
authorization,권한 부여
open,열기 위해
play_store,플레이 스토어
control,제어
systemstandart,시스템 표준
white,하얀색
dark,어두운
ocean,대양
black,검은색
dark_blue,진한 파란색
excellent,훌륭한
bad,나쁜
battery_bad,배터리가 약간 손상됨
very_bad,아주 나쁜
battery_damaged,배터리가 손상됨
custom_mode,커스텀 모드
brightness,명도
automatic_brightness,자동 밝기
normal,정상
sound_modus,소리 방식
tone_work,모든 톤 작동
mute,음소거
call_note_mute,통화 및 알림이 음소거됨
not_bother,귀찮게 하지마
tones_vibration_mute,알림음을 제외한 신호음과 진동을 끕니다.
sound,소리
music,음악
notification,공고
alarm,경보
ultra_saving,울트라 에너지 절약 모드
edit,편집
disable_ultra_saving,울트라 에너지 절약 모드 비활성화
min_remaining,분 남음
hours,시간
activted_ultra_saving,울트라 에너지 절약 모드가 활성화되었습니다.
charged_in,충전
min,분
limit_power,전력 소비 제한
reduce_screen,화면 밝기 줄이기
restrict_bg_act_explain,백그라운드 활동 제한
volatge_check,전압이 확인됨
software_optimized,소프트웨어가 최적화되었습니다
connect_charger,충전기 연결
charger_removed,충전기 제거 가능
power_consump_title,전력 소비
srcn_bg_title,화면 밝기
bg_al_activities,백그라운드 활동
sftware,소프트웨어
get_primium,프리미엄 버전을 구매하면 현재의 모든 기능은 물론 향후 모든 새로운 기능을 사용할 수 있습니다.
cuztomize_face,사용자 인터페이스의 사용자 정의
comp_scheme,다양한 테마에서 배터리 관리자 색 구성표를 구성하십시오.
bat_check_detail,자세한 배터리 확인
check_cond_test,배터리 관리자를 사용하여 배터리 상태가 항상 안전한지 확인하십시오.
no_ads_yo,광고 없음
use_explain_noads,광고 없이 배터리 관리자 사용
act_energy_save,긴급 상황에서 배터리 수명을 늘리려면 울트라 에너지 절약 모드를 활성화하십시오.
buy_title,프리미엄 구매
loc_title,위치
cap_title,용량
cap_remain,남은 용량
sleepy,잠
sek,초
sing_min,분
miniotes,분
finish,완성된
mobi_data,모바일 데이터
plz_rate,Play 스토어에서 Battery Manager를 평가해 주세요.
ur_data_cus,귀하를 위해 광고를 맞춤화하기 위해 귀하의 데이터를 계속 사용할 수 있습니까?
in_slep_mode,절전 모드에서
in_use,사용
with_curr_pow,현재 전력 소비
rem_bat_life,남은 배터리 수명
qck_acc,빠른 접근
notif_txt,공고
notif_at,에 통지
chg_curr,충전 전류
charge_perm,충전 성능
maxi_charge_per,최대 충전 성능
enb_notif,알림 활성화
perm_send_notif,배터리 관리자는 알림을 보내려면 권한이 필요하며 장치 설정에서 활성화해야 합니다.
to_set,설정으로
title_autost,자동 시작 활성화
auto_explain,배터리 관리자는 배터리 상태를 쿼리하고 알림을 보내려면 백그라운드에서 활성화된 상태를 유지하기 위한 권한이 필요합니다.
sync_auto,자동으로 동기화
dis_auto_sync,자동 동기화를 비활성화하면 wakelock이 크게 줄어듭니다. 그러나 이메일 수신과 같은 일부 기능이 손실됩니다.
chg_lim,충전 한도
avoid_ful_explain,배터리를 최대로 충전하거나 전원이 꺼질 때까지 방전하면 배터리의 상태와 수명이 단축됩니다. 다음에서 배터리의 최소 및 최대 충전 또는 방전 상태를 설정할 수 있으며 임계값에 도달할 때마다 알림을 받게 됩니다. 배터리를 완전히 충전 및 방전하지 말고 배터리 수명을 연장하십시오.
rec_notif,알림을 받지 못하셨습니까?
title_allow_bg_act,백그라운드 활동 허용
allow_bg_act,운영 체제에 의해 의도치 않게 닫히지 않고 배터리 관리자를 제한 없이 사용하려면 설정에서 배터리 관리 및 배터리 사용을 위한 특수 기능을 꺼야 할 수 있습니다. 다양한 제조업체가 사용하는 운영 체제에 따라 이러한 옵션 지정이 다르기 때문입니다. 앱 정보 영역의 절전 또는 배터리에서 제한 없음 또는 백그라운드 활동 허용을 선택합니다.
dev_usage,장치 사용
dep_sleep,깊은 수면은 장치가 최소한의 배터리를 사용하는 상태입니다. 깊은 수면 시간은 에너지 절약에 긍정적인 영향을 미칩니다. 딥슬립은 백그라운드 작업에 의해 중단될 수 있으며 이로 인해 배터리가 더 빨리 방전됩니다. 이 경우 장치를 다시 시작하십시오.
title_bat_temp,배터리 온도
bat_tempp,배터리 온도는 가장 중요한 요소 중 하나입니다. 배터리가 고온에서 겔 상태로 유지되면 배터리 수명과 성능에 모두 영향을 미칩니다. 온도가 상승하면 배터리 내부 구조가 손상될 수 있습니다.
rdc_brightness,화면 밝기 줄이기
display_explain,디스플레이는 대부분의 에너지를 소비하는 구성 요소 중 하나입니다. 최대 밝기를 줄이면 전체 소비량을 줄이고 눈에 띄게 절약할 수 있습니다. 밝기를 줄이기 전에 불필요하게 밝기가 변경되지 않도록 자동 밝기를 비활성화하십시오.
tst_charge,테스트 충전기
best_way_test,충전기와 케이블을 테스트하는 가장 좋은 방법은 화면을 끈 상태에서 충전 속도를 확인하는 것입니다. 화면이 켜져 있을 때의 충전 속도는 휴대전화가 전력을 소비하여 변동을 일으키기 때문에 좋은 벤치마크가 아닙니다. 충전기를 연결하고 몇 분 동안 화면을 끈 다음 최대 충전 전류를 확인하십시오.
wait_title,대기 중
rfsh_rate,재생률
low_sizty,새로 고침 빈도를 60Hz로 낮추면 배터리 수명이 향상됩니다.
drk_mode,다크 모드
acti_dark_mode,다크 모드 활성화, 다크 모드에서는 전력 소비 감소
actz,활성화
poz,힘
minz,최저한의
avgo,평균
mixi1,최고
msg_dis,다이어그램 전체를 표시하기에 충분한 데이터가 있는 경우 24시간 후에 메시지가 사라집니다.
no_enough,표시할 데이터가 충분하지 않음
log_graph,몇 시간 안에 지난 24시간 동안의 배터리 온도, 전압, 암페어 및 레벨을 확인할 수 있는 그래프가 여기에 표시됩니다.
week,주
buy_it,구입하다
one_pur,일회성 요금
refun_pur,구매는 2시간 이내에 환불될 수 있습니다.
each_month,구독은 매월 자동 갱신되며 매월 비용이 계속 청구됩니다. 구독은 언제든지 취소할 수 있습니다.
mng_subs,구독 관리
subsci,구독하다
will_cost_week,구독은 매주 자동 갱신되며 계속해서 매주 비용이 청구됩니다. 구독은 언제든지 취소할 수 있습니다.
lfllong,평생
mthly,월간 간행물
wkly,주간
hoto,더운
prm_ben_title,프리미엄 혜택
sync_title,동기화
dis_sync_inc,동기화를 비활성화하면 백그라운드에서 서비스를 동기화하지 않아 배터리 수명이 늘어납니다.
time_out,타임아웃
dec_extend,디스플레이가 꺼지기 전에 시간을 줄이면 배터리 수명이 연장됩니다.
u_end_opti,최적화 프로세스를 종료하시겠습니까?
no_why_perm,비허가
bright_exp,배터리 관리자는 화면 밝기를 낮추거나 Bluetooth를 끄려면 시스템 설정 변경 권한이 필요합니다.
tg_title,텔레그램 채널에 가입하세요!
tg_text,앱 업데이트를 최신 상태로 유지하고, 초기 빌드를 받고, 새로운 기능을 테스트하는 데 도움을 줍니다. 아이디어를 제안하고, 질문하고, 더 빠르게 답변을 받으세요.
join_tg,가입하다
curr_consumption,현재 소비
scrn_onn,화면 켜짐
srcn_off,화면 꺼짐
mob_charg,충전 중
discha,방전
activea,활동적인
slpmode,수면 모드
chagingspeed,현재 충전 속도
dta_proxt,데이터 보호
governs,이 개인 정보 보호 정책은 Baxolino에서 만든 모바일 장치용 배터리 관리자 소프트웨어 응용 프로그램의 사용에 적용됩니다.
info_u_provide,사용자가 제공하는 정보
no_pass_per,당사는 개인 데이터를 제3자에게 전달하지 않습니다. 귀하가 당사에 이메일을 보낼 때 당사는 귀하의 이메일 주소를 가지고 있지만 당사는 귀하의 앱을 지원하기 위해서만 이 주소를 사용합니다.
info_auto_coll,자동으로 수집되는 정보
exp_admob_use,Google Admob을 사용하여 광고를 제공합니다. 이러한 서비스의 사용에는 https://www.google.com/policies/privacy/의 Google 데이터 보호 조항이 적용됩니다.
we_real_time,Battery Manager는 장치에서 정확한 실시간 위치 정보를 수집합니까?
exp_loc_perm_man,Battery Manger는 위치 활성화 또는 비활성화 여부만 확인하며 모바일 장치의 위치에 대한 정확한 정보는 수집하지 않습니다. 이러한 위치 기반 기능은 기본적으로 설정되어 있습니다. 해당 장치의 설정에서 이러한 기능을 비활성화하거나 재활성화할 수 있습니다. 앱을 설치하기 전이나 후에 장치에 따라 이러한 기능을 비활성화할지 아니면 활성화할지 묻는 메시지가 표시됩니다. 귀하가 그러한 위치 서비스를 활성화한 경우에만 귀하의 위치에 대한 데이터를 수집할 수 있습니다.
chng,변경 사항
pri_update_exp,이 개인 정보 보호 정책은 어떤 이유로든 수시로 업데이트될 수 있습니다. 이 웹 주소에 새로운 개인 정보 보호 정책을 게시하고 앱의 메시지를 통해 알려줌으로써 개인 정보 보호 정책의 변경 사항을 알려드립니다. 지속적인 사용은 모든 변경 사항에 대한 승인으로 간주되므로 정기적으로 본 개인 정보 보호 정책을 참조하여 변경 사항을 확인하는 것이 좋습니다. 이 웹사이트에서 이 정책의 기록을 검토할 수 있습니다.
contct,연락하다
any_que,응용 프로그램을 사용하는 동안 데이터 보호에 대한 질문이 있거나 당사 관행에 대한 질문이 있는 경우 baxolino.de@gmail.com으로 이메일을 보내주십시오.
mem_opti,배터리 관리자는 앱을 스캔하고 최적화할 수 있도록 "메모리" 액세스가 필요합니다. 해당 장치의 설정에서 이러한 기능을 비활성화하거나 활성화할 수 있습니다. 앱을 설치하기 전이나 후에 장치에 따라 이러한 기능을 비활성화할지 아니면 활성화할지 묻는 메시지가 표시됩니다.
storg,저장
ble_set_acc,blue_set_perm,Battery Manager는 블루투스 활성화/비활성화 여부를 확인할 수 있도록 "블루투스 설정 접근" 접근이 필요합니다. 그리고 Bluetooth를 활성화 또는 비활성화합니다.
ble_title,블루투스
needz_del,앱 제거를 시작하려면 배터리 관리자에 "패키지 삭제 요청" 액세스 권한이 필요합니다. 명시적으로 허용하는 경우에만 앱이 제거됩니다.
deletion_pkg,패키지 삭제 요청
need_adnd,배터리 관리자는 방해 금지 모드를 활성화 또는 비활성화하려면 "방해 금지" 액세스 권한이 필요합니다.
adnd,액세스 방해 금지
need_wlan_acc,Battery Manager는 WLAN이 활성화되었는지 또는 비활성화되었는지 확인할 수 있도록 "WLAN 연결 가져오기"에 대한 액세스 권한이 필요합니다. 그리고 WLAN을 활성화 또는 비활성화합니다.
wln_conn,WLAN 연결 가져오기
shop_bill_exp,Google Play 인앱 결제를 통해 쇼핑할 때 Google은 귀하의 거주 국가와 경우에 따라 주, 도시 및 우편번호를 제공하지만 전체 주소는 제공하지 않습니다. 우리는 세금 및 회계 규정을 준수하기 위해 이 정보를 사용합니다.
pri_date,2021년 2월 21일 현재
how_to_stop,귀하는 단순히 애플리케이션을 제거함으로써 애플리케이션에 의한 전체 정보 수집을 중지할 수 있습니다. 모바일 장치의 일부로 사용하거나 시장 또는 모바일 애플리케이션용 네트워크를 통해 사용할 수 있는 표준 제거 프로세스를 사용할 수 있습니다.
opt_out,나의 옵트아웃 권리는 무엇입니까?
ur_permission,당신의 허가
accept_privacy,애플리케이션을 사용함으로써 귀하는 본 개인 정보 보호 정책에 명시되고 당사가 수정한 대로 당사가 귀하의 데이터를 처리하는 데 동의하는 것입니다.
