title,Battery Manager Lite นั้นแตกต่างออกไป
sync_title,ซิงโครไนซ์
dis_sync_inc,การปิดใช้งานการซิงค์จะเพิ่มอายุการใช้งานแบตเตอรี่โดยไม่ซิงค์บริการในพื้นหลัง
time_out,หมดเวลา
dec_extend,การลดเวลาก่อนที่หน้าจอจะดับลงจะช่วยยืดอายุแบตเตอรี่
u_end_opti,คุณแน่ใจหรือไม่ว่าต้องการยุติกระบวนการเพิ่มประสิทธิภาพ
no_why_perm,ไม่ได้รับอนุญาต
bright_exp,ตัวจัดการแบตเตอรี่ต้องการสิทธิ์เปลี่ยนการตั้งค่าระบบเพื่อลดความสว่างของหน้าจอหรือปิดบลูทูธ
tg_title,เข้าร่วมช่องโทรเลข!
tg_text,ติดตามการอัปเดตแอป รับรุ่นก่อนใคร และช่วยทดสอบฟีเจอร์ใหม่ๆ แนะนำแนวคิดของคุณ ถามคำถาม และรับคำตอบเร็วขึ้น
join_tg,เข้าร่วม
curr_consumption,การบริโภคในปัจจุบัน
scrn_onn,เปิดหน้าจอ
srcn_off,ปิดหน้าจอ
mob_charg,กำลังชาร์จ
discha,ปล่อย
activea,คล่องแคล่ว
slpmode,โหมดสลีป
chagingspeed,ความเร็วในการชาร์จปัจจุบัน
dta_proxt,การป้องกันข้อมูล
governs,นโยบายความเป็นส่วนตัวนี้ควบคุมการใช้แอปพลิเคชันซอฟต์แวร์ตัวจัดการแบตเตอรี่สำหรับอุปกรณ์เคลื่อนที่ที่สร้างโดย Baxolino
info_u_provide,ข้อมูลที่ผู้ใช้ให้มา
no_pass_per,เราไม่ส่งต่อข้อมูลส่วนบุคคลไปยังบุคคลที่สาม เมื่อคุณส่งอีเมลถึงเรา เรามีที่อยู่อีเมลของคุณ แต่เราใช้ที่อยู่อีเมลนี้เพื่อช่วยเหลือคุณเกี่ยวกับแอพของเราเท่านั้น
info_auto_coll,ข้อมูลที่รวบรวมโดยอัตโนมัติ
exp_admob_use,เราใช้ Google Admob เพื่อแสดงโฆษณา การใช้บริการเหล่านี้อยู่ภายใต้ข้อกำหนดการคุ้มครองข้อมูลของ Google ที่ https://www.google.com/policies/privacy/
we_real_time,ตัวจัดการแบตเตอรี่รวบรวมข้อมูลตำแหน่งแบบเรียลไทม์ที่แม่นยำจากอุปกรณ์หรือไม่
exp_loc_perm_man,ตัวจัดการแบตเตอรี่จะตรวจสอบเฉพาะตำแหน่งที่เปิดใช้งานหรือปิดใช้งาน แต่ไม่ได้รวบรวมข้อมูลที่แม่นยำใดๆ เกี่ยวกับตำแหน่งของอุปกรณ์มือถือของคุณ ฟังก์ชันตามตำแหน่งดังกล่าวถูกตั้งค่าเป็นค่าเริ่มต้น คุณสามารถปิดหรือเปิดใช้งานฟังก์ชันเหล่านี้อีกครั้งในการตั้งค่าของอุปกรณ์ที่เกี่ยวข้อง ก่อนหรือหลังการติดตั้งแอป ระบบจะถามคุณ - ขึ้นอยู่กับอุปกรณ์ - ว่าคุณต้องการปิดใช้งานหรือเปิดใช้งานฟังก์ชันเหล่านี้หรือไม่ เราสามารถรวบรวมข้อมูลเกี่ยวกับตำแหน่งของคุณได้ก็ต่อเมื่อคุณเปิดใช้งานบริการระบุตำแหน่งดังกล่าว
chng,การเปลี่ยนแปลง
pri_update_exp,นโยบายความเป็นส่วนตัวนี้อาจมีการปรับปรุงเป็นครั้งคราวด้วยเหตุผลใดก็ตาม เราจะแจ้งให้คุณทราบเกี่ยวกับการเปลี่ยนแปลงนโยบายความเป็นส่วนตัวของเราโดยการโพสต์นโยบายความเป็นส่วนตัวใหม่ในที่อยู่เว็บนี้และแจ้งให้คุณทราบผ่านข้อความในแอป ขอแนะนำให้คุณอ่านนโยบายความเป็นส่วนตัวนี้เป็นประจำสำหรับการเปลี่ยนแปลง เนื่องจากการใช้งานต่อไปถือเป็นการอนุมัติการเปลี่ยนแปลงทั้งหมด คุณสามารถตรวจสอบประวัติของนโยบายนี้ได้ในเว็บไซต์นี้
contct,ติดต่อ
any_que,หากคุณมีคำถามใดๆ เกี่ยวกับการปกป้องข้อมูลขณะใช้งานแอปพลิเคชัน หรือมีคำถามเกี่ยวกับหลักปฏิบัติของเรา โปรดส่งอีเมลไปที่ baxolino.de@gmail.com
mem_opti,ตัวจัดการแบตเตอรี่ต้องการการเข้าถึง "หน่วยความจำ" เพื่อให้สามารถสแกนและปรับแต่งแอปได้ คุณสามารถปิดหรือเปิดใช้งานฟังก์ชันเหล่านี้ได้ในการตั้งค่าของอุปกรณ์ที่เกี่ยวข้อง ก่อนหรือหลังการติดตั้งแอป ระบบจะถามคุณ - ขึ้นอยู่กับอุปกรณ์ - ว่าคุณต้องการปิดใช้งานหรือเปิดใช้งานฟังก์ชันเหล่านี้หรือไม่
storg,พื้นที่จัดเก็บ
ble_set_acc,blue_set_perm,ตัวจัดการแบตเตอรี่ต้องการการเข้าถึง "การเข้าถึงการตั้งค่าบลูทูธ" เพื่อให้สามารถตรวจสอบได้ว่าเปิดใช้งานหรือปิดใช้งานบลูทูธ และเพื่อเปิดหรือปิดใช้งานบลูทูธ
ble_title,บลูทู ธ
needz_del,ตัวจัดการแบตเตอรี่ต้องการการเข้าถึง "ขอลบแพ็คเกจ" เพื่อเริ่มการถอนการติดตั้งแอพ แอปจะถูกถอนการติดตั้งก็ต่อเมื่อคุณอนุญาตอย่างชัดเจนเท่านั้น
deletion_pkg,ขอลบแพ็คเกจ
need_adnd,ตัวจัดการแบตเตอรี่ต้องการการเข้าถึง "ห้ามรบกวน" เพื่อเปิดหรือปิดโหมดห้ามรบกวน
adnd,เข้าถึงห้ามรบกวน
need_wlan_acc,ตัวจัดการแบตเตอรี่ต้องการการเข้าถึง "รับการเชื่อมต่อ WLAN" เพื่อให้ตัวจัดการแบตเตอรี่สามารถตรวจสอบได้ว่าเปิดใช้งานหรือปิดใช้งาน WLAN และเพื่อเปิดหรือปิดใช้งาน WLAN
wln_conn,รับการเชื่อมต่อ WLAN
shop_bill_exp,เมื่อคุณซื้อสินค้าผ่าน Google Play ใน App Billing Google จะให้ประเทศที่คุณอาศัยอยู่ และบางครั้งรัฐ เมือง และรหัสไปรษณีย์ แต่จะไม่ระบุที่อยู่แบบเต็ม เราใช้ข้อมูลนี้เพื่อปฏิบัติตามข้อบังคับด้านภาษีและการบัญชี
pri_date,ณ วันที่ 21/02/2021
how_to_stop,คุณสามารถหยุดการรวบรวมข้อมูลทั้งหมดโดยแอปพลิเคชันได้ง่ายๆ โดยถอนการติดตั้งแอปพลิเคชัน คุณสามารถใช้กระบวนการถอนการติดตั้งมาตรฐานที่มีอยู่ในอุปกรณ์มือถือของคุณหรือผ่านตลาดหรือเครือข่ายสำหรับแอปพลิเคชันมือถือ
opt_out,สิทธิ์ในการไม่เข้าร่วมของฉันคืออะไร?
ur_permission,การอนุญาตของคุณ
accept_privacy,การใช้แอปพลิเคชันแสดงว่าคุณยินยอมให้เราประมวลผลข้อมูลของคุณตามที่กำหนดไว้ในนโยบายความเป็นส่วนตัวนี้และตามที่แก้ไขโดยเรา
