title,Battery Manager Lite 与众不同
start_bat_check_det,开始详细的电池检查以确保安全
act_eng_save,激活节能模式以减少电池消耗
remove_useless,卸载不再使用的应用程序
premium,优质的
clear_mem,清理内存
clear_mem_des,让您的智能手机快速流畅地运行。
clenaup,清理
rat,评分
rat_free,免费评价电池管理器
sendz,发送
elmn_found,发现元素
drumz,鼓
status,地位
end_akk_check,结束电池检查
bat_detlz,电池细节
temp_checked,检查体温
cond_checked,检查电池的状况
checkz_start,电池检查开始
plug_in,插入
techz,技术
coldz,寒冷的
until,直到
well,出色地
ovr_heat,过热
ovr_load,超载
renam,更名
not_def,没有定义的
chrgz,收费
full,满的
unloadz,卸载
not_charge_unkn,未收费或未知
usb,USB
charger,充电器
wless,无线
not_at_al,什么都没有
uninstall,卸载
update,更新
setting,设置
app,应用
not_found,找不到应用
search,搜索应用
version_code,版本号
api_level,API级别
app_version,应用版本
authorization,授权
open,打开
play_store,应用商店
control,控制
systemstandart,系统标准
white,白色的
dark,黑暗的
ocean,海洋
black,黑色的
dark_blue,深蓝
excellent,出色的
bad,坏的
battery_bad,电池轻微损坏
very_bad,很坏
battery_damaged,电池损坏
custom_mode,自定义模式
brightness,亮度
automatic_brightness,自动亮度
normal,普通的
sound_modus,声音模式
tone_work,所有音调都有效
mute,沉默的
call_note_mute,通话和通知静音
not_bother,不打扰
tones_vibration_mute,关闭铃声和振动，闹钟铃声除外
sound,声音
music,音乐
notification,通知
alarm,警报
ultra_saving,超级节能模式
edit,编辑
disable_ultra_saving,禁用超级节能模式
min_remaining,剩余时间
hours,小时
activted_ultra_saving,超级节能模式已启动
charged_in,收费
min,分钟
limit_power,限制功耗
reduce_screen,降低屏幕亮度
restrict_bg_act_explain,限制后台活动
volatge_check,检查电压
software_optimized,软件优化
connect_charger,连接充电器
charger_removed,充电器可以取下
power_consump_title,能量消耗
srcn_bg_title,屏幕亮度
bg_al_activities,后台活动
sftware,软件
get_primium,如果您购买高级版，您将获得所有当前功能以及未来的所有新功能。
cuztomize_face,自定义用户界面
comp_scheme,从各种主题组成您的电池管理器配色方案。
bat_check_detail,详细的电池检查
check_cond_test,使用电池管理器检查电池的状况，以确保安全。
no_ads_yo,无广告
use_explain_noads,使用没有任何广告的电池管理器
act_energy_save,激活超级节能模式以增加紧急情况下的电池寿命。
buy_title,购买高级版
loc_title,地点
cap_title,容量
cap_remain,剩余容量
sleepy,睡觉
sek,秒
sing_min,分钟
miniotes,分钟
finish,完成的
mobi_data,移动数据
plz_rate,请在 Play 商店评价电池管理器
ur_data_cus,我们可以继续使用您的数据为您定制广告吗？
in_slep_mode,在睡眠模式
in_use,正在使用
with_curr_pow,以目前的功耗
rem_bat_life,剩余电池寿命
qck_acc,快速访问
notif_txt,通知
notif_at,通知于
chg_curr,充电电流
charge_perm,充电性能
maxi_charge_per,最大充电性能
enb_notif,启用通知
perm_send_notif,电池管理器需要获得发送通知的权限，它必须在设备的设置中激活。
to_set,到设置
title_autost,激活自动启动
auto_explain,电池管理器需要获得在后台保持激活状态的权限，才能查询电池状态并发送通知。
sync_auto,自动同步
dis_auto_sync,禁用自动同步可显着减少唤醒锁。但是，接收电子邮件等一些功能将丢失。
chg_lim,收费限额
avoid_ful_explain,如果将电池充电至最大或放电直至关闭，电池的状况和使用寿命都会缩短。您可以在下面设置电池的最小和最大充电或放电状态，每次达到阈值时都会通知您。避免对电池进行一次完全充电和放电，以延长电池的使用寿命。
rec_notif,没有收到通知？
title_allow_bg_act,允许后台活动
allow_bg_act,为了让您能够不受限制地使用电池管理器而不会被操作系统无意中关闭，您可能需要在设置中关闭电池管理和电池使用的特殊功能。因为不同的制造商根据所使用的操作系统对这些选项的指定有所不同。在“应用程序信息”区域的“睡眠”或“电池”下，选择“无限制”或“允许后台活动”。
dev_usage,设备使用
dep_sleep,深度睡眠是您的设备使用最少电量的状态。深度睡眠的持续时间对节能有积极作用。深度睡眠可能会被后台任务打断，这会导致电池放电更快。在这种情况下，请重新启动您的设备。
title_bat_temp,电池温度
bat_tempp,电池温度是最重要的因素之一。如果电池在高温下保持胶状，这会影响电池的使用寿命和性能。如果温度升高，电池的内部结构可能会损坏。
rdc_brightness,降低屏幕亮度
display_explain,显示器是消耗大部分能量的组件之一。降低最大亮度有助于降低整体功耗并实现显着节省。在降低亮度之前，请关闭自动亮度，以免不必要地改变亮度。
tst_charge,测试充电器
best_way_test,测试充电器和数据线的最佳方法是在屏幕关闭的情况下检查充电速度。屏幕亮起时的充电速度不是一个好的基准，因为你的手机正在消耗电量，这会导致波动。插上充电器，熄屏几分钟，然后查看最大充电电流。
wait_title,等待
rfsh_rate,刷新率
low_sizty,将刷新率降低至 60 Hz 可延长电池寿命。
drk_mode,深色模式
acti_dark_mode,激活深色模式，在深色模式下耗电更少
actz,启用
poz,力量
minz,最低限度
avgo,平均
mixi1,最大
msg_dis,如果有足够的数据来完整显示图表，则该消息会在 24 小时后消失。
no_enough,数据不足，无法显示
log_graph,几小时后，您将在此处看到一个图表，您可以通过该图表检查过去 24 小时内的电池温度、电压、安培数和电平。
week,星期
buy_it,买
one_pur,一次性费用
refun_pur,购买可在 2 小时内退款。
each_month,订阅每月自动续订，并继续按月收费。订阅可以随时取消。
mng_subs,管理订阅
subsci,订阅
will_cost_week,订阅每周自动续订，并继续每周收费。订阅可以随时取消。
lfllong,终身
mthly,每月
wkly,每周
hoto,热的
prm_ben_title,高级福利
sync_title,同步
dis_sync_inc,禁用同步将通过不在后台同步服务来延长电池寿命
time_out,暂停
dec_extend,减少显示屏关闭前的时间可延长电池寿命
u_end_opti,您确定要结束优化过程吗？
no_why_perm,没有权限
bright_exp,电池管理器需要更改系统设置权限才能降低屏幕亮度或关闭蓝牙。
tg_title,加入电报频道！
tg_text,及时了解应用程序更新、获取早期构建并帮助测试新功能。提出您的想法，提出问题并更快地获得答案
join_tg,加入
curr_consumption,目前的消费
scrn_onn,屏幕上
srcn_off,屏幕关闭
mob_charg,收费
discha,放电
activea,积极的
slpmode,睡眠模式
chagingspeed,当前充电速度
dta_proxt,数据保护
governs,本隐私政策约束您对由 Baxolino 创建的移动设备电池管理器软件应用程序的使用。
info_u_provide,用户提供的信息
no_pass_per,我们不会将个人数据传递给第三方。当您给我们发电子邮件时，我们有您的电子邮件地址，但我们只用它来帮助您使用我们的应用程序。
info_auto_coll,自动收集的信息
exp_admob_use,我们使用 Google Admob 投放广告。使用这些服务须遵守 https://www.google.com/policies/privacy/ 上的 Google 数据保护条款。
we_real_time,Battery Manager 是否从设备收集准确的实时位置信息？
exp_loc_perm_man,Battery Manger 仅检查位置是激活还是停用，但不会收集有关您的移动设备位置的任何精确信息。这种基于位置的功能是默认设置的。您可以在各自设备的设置中停用或重新激活这些功能。在安装应用程序之前或之后，系统会根据设备询问您是要停用还是激活这些功能。如果您激活此类位置服务，我们只能收集有关您位置的数据。
chng,变化
pri_update_exp,本隐私政策可能会因任何原因不时更新。我们将通过在此网址上发布新的隐私政策并通过应用程序中的消息通知您来通知您我们隐私政策的变更。建议您定期查阅本隐私政策以了解更改，因为继续使用即视为同意所有更改。您可以在本网站上查看此政策的历史记录。
contct,接触
any_que,如果您在使用该应用程序时对数据保护有任何疑问或对我们的做法有疑问，请发送电子邮件至 baxolino.de@gmail.com
mem_opti,Battery Manager 需要“内存”访问权限，以便可以扫描和优化应用程序。您可以在各自设备的设置中停用或激活这些功能。在安装该应用程序之前或之后，系统会询问您（取决于设备）您是希望停用还是激活这些功能。
storg,贮存
ble_set_acc,blue_set_perm,Battery Manager 需要访问“蓝牙设置访问”，以便可以检查蓝牙是激活还是停用。并激活或停用蓝牙。
ble_title,蓝牙
needz_del,Battery Manager 需要访问“请求删除程序包”才能开始卸载应用程序。该应用程序只有在您明确允许的情况下才会被卸载。
deletion_pkg,请求删除包
need_adnd,电池管理器需要“请勿打扰”访问权限才能启用或禁用“请勿打扰”模式。
adnd,进入免打扰
need_wlan_acc,Battery Manager 需要访问“获取 WLAN 连接”，以便 Battery Manager 可以检查 WLAN 是激活还是停用。以及激活或停用 WLAN。
wln_conn,获取 WLAN 连接
shop_bill_exp,当您通过 Google Play In App Billing 购物时，Google 会向我们提供您的居住国家/地区，有时还会提供州、城市和邮政编码，但绝不会提供完整地址。我们使用这些信息来遵守税务和会计法规。
pri_date,截至 2021 年 2 月 21 日
how_to_stop,您只需卸载应用程序即可停止应用程序收集整个信息。您可以使用作为移动设备的一部分或通过移动应用程序市场或网络提供的标准卸载流程。
opt_out,我有哪些退出权利？
ur_permission,你的许可
accept_privacy,使用该应用程序，即表示您同意我们按照本隐私政策中规定并经我们修订的方式处理您的数据。
