title,Battery Manager Lite beda
tg_text,Tetep saiki karo nganyari app, nggawe awal, lan mbantu nyoba fitur anyar. Nyaranake ide sampeyan, takon lan entuk jawaban luwih cepet
join_tg,melu
curr_consumption,konsumsi saiki
scrn_onn,layar urip
srcn_off,layar mati
mob_charg,Ngisi daya
discha,Ngilangi
activea,Aktif
slpmode,Mode turu
chagingspeed,Kacepetan Ngisi daya saiki
dta_proxt,Proteksi data
governs,Kabijakan privasi iki ngatur panggunaan aplikasi piranti lunak Battery Manager kanggo piranti seluler sing digawe dening Baxolino.
info_u_provide,Informasi sing diwenehake dening pangguna
no_pass_per,Kita ora ngirim data pribadhi menyang pihak katelu. Nalika sampeyan ngirim email, kita duwe alamat email, nanging mung digunakake kanggo mbantu aplikasi.
info_auto_coll,Informasi diklumpukake kanthi otomatis
exp_admob_use,Kita nggunakake Google Admob kanggo ngladeni iklan. Panggunaan layanan kasebut tundhuk karo pranata proteksi data Google ing https://www.google.com/policies/privacy/.
we_real_time,Apa Manager Baterei ngumpulake informasi lokasi wektu nyata sing akurat saka piranti kasebut?
exp_loc_perm_man,Battery Manger mung mriksa apa lokasi diaktifake utawa dipateni, nanging ora ngumpulake informasi sing tepat babagan lokasi piranti seluler sampeyan. Fungsi basis lokasi kasebut disetel kanthi gawan. Sampeyan bisa mateni utawa ngaktifake maneh fungsi kasebut ing setelan piranti sampeyan. Sadurunge utawa sawise nginstal app, sampeyan bakal ditakoni - gumantung saka piranti - apa sampeyan luwih seneng mateni utawa ngaktifake fungsi kasebut. Kita mung bisa ngumpulake data babagan lokasi sampeyan yen sampeyan ngaktifake layanan lokasi kasebut.
chng,Malih
pri_update_exp,Kabijakan privasi iki bisa dianyari saka wektu kanggo wektu kanggo alesan apa wae. Kita bakal ngandhani sampeyan babagan owah-owahan ing kabijakan privasi kanthi ngirim kabijakan privasi anyar ing alamat web iki lan menehi kabar liwat pesen ing app. Disaranake sampeyan ajeg takon Kebijakan Privasi iki kanggo owah-owahan, amarga nggunakake terus dianggep persetujuan kabeh owah-owahan. Sampeyan bisa mriksa riwayat kabijakan iki ing situs web iki.
contct,Kontak
any_que,Yen sampeyan duwe pitakon babagan proteksi data nalika nggunakake aplikasi utawa duwe pitakon babagan praktik kita, kirim email menyang baxolino.de@gmail.com
mem_opti,Pangatur baterei mbutuhake akses "memori" supaya aplikasi bisa dipindai lan dioptimalake. Sampeyan bisa mateni utawa ngaktifake fungsi kasebut ing setelan piranti sampeyan. Sadurunge utawa sawise nginstal app, sampeyan bakal dijaluk - gumantung saka piranti - apa sampeyan luwih seneng mateni utawa ngaktifake fungsi kasebut.
storg,Lumbung
ble_set_acc,blue_set_perm,Battery Manager mbutuhake akses "Akses setelan Bluetooth" supaya bisa dipriksa apa Bluetooth diaktifake utawa dipateni. Lan kanggo ngaktifake utawa mateni Bluetooth.
ble_title,Bluetooth
needz_del,Pangatur Baterei mbutuhake akses "Panjaluk pambusakan paket" kanggo miwiti instal app. Aplikasi kasebut mung bakal dicopot yen sampeyan ngidini kanthi jelas.
deletion_pkg,Njaluk pambusakan paket
need_adnd,Pangatur Baterei mbutuhake akses "Aja Ganggu" kanggo ngaktifake utawa mateni mode Aja Ganggu.
adnd,Akses Aja Ganggu
need_wlan_acc,Pangatur Baterei mbutuhake akses menyang "Entuk Sambungan WLAN" supaya Pangatur Baterei bisa mriksa apa WLAN diaktifake utawa dipateni. Lan kanggo ngaktifake utawa mateni WLAN.
wln_conn,Entuk sambungan WLAN
shop_bill_exp,Nalika sampeyan blanja liwat Google Play In App Billing, Google menehi negara panggonan sampeyan lan kadhangkala negara, kutha, lan kode pos, nanging ora tau alamat lengkap. Kita nggunakake informasi iki kanggo tundhuk karo peraturan tax lan accounting.
pri_date,Ing 02/21/2021
how_to_stop,Sampeyan bisa mungkasi kabeh koleksi informasi kanthi aplikasi mung kanthi instal aplikasi kasebut. Sampeyan bisa nggunakake proses instal standar sing kasedhiya minangka bagean saka piranti seluler utawa liwat pasar utawa jaringan kanggo aplikasi seluler.
opt_out,Apa hak milih metu?
ur_permission,ijin sampeyan
accept_privacy,Kanthi nggunakake aplikasi kasebut, sampeyan setuju kanggo ngolah data sampeyan kaya sing kasebut ing kabijakan privasi iki lan kaya sing wis diowahi.
