title,Battery Manager Lite განსხვავებულია
per_hr,ბატარეის მოხმარება საათში
life_for,ბატარეის ხანგრძლივობა ამისთვის
battery_cond,ბატარეის მდგომარეობა
bat_info,ინფორმაცია ბატარეის შესახებ
bat_cap,ბატარეის მოცულობა
bat_volt,ბატარეის ძაბვა
bat_cur,ბატარეის დენი
unit_mes,საზომი ერთეული
done,შესრულებულია
c_bat_temp,ბატარეის მიმდინარე ტემპერატურა
min_bat_tem,ბატარეის მინიმალური ტემპერატურა
mx_bat_tem,ბატარეის მაქსიმალური ტემპერატურა
avg_bat_tem,ბატარეის საშუალო ტემპერატურა
dig_last,ბოლო დიაგნოზი ადრე
rem_time,Დარჩენილი დრო
volt,Ვოლტაჟი
curr,მიმდინარე
status,სტატუსი
run_time,გაშვების დრო
currently,ამჟამად
avg,საშუალო
minmal,მინიმალური
maximal,მაქსიმალური
tool,ხელსაწყოები
rem_apps,წაშალეთ აპები, რომლებსაც აღარ იყენებთ, რათა თავიდან აიცილოთ აპების ზედმეტად გაშვება და ბატარეის დაცლა
uninst_apps,აპების დეინსტალაცია
stat,დაწყება
act_eng_save,გაააქტიურეთ ენერგიის დაზოგვის რეჟიმი ბატარეის მოხმარების შესამცირებლად
pow_save,Ენერგიის დაზოგვის რეჟიმი
tempe,ტემპერატურა
heal,ჯანმრთელობა
tips,შეინახეთ თქვენი ბატარეა კარგ მდგომარეობაში რჩევებითა და ხრიკებით.
recomm,რეკომენდაციები
prem,პრემიუმი
more_func,მეტი ფუნქციები თქვენთვის. მიიღეთ პრემია, მიიღეთ მეტი.
more,მეტი
ur_cond_bat,ბატარეის მდგომარეობა არის
ur_bat_life,თქვენი ბატარეის ხანგრძლივობაა
ur_bat_temp,თქვენი ბატარეის ტემპერატურაა
wow,შესანიშნავი
normal,ნორმალური
poor,ცუდად
days,დღეები
mins,წუთები
hrs,საათები
chging,დამუხტვა
ful,სრული
dis_chrg,განმუხტვა
unkn,უცნობი
too_lit,ბატარეის მონაცემები ძალიან ცოტაა
car_any,განახორციელე მაინც
endz_,Დასასრული
dig_any,უკეთესი დიაგნოსტიკური შედეგების მისაღებად აპმა უნდა გააანალიზოს თქვენი ბატარეა ფონზე. გთხოვთ დაიწყოთ დიაგნოზი 24 საათის შემდეგ
end_dig,დიაგნოზის დასასრული
quit_dig,ნამდვილად მიატოვეთ დიაგნოზი
batty_temp,ბატარეის ტემპერატურა
akku_manager,Akku მენეჯერი
u_agree,„START“-ით თქვენ ეთანხმებით მონაცემთა დაცვის წესებს
elemn_opti,ელემენტების ოპტიმიზაცია შესაძლებელია
looks_good,ყველაფერი კარგად გამოიყურება
optimize_,ოპტიმიზაცია
toolz_,ხელსაწყოები
akku_check,Akku Check
ctrl_load,კონტროლირებადი დატვირთვა
mng_apps,აპლიკაციების მართვა
infosm,ინფორმაცია
tenzion,დაძაბულობა
electy,ელექტროობა
lvl,დონე
akku_man_premium,Akku Manager Premium
premimum_highlight,გამოიყენეთ ბატარეის მენეჯერი მთლიანად რეკლამის გარეშე და თქვენ გაქვთ წვდომა მომხმარებლის ინტერფეისის ფართო პერსონალიზაციაზე.
design,დიზაინი
subjs,საგნები
genrally,საერთოდ
temp_unit,ტემპერატურის ერთეული
oth_apps,სხვა აპლიკაციები
dat_protect,მონაცემთა დაცვა
thx_akku,გმადლობთ, რომ მხარს უჭერთ Akku Manager-ს პრემიუმ ვერსიის შეძენაში.
user_got_pre,ახლა თქვენ გაქვთ წვდომა მომხმარებლის ინტერფეისის ფართო პერსონალიზაციაზე და გამოყენებაზე რეკლამის გარეშე.
exp_more,შეგიძლიათ ველოდოთ მეტ ფუნქციებს მომავალ განახლებებში
ap_optimiz,აპლიკაციის ოპტიმიზაცია
sys_bat_usage,სისტემის ბატარეის მოხმარება
bat_usage_det,ბატარეის გამოყენების დეტალები
end_optiz,დაასრულეთ ოპტიმიზაცია
abort,Გაუქმება
break_up,გაშორება
scn,სკანირება
scn_bgh,ეკრანის სიკაშკაშე
dact_wlan,გამორთეთ WLAN
dact_save_batt,გამორთეთ ბატარეის დაზოგვის მიზნით
dact,გამორთეთ
dact_ble,გამორთეთ ბლუთუზი
red_brigh,შეამცირეთ სიკაშკაშე
bright_txt,შეამცირეთ ეკრანის სიკაშკაშე ბატარეის დაზოგვის მიზნით
to_reduce,შესამცირებლად
dact_gps,გამორთეთ GPS
appz_optimz,ოპტიმიზირებულია აპები
start_bat_check_det,დაიწყეთ ბატარეის დეტალური შემოწმება, რათა ყოველთვის იყოთ უსაფრთხო მხარეზე
act_eng_save,გაააქტიურეთ ენერგიის დაზოგვის რეჟიმი ბატარეის მოხმარების შესამცირებლად
remove_useless,წაშალეთ აპები, რომლებიც აღარ გამოიყენება
premium,პრემიუმი
clear_mem,გაასუფთავეთ მეხსიერება
clear_mem_des,რათა თქვენი სმარტფონი სწრაფად და შეუფერხებლად იმუშაოს.
clenaup,Გაწმენდა
rat,რეიტინგი
rat_free,შეაფასეთ ბატარეის მენეჯერი უფასოდ
sendz,გაგზავნა
elmn_found,ნაპოვნია ელემენტები
drumz,დასარტყამები
status,სტატუსი
end_akk_check,დაასრულეთ ბატარეის შემოწმება
bat_detlz,ბატარეის დეტალები
temp_checked,ტემპერატურა შემოწმებულია
cond_checked,შემოწმებულია ბატარეის მდგომარეობა
checkz_start,ბატარეის შემოწმება იწყება
plug_in,Შეერთებული
techz,ტექნიკა
coldz,Ცივი
until,Სანამ
well,კარგად
ovr_heat,გადახურება
ovr_load,გადატვირთვა
renam,გადაერქვა
not_def,არ არის განსაზღვრული
chrgz,დატენვა
full,სრული
unloadz,განტვირთვა
not_charge_unkn,არ არის დატვირთული ან უცნობი
usb,USB
charger,დამტენი
wless,უკაბელო
not_at_al,საერთოდ არაფერი
uninstall,დეინსტალაცია
update,განახლებისთვის
setting,პარამეტრები
app,აპები
not_found,აპლიკაცია ვერ მოიძებნა
search,აპების ძიება
version_code,ვერსიის კოდი
api_level,API დონე
app_version,აპლიკაციის ვერსია
authorization,ავტორიზაცია
open,გასახსნელად
play_store,Play Store
control,კონტროლი
systemstandart,სისტემის სტანდარტი
white,თეთრი
dark,Ბნელი
ocean,ოკეანის
black,შავი
dark_blue,Მუქი ლურჯი
excellent,შესანიშნავი
bad,Ცუდი
battery_bad,ბატარეა ოდნავ დაზიანებულია
very_bad,Ძალიან ცუდი
battery_damaged,ბატარეა დაზიანებულია
custom_mode,მორგებული რეჟიმი
brightness,სიკაშკაშე
automatic_brightness,ავტომატური სიკაშკაშე
normal,ნორმალური
sound_modus,ხმის რეჟიმი
tone_work,ყველა ტონი მუშაობს
mute,დადუმება
call_note_mute,ზარები და შეტყობინებები დადუმებულია
not_bother,Ნუ შეწუხდები
tones_vibration_mute,გამორთეთ ტონები და ვიბრაციები, გარდა განგაშის ტონებისა
sound,ხმები
music,მუსიკა
notification,შეტყობინება
alarm,განგაში
ultra_saving,ენერგიის დაზოგვის ულტრა რეჟიმი
edit,რედაქტირება
disable_ultra_saving,გამორთეთ ულტრა ენერგიის დაზოგვის რეჟიმი
min_remaining,დარჩენილი წთ
hours,საათები
activted_ultra_saving,ულტრა ენერგიის დაზოგვის რეჟიმი გააქტიურებულია
charged_in,დამუხტულია
min,წთ
limit_power,შეზღუდეთ ენერგიის მოხმარება
reduce_screen,შეამცირეთ ეკრანის სიკაშკაშე
restrict_bg_act_explain,შეზღუდეთ ფონური აქტივობები
volatge_check,ძაბვა შემოწმებულია
software_optimized,პროგრამული უზრუნველყოფა ოპტიმიზებულია
connect_charger,დააკავშირეთ დამტენი
charger_removed,დამტენის ამოღება შესაძლებელია
power_consump_title,Ენერგომოხმარება
srcn_bg_title,ეკრანის სიკაშკაშე
bg_al_activities,ფონური აქტივობები
sftware,პროგრამული უზრუნველყოფა
get_primium,თუ იყიდით პრემიუმ ვერსიას, მიიღებთ ყველა მიმდინარე ფუნქციას, ისევე როგორც ყველა ახალ ფუნქციას მომავალში.
cuztomize_face,მომხმარებლის ინტერფეისის პერსონალიზაცია
comp_scheme,შეადგინეთ თქვენი ბატარეის მენეჯერის ფერის სქემა სხვადასხვა თემებიდან.
bat_check_detail,ბატარეის დეტალური შემოწმება
check_cond_test,გამოიყენეთ ბატარეის მენეჯერი, რათა შეამოწმოთ თქვენი ბატარეის მდგომარეობა, რათა ყოველთვის იყოს უსაფრთხო მხარეს.
no_ads_yo,არანაირი რეკლამა
use_explain_noads,გამოიყენეთ ბატარეის მენეჯერი ყოველგვარი რეკლამის გარეშე
act_energy_save,გაააქტიურეთ ენერგიის დაზოგვის ულტრა რეჟიმი, რათა გაზარდოთ ბატარეის ხანგრძლივობა საგანგებო სიტუაციებში.
buy_title,შეიძინეთ პრემიუმი
loc_title,მდებარეობა
cap_title,ტევადობა
cap_remain,დარჩენილი სიმძლავრე
sleepy,დაიძინე
sek,წამი
sing_min,წუთი
miniotes,წუთები
finish,დასრულდა
mobi_data,მობილური მონაცემები
plz_rate,გთხოვთ, შეაფასოთ ბატარეის მენეჯერი Play Store-ში
ur_data_cus,შეგვიძლია გავაგრძელოთ თქვენი მონაცემების გამოყენება რეკლამის თქვენთვის მოსარგებად?
in_slep_mode,ძილის რეჟიმში
in_use,გამოყენებაში
with_curr_pow,მიმდინარე ენერგიის მოხმარებით
rem_bat_life,დარჩენილი ბატარეის ხანგრძლივობა
qck_acc,სწრაფი წვდომა
notif_txt,შეტყობინება
notif_at,შეატყობინეთ მისამართზე
chg_curr,დატენვის დენი
charge_perm,დატენვის შესრულება
maxi_charge_per,დატენვის მაქსიმალური შესრულება
enb_notif,შეტყობინების ჩართვა
perm_send_notif,ბატარეის მენეჯერი ითხოვს ნებართვას შეტყობინების გასაგზავნად, ის უნდა იყოს გააქტიურებული მოწყობილობის პარამეტრებში.
to_set,პარამეტრებზე
title_autost,გააქტიურეთ ავტომატური დაწყება
auto_explain,ბატარეის მენეჯერი მოითხოვს ნებართვას, დარჩეს გააქტიურებული ფონზე, რათა გამოიკითხოს ბატარეის სტატუსი და გაგზავნოს შეტყობინება.
sync_auto,სინქრონიზაცია ავტომატურად
dis_auto_sync,ავტომატური სინქრონიზაციის გამორთვა მნიშვნელოვნად ამცირებს wakelock-ებს. თუმცა, ზოგიერთი ფუნქცია, როგორიცაა ელექტრონული ფოსტის მიღება, დაიკარგება.
chg_lim,გადასახადის ლიმიტი
avoid_ful_explain,თუ ბატარეას მაქსიმუმამდე დამუხტავთ ან გამორთვამდე გამორთავთ, ბატარეის მდგომარეობა და მომსახურების ვადა შემცირდება. შემდეგში შეგიძლიათ დააყენოთ ბატარეის მინიმალური და მაქსიმალური დატენვის ან განმუხტვის სტატუსი და შეგატყობინებთ ყოველ ჯერზე ზღვრული მნიშვნელობის მიღწევისას. მოერიდეთ ერთ სრულად დატენვას და დაცლას თქვენი ბატარეის და გააგრძელეთ ბატარეის ხანგრძლივობა.
rec_notif,შეტყობინება არ მიგიღიათ?
title_allow_bg_act,ფონური აქტივობის დაშვება
allow_bg_act,იმისათვის, რომ შეძლოთ ბატარეის მენეჯერის გამოყენება შეზღუდვების გარეშე, ოპერაციული სისტემის მიერ მისი უნებლიე დახურვის გარეშე, შეიძლება დაგჭირდეთ ბატარეის მართვისა და ბატარეის გამოყენების სპეციალური ფუნქციების გამორთვა პარამეტრებში. იმის გამო, რომ სხვადასხვა მწარმოებლები განსხვავდებიან ამ ვარიანტების აღნიშვნით, გამოყენებული ოპერაციული სისტემის მიხედვით. აპის ინფორმაციის ზონაში, ძილი ან ბატარეა, აირჩიეთ შეზღუდვების გარეშე ან ფონური აქტივობის დაშვება.
dev_usage,მოწყობილობის გამოყენება
dep_sleep,ღრმა ძილი არის მდგომარეობა, როდესაც თქვენი მოწყობილობა იყენებს ყველაზე ნაკლებ ბატარეას. ღრმა ძილის ხანგრძლივობა დადებითად მოქმედებს ენერგიის დაზოგვაზე. ღრმა ძილი შეიძლება შეწყდეს ფონური დავალებებით, რაც იწვევს ბატარეის უფრო სწრაფად დაცლას. ამ შემთხვევაში, გადატვირთეთ თქვენი მოწყობილობა.
title_bat_temp,ბატარეის ტემპერატურა
bat_tempp,ბატარეის ტემპერატურა ერთ-ერთი ყველაზე მნიშვნელოვანი ფაქტორია. თუ ბატარეა ინახება გელზე მაღალ ტემპერატურაზე, ეს გავლენას ახდენს როგორც მომსახურების ხანგრძლივობაზე, ასევე ბატარეის მუშაობაზე. თუ ტემპერატურა მოიმატებს, ბატარეის შიდა სტრუქტურა შეიძლება დაზიანდეს.
rdc_brightness,შეამცირეთ ეკრანის სიკაშკაშე
display_explain,ეკრანი არის ერთ-ერთი კომპონენტი, რომელიც მოიხმარს ენერგიის დიდ ნაწილს. მაქსიმალური სიკაშკაშის შემცირება ხელს უწყობს საერთო მოხმარების შემცირებას და შესამჩნევი დანაზოგის მიღწევას. სიკაშკაშის შემცირებამდე გამორთეთ ავტომატური სიკაშკაშე, რათა სიკაშკაშე არ შეიცვალოს ზედმეტად.
tst_charge,სატესტო დამტენი
best_way_test,დამტენის და კაბელის შესამოწმებლად საუკეთესო გზაა დატენვის სიჩქარის შემოწმება გამორთული ეკრანით. დატენვის სიჩქარე, როდესაც ეკრანი ჩართულია, არ არის კარგი მაჩვენებელი, რადგან თქვენი ტელეფონი მოიხმარს ენერგიას, რაც იწვევს რყევებს. შეაერთეთ დამტენი, გამორთეთ ეკრანი რამდენიმე წუთის განმავლობაში და შემდეგ შეამოწმეთ დატენვის მაქსიმალური დენი.
wait_title,ელოდება
rfsh_rate,განახლების სიჩქარე
low_sizty,განახლების სიჩქარის 60 ჰც-მდე დაწევა აუმჯობესებს ბატარეის ხანგრძლივობას.
drk_mode,მუქი რეჟიმი
acti_dark_mode,გაააქტიურეთ მუქი რეჟიმი, ბნელ რეჟიმში ნაკლები ენერგია მოიხმარს
actz,გააქტიურება
poz,Ძალა
minz,Მინიმალური
avgo,საშუალო
mixi1,მაქსიმალური
msg_dis,შეტყობინება ქრება 24 საათის შემდეგ, თუ საკმარისი მონაცემებია დიაგრამის სრულად საჩვენებლად.
no_enough,არ არის საკმარისი მონაცემები საჩვენებლად
log_graph,რამდენიმე საათში აქ ნახავთ გრაფიკს, რომელიც საშუალებას მოგცემთ შეამოწმოთ ბატარეის ტემპერატურა, ძაბვა, ამპერაჟი და დონე ბოლო 24 საათის განმავლობაში.
week,კვირა
buy_it,იყიდე
one_pur,ერთჯერადი გადასახადი
refun_pur,შესყიდვის ანაზღაურება შესაძლებელია 2 საათის განმავლობაში.
each_month,გამოწერა ავტომატურად განახლდება ყოველთვიურად და გრძელდება თვეში. გამოწერა შეიძლება ნებისმიერ დროს გაუქმდეს.
mng_subs,გამოწერის მართვა
subsci,გამოწერა
will_cost_week,გამოწერა ავტომატურად განახლდება ყოველ კვირას და გრძელდება კვირაში ღირებულება. გამოწერა შეიძლება ნებისმიერ დროს გაუქმდეს.
lfllong,სიცოცხლის მანძილზე
mthly,ყოველთვიურად
wkly,ყოველკვირეული
hoto,Ცხელი
prm_ben_title,პრემიუმ უპირატესობები
sync_title,სინქრონიზაცია
dis_sync_inc,სინქრონიზაციის გამორთვა გაზრდის ბატარეის ხანგრძლივობას სერვისების ფონზე სინქრონიზაციის გარეშე
time_out,Დროის ამოწურვა
dec_extend,ეკრანის გამორთვამდე დროის შემცირება ახანგრძლივებს ბატარეის ხანგრძლივობას
u_end_opti,დარწმუნებული ხართ, რომ გსურთ ოპტიმიზაციის პროცესის დასრულება?
no_why_perm,Უფლების, ნებართვის გარეშე
bright_exp,ბატარეის მენეჯერი მოითხოვს სისტემის პარამეტრების შეცვლის ნებართვას ეკრანის სიკაშკაშის შესამცირებლად ან Bluetooth-ის გამორთვისთვის.
tg_title,შეუერთდი Telegram არხს!
tg_text,იყავით მიმდინარე აპების განახლებებით, მიიღეთ ადრეული ვერსიები და დაეხმარეთ ახალი ფუნქციების გამოცდას. შესთავაზეთ თქვენი იდეები, დასვით კითხვები და მიიღეთ პასუხები უფრო სწრაფად
join_tg,შეუერთდი
curr_consumption,მიმდინარე მოხმარება
scrn_onn,ეკრანი ჩართულია
srcn_off,ეკრანი გამორთულია
mob_charg,დამუხტვა
discha,განმუხტვა
activea,აქტიური
slpmode,Ძილის რეჟიმი
chagingspeed,მიმდინარე დატენვის სიჩქარე
dta_proxt,მონაცემთა დაცვა
governs,ეს კონფიდენციალურობის პოლიტიკა არეგულირებს ბაქსოლინოს მიერ შექმნილი მობილური მოწყობილობებისთვის Battery Manager პროგრამული უზრუნველყოფის აპლიკაციის გამოყენებას.
info_u_provide,მომხმარებლის მიერ მოწოდებული ინფორმაცია
no_pass_per,ჩვენ არ გადავცემთ პერსონალურ მონაცემებს მესამე პირებს. როდესაც გვიგზავნით ელფოსტით, ჩვენ გვაქვს თქვენი ელ.ფოსტის მისამართი, მაგრამ ჩვენ ვიყენებთ მას მხოლოდ იმისთვის, რომ დაგეხმაროთ ჩვენს აპებში.
info_auto_coll,ინფორმაცია ავტომატურად გროვდება
exp_admob_use,ჩვენ ვიყენებთ Google Admob-ს რეკლამის მოსაწოდებლად. ამ სერვისების გამოყენება ექვემდებარება Google-ის მონაცემთა დაცვის დებულებებს https://www.google.com/policies/privacy/.
we_real_time,აგროვებს თუ არა ბატარეის მენეჯერი მოწყობილობიდან რეალურ დროში მდებარეობის ზუსტ ინფორმაციას?
exp_loc_perm_man,Battery Manger მხოლოდ ამოწმებს, არის თუ არა მდებარეობა გააქტიურებული ან გამორთული, მაგრამ არ აგროვებს რაიმე ზუსტ ინფორმაციას თქვენი მობილური მოწყობილობის მდებარეობის შესახებ. ასეთი მდებარეობაზე დაფუძნებული ფუნქციები დაყენებულია ნაგულისხმევად. თქვენ შეგიძლიათ გამორთოთ ან გაააქტიუროთ ეს ფუნქციები თქვენი შესაბამისი მოწყობილობის პარამეტრებში. აპლიკაციების დაყენებამდე ან მის შემდეგ მოგეთხოვებათ - მოწყობილობიდან გამომდინარე - გირჩევნიათ თუ არა ამ ფუნქციების გამორთვა ან გააქტიურება. ჩვენ შეგვიძლია მხოლოდ თქვენი მდებარეობის შესახებ მონაცემების შეგროვება, თუ თქვენ გაააქტიურებთ მდებარეობის ასეთ სერვისებს.
chng,ცვლილებები
pri_update_exp,ეს კონფიდენციალურობის პოლიტიკა შეიძლება დროდადრო განახლდეს რაიმე მიზეზით. ჩვენ შეგატყობინებთ ჩვენს კონფიდენციალურობის პოლიტიკაში შეტანილი ცვლილებების შესახებ ახალი კონფიდენციალურობის პოლიტიკის გამოქვეყნებით ამ ვებ მისამართზე და შეგატყობინებთ აპში შეტყობინების საშუალებით. რეკომენდირებულია რეგულარულად გაეცნოთ ამ კონფიდენციალურობის პოლიტიკას ცვლილებებისთვის, რადგან უწყვეტი გამოყენება ითვლება ყველა ცვლილების დამტკიცებად. თქვენ შეგიძლიათ გადახედოთ ამ პოლიტიკის ისტორიას ამ ვებსაიტზე.
contct,კონტაქტი
any_que,თუ თქვენ გაქვთ რაიმე შეკითხვა მონაცემთა დაცვასთან დაკავშირებით აპლიკაციის გამოყენებისას ან გაქვთ შეკითხვები ჩვენს პრაქტიკასთან დაკავშირებით, გთხოვთ, გამოაგზავნოთ ელფოსტა baxolino.de@gmail.com
mem_opti,ბატარეის მენეჯერს სჭირდება "მეხსიერების" წვდომა, რათა მოხდეს აპების სკანირება და ოპტიმიზაცია. თქვენ შეგიძლიათ გამორთოთ ან გაააქტიუროთ ეს ფუნქციები თქვენი შესაბამისი მოწყობილობის პარამეტრებში. აპის ინსტალაციამდე ან მის შემდეგ მოგეთხოვებათ - მოწყობილობიდან გამომდინარე - გირჩევნიათ თუ არა ამ ფუნქციების გამორთვა ან გააქტიურება.
storg,შენახვა
ble_set_acc,blue_set_perm, ბატარეის მენეჯერი მოითხოვს წვდომას "Bluetooth-ის პარამეტრებზე წვდომას", რათა შემოწმდეს, არის თუ არა Bluetooth გააქტიურებული ან გამორთული. და Bluetooth-ის გააქტიურება ან გამორთვა.
ble_title,ბლუთუზი
needz_del,ბატარეის მენეჯერი მოითხოვს წვდომას „პაკეტების წაშლის მოთხოვნა“ აპის დეინსტალაციის დასაწყებად. აპის დეინსტალაცია მოხდება მხოლოდ იმ შემთხვევაში, თუ მას პირდაპირ დაუშვებთ.
deletion_pkg,მოითხოვეთ პაკეტების წაშლა
need_adnd,ბატარეის მენეჯერი მოითხოვს „არ შემაწუხო“ წვდომას „არ შემაწუხო“ რეჟიმის ჩართვის ან გამორთვისთვის.
adnd,წვდომა არ შემაწუხოთ
need_wlan_acc,ბატარეის მენეჯერი მოითხოვს წვდომას „WLAN Connections“-ზე, რათა ბატარეის მენეჯერმა შეძლოს შეამოწმოს არის თუ არა WLAN გააქტიურებული ან გამორთული. და WLAN-ის გააქტიურება ან გამორთვა.
wln_conn,მიიღეთ WLAN კავშირები
shop_bill_exp,როდესაც თქვენ ყიდულობთ Google Play In App Billing-ის მეშვეობით, Google გვაწვდის თქვენს საცხოვრებელ ქვეყანას და ზოგჯერ შტატს, ქალაქს და საფოსტო ინდს, მაგრამ არასოდეს გვაწვდის სრულ მისამართს. ჩვენ ვიყენებთ ამ ინფორმაციას საგადასახადო და ბუღალტრული რეგულაციების შესასრულებლად.
pri_date,02/21/2021 მდგომარეობით
how_to_stop,თქვენ შეგიძლიათ შეაჩეროთ აპლიკაციის მიერ ინფორმაციის მთელი კოლექცია უბრალოდ აპლიკაციის დეინსტალაციის გზით. შეგიძლიათ გამოიყენოთ სტანდარტული დეინსტალაციის პროცესები, რომლებიც ხელმისაწვდომია როგორც თქვენი მობილური მოწყობილობის ნაწილი, ასევე ბაზრის ან ქსელის მეშვეობით მობილური აპლიკაციებისთვის.
opt_out,რა არის ჩემი უარის თქმის უფლება?
ur_permission,თქვენი ნებართვა
accept_privacy,აპლიკაციის გამოყენებით, თქვენ ეთანხმებით თქვენი მონაცემების დამუშავებას, როგორც ეს მითითებულია ამ კონფიდენციალურობის პოლიტიკაში და ჩვენს მიერ შესწორებული.
