title,Batareýa menejeri Lite başga
no_pass_per,Şahsy maglumatlary üçünji taraplara geçirmeýäris. Bize e-poçta ibereniňizde, e-poçta salgyňyz bar, ýöne diňe programmalarymyzda size kömek etmek üçin ulanýarys.
info_auto_coll,Maglumat awtomatiki ýygnaldy
exp_admob_use,Mahabatlara hyzmat etmek üçin Google Admob-dan peýdalanýarys. Bu hyzmatlaryň ulanylmagy, https://www.google.com/policies/privacy/ salgysynda Google maglumatlary goramak düzgünlerine tabyn edilýär.
we_real_time,Batareýa dolandyryjysy enjamdan hakyky wagtda ýerleşiş maglumatyny ýygnaýarmy?
exp_loc_perm_man,Batareýa dolandyryjysy diňe ýeriň işjeňdigini ýa-da ýapykdygyny barlaýar, ýöne ykjam enjamyňyzyň ýerleşýän ýeri barada takyk maglumat ýygnamaýar. Locationerleşişe esaslanýan şeýle funksiýalar öňünden kesgitlenýär. Bu funksiýalary degişli enjamyňyzyň sazlamalarynda öçürip ýa-da täzeden açyp bilersiňiz. Programmalary gurmazdan ozal ýa-da soň, enjamyňyza baglylykda bu funksiýalary ýapmak ýa-da işjeňleşdirmek islärsiňiz. Şeýle ýerleşiş hyzmatlaryny işjeňleşdirseňiz, ýerleşýän ýeriňiz barada maglumatlary ýygnap bileris.
chng,Üýtgeşmeler
pri_update_exp,Bu gizlinlik syýasaty islendik sebäp bilen wagtal-wagtal täzelenip bilner. Gizlinlik syýasatymyzdaky üýtgeşmeler barada bu web salgysyna täze gizlinlik ýörelgesini ýerleşdirmek we programmadaky habar arkaly size habar bermek bilen habar bereris. Üýtgeşmeler üçin şu Gizlinlik Policyörelgelerine yzygiderli ýüz tutmagyňyz maslahat berilýär, sebäbi dowamly ulanmak ähli üýtgeşmeleri tassyklamak hasaplanýar. Bu syýasatyň taryhyny şu web sahypasynda gözden geçirip bilersiňiz.
contct,Habarlaşyň
any_que,Programmany ulananyňyzda maglumatlary goramak bilen baglanyşykly soraglaryňyz bar bolsa ýa-da amallarymyz hakda soraglaryňyz bar bolsa, baxolino.de@gmail.com e-poçta iberiň.
mem_opti,Programmalary skanirlemek we optimizirlemek üçin batareýa dolandyryjysyna "ýat" girişi gerek. Bu funksiýalary degişli enjamyňyzyň sazlamalarynda öçürip ýa-da işjeňleşdirip bilersiňiz. Programmany gurmazdan ozal ýa-da soň, enjamyňyza baglylykda bu funksiýalary ýapmak ýa-da işjeňleşdirmek islärsiňiz.
storg,Saklamak
ble_set_acc,blue_set_perm, Batareýa dolandyryjysy, Bluetooth-yň işjeňdigini ýa-da ýapykdygyny barlamak üçin "Bluetooth sazlamasyna giriş" talap edýär. Bluetooth-y işjeňleşdirmek ýa-da öçürmek üçin.
ble_title,Bluetooth
needz_del,Batareýa dolandyryjysy, bir programmany aýyrmazlyk üçin "Paketleriň ýok edilmegini haýyş" girişini talap edýär. Programma diňe aç-açan rugsat berseňiz aýrylar.
deletion_pkg,Bukjalaryň öçürilmegini haýyş ediň
need_adnd,Batareýa dolandyryjysy, "Aladalanmaň" re modeimini işletmek ýa-da öçürmek üçin "Aladalanmaň" girişini talap edýär.
adnd,Giriş bozmaň
need_wlan_acc,Batareýa dolandyryjysy, WLAN-yň işjeňdigini ýa-da ýapykdygyny barlamak üçin "WLAN birikmelerini alyň" -a girmegi talap edýär. WLAN-y işjeňleşdirmek ýa-da ýapmak üçin.
wln_conn,WLAN birikmelerini alyň
shop_bill_exp,“Google Play In App Billing” -iň üsti bilen söwda edeniňizde, Google bize ýaşaýan ýurduňyzy we käwagt ştat, şäher we poçta indeksini berýär, ýöne hiç haçan doly salgysyny bermeýär. Bu maglumatlary salgyt we buhgalteriýa düzgünlerini berjaý etmek üçin ulanýarys.
pri_date,21/21/2021
how_to_stop,Programmany aýyrmak bilen programma arkaly maglumat ýygnamagyny bes edip bilersiňiz. Jübi enjamyňyzyň bir bölegi hökmünde elýeterli adaty aýyrmak amallaryny ýa-da ykjam programmalar üçin bazarda ýa-da torda ulanyp bilersiňiz.
opt_out,Çykmak hukugym näme?
ur_permission,siziň rugsadyňyz
accept_privacy,Programmany ulanmak bilen, şu gizlinlik ýörelgesinde we bize düzedişler girizen maglumatlaryňyzy gaýtadan işlemäge razylyk berýärsiňiz.
