title,ಬ್ಯಾಟರಿ ಮ್ಯಾನೇಜರ್ ಲೈಟ್ ವಿಭಿನ್ನವಾಗಿದೆ
accurate_life,ನಿಖರವಾದ ಬ್ಯಾಟರಿ ಅವಧಿಯನ್ನು ಅಳೆಯಲು ಬ್ಯಾಟರಿ ನಿರ್ವಾಹಕ ಲೈಟ್ ಬಳಸಿ.
no_exit,ಬ್ಯಾಟರಿ ಮ್ಯಾನೇಜರ್ ಲೈಟ್‌ನಿಂದ ನಿರ್ಗಮಿಸಬೇಡಿ!
bg_require,ಬ್ಯಾಟರಿ ಮ್ಯಾನೇಜರ್ ಲೈಟ್‌ಗೆ ಬ್ಯಾಟರಿ ಅಂಕಿಅಂಶಗಳನ್ನು ಸಂಗ್ರಹಿಸಲು ಮತ್ತು ಬ್ಯಾಟರಿ ಚಾರ್ಜ್ ಮತ್ತು ಡಿಸ್ಚಾರ್ಜ್ ಸಮಯವನ್ನು ಅಳೆಯಲು ಹಿನ್ನೆಲೆ ಸೇವೆಯ ಅಗತ್ಯವಿದೆ. ನಿಮ್ಮ ಸಾಧನವು ಸೇವೆಯನ್ನು ನಿಲ್ಲಿಸುವ ಸಾಧ್ಯತೆಯಿದೆ ಅಥವಾ ಅಪ್ಲಿಕೇಶನ್ ಮುಚ್ಚಿದಾಗ ಅದನ್ನು ಚಲಾಯಿಸಲು ಅನುಮತಿಸುವುದಿಲ್ಲ. ಇದನ್ನು ತಪ್ಪಿಸಲು, ನಾವು ನಿಮಗಾಗಿ ಉತ್ತಮ ಪರಿಹಾರವನ್ನು ಹೊಂದಿದ್ದೇವೆ. ಲಿಂಕ್ ಮೇಲೆ ಕ್ಲಿಕ್ ಮಾಡಿ.
man,ಕೈಪಿಡಿ
cali,ಮಾಪನಾಂಕ ನಿರ್ಣಯ
polarity,ಈ ಹಂತದಲ್ಲಿ, ಅಪ್ಲಿಕೇಶನ್ ಚಾರ್ಜಿಂಗ್ ಧ್ರುವೀಯತೆ ಮತ್ತು ನಿಮ್ಮ ಬ್ಯಾಟರಿಯ ವಿನ್ಯಾಸ ಸಾಮರ್ಥ್ಯವನ್ನು ಪತ್ತೆ ಮಾಡುತ್ತದೆ.
disch,ವಿಸರ್ಜನೆ
ch_pol,ಧ್ರುವೀಯತೆಯನ್ನು ಚಾರ್ಜ್ ಮಾಡಲಾಗುತ್ತಿದೆ
power_meter,ವಿದ್ಯುತ್ ಮೀಟರ್
unit_mesure,ಅಳತೆಯ ಘಟಕ
capacity,ಬ್ಯಾಟರಿ ಸಾಮರ್ಥ್ಯ
wrong,ಸರಿಯಿಲ್ಲ?
calib,ಮಾಪನಾಂಕ ನಿರ್ಣಯಿಸಿ
ye,ಹೌದು
no,ಸಂ
neg,ಋಣಾತ್ಮಕ
pos,ಧನಾತ್ಮಕ
lunch,ಅಪ್ಲಿಕೇಶನ್ ಅನ್ನು ಪ್ರಾರಂಭಿಸಿ
manufac,ತಯಾರಕರ ಪ್ರಕಾರ ಸಾಮರ್ಥ್ಯ
design_des,ವಿನ್ಯಾಸ ಸಾಮರ್ಥ್ಯವು ನಿಜವಾದ ಬ್ಯಾಟರಿ ಸಾಮರ್ಥ್ಯವಾಗಿದೆ, ಇದನ್ನು mAh ನಲ್ಲಿ ಅಳೆಯಲಾಗುತ್ತದೆ. ಸಾಮರ್ಥ್ಯವನ್ನು ನಿರ್ಧರಿಸಲು ಯಾವುದೇ ಅಧಿಕೃತ ಮಾರ್ಗವಿಲ್ಲದ ಕಾರಣ, ಹಿಂತಿರುಗಿಸಿದ ಮೌಲ್ಯವು ತಪ್ಪಾಗಿರಬಹುದು.
correct_it,ಪ್ರದರ್ಶಿಸಲಾದ ಸಾಮರ್ಥ್ಯವು ಸರಿಯಾಗಿಲ್ಲದಿದ್ದರೆ, ದಯವಿಟ್ಟು ಅದನ್ನು ಸರಿಪಡಿಸಿ.
cancel,ರದ್ದುಮಾಡು
ok,ಸರಿ
runtime,ಬ್ಯಾಟರಿ ಚಾಲನಾಸಮಯ
wait,ಕಾಯುತ್ತಿದೆ
per_hr,ಗಂಟೆಗೆ ಬ್ಯಾಟರಿ ಬಳಕೆ
life_for,ಬ್ಯಾಟರಿ ಬಾಳಿಕೆ
battery_cond,ಬ್ಯಾಟರಿ ಸ್ಥಿತಿ
bat_info,ಬ್ಯಾಟರಿ ಮಾಹಿತಿ
bat_cap,ಬ್ಯಾಟರಿ ಸಾಮರ್ಥ್ಯ
bat_volt,ಬ್ಯಾಟರಿ ವೋಲ್ಟೇಜ್
bat_cur,ಬ್ಯಾಟರಿ ಕರೆಂಟ್
unit_mes,ಅಳತೆಯ ಘಟಕ
done,ಮುಗಿದಿದೆ
c_bat_temp,ಪ್ರಸ್ತುತ ಬ್ಯಾಟರಿ ತಾಪಮಾನ
min_bat_tem,ಕನಿಷ್ಠ ಬ್ಯಾಟರಿ ತಾಪಮಾನ
mx_bat_tem,ಗರಿಷ್ಠ ಬ್ಯಾಟರಿ ತಾಪಮಾನ
avg_bat_tem,ಸರಾಸರಿ ಬ್ಯಾಟರಿ ತಾಪಮಾನ
dig_last,ಮೊದಲು ಕೊನೆಯ ರೋಗನಿರ್ಣಯ
rem_time,ಉಳಿದ ಸಮಯ
volt,ವೋಲ್ಟೇಜ್
curr,ಪ್ರಸ್ತುತ
status,ಸ್ಥಿತಿ
run_time,ಚಾಲನೆಯಲ್ಲಿರುವ ಸಮಯ
currently,ಪ್ರಸ್ತುತ
avg,ಸರಾಸರಿ
minmal,ಕನಿಷ್ಠ
maximal,ಗರಿಷ್ಠ
tool,ಪರಿಕರಗಳು
rem_apps,ಅಪ್ಲಿಕೇಶನ್‌ಗಳು ಅನಗತ್ಯವಾಗಿ ರನ್ ಆಗುವುದನ್ನು ಮತ್ತು ನಿಮ್ಮ ಬ್ಯಾಟರಿಯನ್ನು ಖಾಲಿ ಮಾಡುವುದನ್ನು ತಡೆಯಲು ನೀವು ಇನ್ನು ಮುಂದೆ ಬಳಸದ ಅಪ್ಲಿಕೇಶನ್‌ಗಳನ್ನು ಅನ್‌ಇನ್‌ಸ್ಟಾಲ್ ಮಾಡಿ
uninst_apps,ಅಪ್ಲಿಕೇಶನ್‌ಗಳನ್ನು ಅನ್‌ಇನ್‌ಸ್ಟಾಲ್ ಮಾಡಿ
stat,ಪ್ರಾರಂಭಿಸಿ
act_eng_save,ಬ್ಯಾಟರಿ ಬಳಕೆಯನ್ನು ಕಡಿಮೆ ಮಾಡಲು ಶಕ್ತಿ ಉಳಿತಾಯ ಮೋಡ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ
pow_save,ವಿದ್ಯುತ್ ಉಳಿಸುವ
tempe,ತಾಪಮಾನ
heal,ಆರೋಗ್ಯ
tips,ಸಲಹೆಗಳು ಮತ್ತು ತಂತ್ರಗಳೊಂದಿಗೆ ನಿಮ್ಮ ಬ್ಯಾಟರಿಯನ್ನು ಉತ್ತಮ ಸ್ಥಿತಿಯಲ್ಲಿ ಇರಿಸಿ.
recomm,ಶಿಫಾರಸುಗಳು
prem,ಪ್ರೀಮಿಯಂ
more_func,ನಿಮಗಾಗಿ ಹೆಚ್ಚಿನ ಕಾರ್ಯಗಳು. ಪ್ರೀಮಿಯಂ ಪಡೆಯಿರಿ, ಹೆಚ್ಚು ಪಡೆಯಿರಿ.
more,ಇನ್ನಷ್ಟು
ur_cond_bat,ಬ್ಯಾಟರಿ ಸ್ಥಿತಿ ಇದೆ
ur_bat_life,ನಿಮ್ಮ ಬ್ಯಾಟರಿ ಬಾಳಿಕೆ
ur_bat_temp,ನಿಮ್ಮ ಬ್ಯಾಟರಿ ತಾಪಮಾನ
wow,ಅತ್ಯುತ್ತಮ
normal,ಸಾಮಾನ್ಯ
poor,ಕಳಪೆ
days,ದಿನಗಳು
mins,ನಿಮಿಷಗಳು
hrs,ಗಂಟೆಗಳು
chging,ಚಾರ್ಜ್ ಆಗುತ್ತಿದೆ
ful,ಪೂರ್ಣ
dis_chrg,ಡಿಸ್ಚಾರ್ಜ್ ಮಾಡಲಾಗುತ್ತಿದೆ
unkn,ಅಜ್ಞಾತ
too_lit,ತುಂಬಾ ಕಡಿಮೆ ಬ್ಯಾಟರಿ ಡೇಟಾ
car_any,ಹೇಗಾದರೂ ಮಾಡಿ
endz_,ಅಂತ್ಯ
dig_any,ಉತ್ತಮ ರೋಗನಿರ್ಣಯದ ಫಲಿತಾಂಶಗಳನ್ನು ಪಡೆಯಲು, ಅಪ್ಲಿಕೇಶನ್ ಹಿನ್ನೆಲೆಯಲ್ಲಿ ನಿಮ್ಮ ಬ್ಯಾಟರಿಯನ್ನು ವಿಶ್ಲೇಷಿಸುವ ಅಗತ್ಯವಿದೆ. ದಯವಿಟ್ಟು 24 ಗಂಟೆಗಳ ನಂತರ ರೋಗನಿರ್ಣಯವನ್ನು ಪ್ರಾರಂಭಿಸಿ
end_dig,ಅಂತಿಮ ರೋಗನಿರ್ಣಯ
quit_dig,ರೋಗನಿರ್ಣಯವನ್ನು ನಿಜವಾಗಿಯೂ ತ್ಯಜಿಸಿ
batty_temp,ಬ್ಯಾಟರಿ ತಾಪಮಾನ
akku_manager,ಅಕ್ಕು ಮ್ಯಾನೇಜರ್
u_agree,"START" ನೊಂದಿಗೆ ನೀವು ಡೇಟಾ ರಕ್ಷಣೆ ನಿಯಮಗಳಿಗೆ ಸಮ್ಮತಿಸುತ್ತೀರಿ
elemn_opti,ಅಂಶಗಳನ್ನು ಆಪ್ಟಿಮೈಸ್ ಮಾಡಬಹುದು
looks_good,ಎಲ್ಲವೂ ಚೆನ್ನಾಗಿ ಕಾಣುತ್ತದೆ
optimize_,ಆಪ್ಟಿಮೈಜ್ ಮಾಡಿ
toolz_,ಪರಿಕರಗಳು
akku_check,ಅಕ್ಕು ಚೆಕ್
ctrl_load,ನಿಯಂತ್ರಿತ ಲೋಡಿಂಗ್
mng_apps,ಅಪ್ಲಿಕೇಶನ್‌ಗಳನ್ನು ನಿರ್ವಹಿಸಿ
infosm,ಮಾಹಿತಿ
tenzion,ಉದ್ವೇಗ
electy,ವಿದ್ಯುತ್
lvl,ಮಟ್ಟ
akku_man_premium,ಅಕ್ಕು ಮ್ಯಾನೇಜರ್ ಪ್ರೀಮಿಯಂ
premimum_highlight,ಜಾಹೀರಾತು ಇಲ್ಲದೆ ಬ್ಯಾಟರಿ ಮ್ಯಾನೇಜರ್ ಅನ್ನು ಸಂಪೂರ್ಣವಾಗಿ ಬಳಸಿ ಮತ್ತು ಬಳಕೆದಾರ ಇಂಟರ್ಫೇಸ್ನ ವ್ಯಾಪಕ ಗ್ರಾಹಕೀಕರಣಕ್ಕೆ ನೀವು ಪ್ರವೇಶವನ್ನು ಹೊಂದಿರುತ್ತೀರಿ.
design,ವಿನ್ಯಾಸ
subjs,ವಿಷಯಗಳ
genrally,ಸಾಮಾನ್ಯವಾಗಿ
temp_unit,ತಾಪಮಾನ ಘಟಕ
oth_apps,ಇತರ ಅಪ್ಲಿಕೇಶನ್‌ಗಳು
dat_protect,ಡೇಟಾ ರಕ್ಷಣೆ
thx_akku,ಪ್ರೀಮಿಯಂ ಆವೃತ್ತಿಯ ಖರೀದಿಯೊಂದಿಗೆ ಅಕ್ಕು ಮ್ಯಾನೇಜರ್ ಅನ್ನು ಬೆಂಬಲಿಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು.
user_got_pre,ನೀವು ಈಗ ಬಳಕೆದಾರ ಇಂಟರ್‌ಫೇಸ್‌ನ ವ್ಯಾಪಕ ಕಸ್ಟಮೈಸೇಷನ್‌ಗೆ ಪ್ರವೇಶವನ್ನು ಹೊಂದಿದ್ದೀರಿ ಮತ್ತು ಜಾಹೀರಾತು ಇಲ್ಲದೆಯೇ ಬಳಕೆಯನ್ನು ಹೊಂದಿದ್ದೀರಿ.
exp_more,ಭವಿಷ್ಯದ ನವೀಕರಣಗಳಲ್ಲಿ ನೀವು ಹೆಚ್ಚಿನ ವೈಶಿಷ್ಟ್ಯಗಳನ್ನು ನಿರೀಕ್ಷಿಸಬಹುದು
ap_optimiz,ಅಪ್ಲಿಕೇಶನ್ ಆಪ್ಟಿಮೈಸೇಶನ್
sys_bat_usage,ಸಿಸ್ಟಮ್ ಬ್ಯಾಟರಿ ಬಳಕೆ
bat_usage_det,ಬ್ಯಾಟರಿ ಬಳಕೆಯ ವಿವರಗಳು
end_optiz,ಅಂತಿಮ ಆಪ್ಟಿಮೈಸೇಶನ್
abort,ಸ್ಥಗಿತಗೊಳಿಸಿ
break_up,ಬಿರುಕು
scn,ಸ್ಕ್ಯಾನ್ ಮಾಡಲು
scn_bgh,ಪರದೆಯ ಹೊಳಪು
dact_wlan,WLAN ಅನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ
dact_save_batt,ಬ್ಯಾಟರಿ ಉಳಿಸಲು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ
dact,ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ
dact_ble,ಬ್ಲೂಟೂತ್ ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ
red_brigh,ಹೊಳಪನ್ನು ಕಡಿಮೆ ಮಾಡಿ
bright_txt,ಬ್ಯಾಟರಿಯನ್ನು ಉಳಿಸಲು ಡಿಸ್ಪ್ಲೇಯ ಹೊಳಪನ್ನು ಕಡಿಮೆ ಮಾಡಿ
to_reduce,ಕಡಿಮೆ ಮಾಡಲು
dact_gps,ಜಿಪಿಎಸ್ ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ
appz_optimz,ಆಪ್ಟಿಮೈಸ್ ಮಾಡಲಾಗಿದೆ
start_bat_check_det,ಯಾವಾಗಲೂ ಸುರಕ್ಷಿತವಾಗಿರಲು ವಿವರವಾದ ಬ್ಯಾಟರಿ ಪರಿಶೀಲನೆಯನ್ನು ಪ್ರಾರಂಭಿಸಿ
act_eng_save,ಬ್ಯಾಟರಿ ಬಳಕೆಯನ್ನು ಕಡಿಮೆ ಮಾಡಲು ಶಕ್ತಿ ಉಳಿತಾಯ ಮೋಡ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ
remove_useless,ಇನ್ನು ಮುಂದೆ ಬಳಸದ ಅಪ್ಲಿಕೇಶನ್‌ಗಳನ್ನು ಅನ್‌ಇನ್‌ಸ್ಟಾಲ್ ಮಾಡಿ
premium,ಪ್ರೀಮಿಯಂ
clear_mem,ಮೆಮೊರಿಯನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸಿ
clear_mem_des,ಇದರಿಂದ ನಿಮ್ಮ ಸ್ಮಾರ್ಟ್‌ಫೋನ್ ತ್ವರಿತವಾಗಿ ಮತ್ತು ಸರಾಗವಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತದೆ.
clenaup,ಸ್ವಚ್ಛಗೊಳಿಸುವಿಕೆ
rat,ರೇಟಿಂಗ್
rat_free,ಬ್ಯಾಟರಿ ಮ್ಯಾನೇಜರ್ ಅನ್ನು ಉಚಿತವಾಗಿ ರೇಟ್ ಮಾಡಿ
sendz,ಕಳುಹಿಸು
elmn_found,ಅಂಶಗಳು ಕಂಡುಬಂದಿವೆ
drumz,ಡ್ರಮ್ಸ್
status,ಸ್ಥಿತಿ
end_akk_check,ಬ್ಯಾಟರಿ ಪರಿಶೀಲನೆಯನ್ನು ಕೊನೆಗೊಳಿಸಿ
bat_detlz,ಬ್ಯಾಟರಿ ವಿವರಗಳು
temp_checked,ತಾಪಮಾನವನ್ನು ಪರಿಶೀಲಿಸಲಾಗುತ್ತದೆ
cond_checked,ಬ್ಯಾಟರಿಯ ಸ್ಥಿತಿಯನ್ನು ಪರಿಶೀಲಿಸಲಾಗುತ್ತದೆ
checkz_start,ಬ್ಯಾಟರಿ ಪರಿಶೀಲನೆ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ
plug_in,ಪ್ಲಗ್ ಇನ್ ಮಾಡಲಾಗಿದೆ
techz,ತಂತ್ರಜ್ಞಾನ
coldz,ಚಳಿ
until,ತನಕ
well,ಸರಿ
ovr_heat,ಮಿತಿಮೀರಿದ
ovr_load,ಓವರ್ಲೋಡ್
renam,ಮರುನಾಮಕರಣ ಮಾಡಲಾಗಿದೆ
not_def,ವ್ಯಾಖ್ಯಾನಿಸಲಾಗಿಲ್ಲ
chrgz,ಶುಲ್ಕ
full,ಪೂರ್ಣ
unloadz,ಇಳಿಸಲಾಗುತ್ತಿದೆ
not_charge_unkn,ಶುಲ್ಕ ವಿಧಿಸಲಾಗಿಲ್ಲ ಅಥವಾ ತಿಳಿದಿಲ್ಲ
usb,ಯುಎಸ್ಬಿ
charger,ಚಾರ್ಜರ್
wless,ನಿಸ್ತಂತು
not_at_al,ಏನೂ ಇಲ್ಲ
uninstall,ಅನ್‌ಇನ್‌ಸ್ಟಾಲ್ ಮಾಡಿ
update,ನವೀಕರಿಸಲು
setting,ಸಂಯೋಜನೆಗಳು
app,ಅಪ್ಲಿಕೇಶನ್ಗಳು
not_found,ಅಪ್ಲಿಕೇಶನ್ ಕಂಡುಬಂದಿಲ್ಲ
search,ಅಪ್ಲಿಕೇಶನ್‌ಗಳನ್ನು ಹುಡುಕಿ
version_code,ಆವೃತ್ತಿ ಕೋಡ್
api_level,API ಮಟ್ಟ
app_version,ಅಪ್ಲಿಕೇಶನ್ ಆವೃತ್ತಿ
authorization,ಅಧಿಕಾರ
open,ತೆಗೆಯುವುದು
play_store,ಪ್ಲೇ ಸ್ಟೋರ್
control,ನಿಯಂತ್ರಣ
systemstandart,ಸಿಸ್ಟಮ್ ಸ್ಟ್ಯಾಂಡರ್ಡ್
white,ಬಿಳಿ
dark,ಕತ್ತಲು
ocean,ಸಾಗರ
black,ಕಪ್ಪು
dark_blue,ಗಾಡವಾದ ನೀಲಿ
excellent,ಅತ್ಯುತ್ತಮ
bad,ಕೆಟ್ಟದು
battery_bad,ಬ್ಯಾಟರಿ ಸ್ವಲ್ಪ ಹಾನಿಯಾಗಿದೆ
very_bad,ತುಂಬಾ ಕೆಟ್ಟದ್ದು
battery_damaged,ಬ್ಯಾಟರಿ ಹಾಳಾಗಿದೆ
custom_mode,ಕಸ್ಟಮ್ ಮೋಡ್
brightness,ಹೊಳಪು
automatic_brightness,ಸ್ವಯಂಚಾಲಿತ ಹೊಳಪು
normal,ಸಾಮಾನ್ಯ
sound_modus,ಧ್ವನಿ ವಿಧಾನ
tone_work,ಎಲ್ಲಾ ಟೋನ್ಗಳು ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತವೆ
mute,ಮ್ಯೂಟ್ ಮಾಡಿ
call_note_mute,ಕರೆಗಳು ಮತ್ತು ಅಧಿಸೂಚನೆಗಳನ್ನು ಮ್ಯೂಟ್ ಮಾಡಲಾಗಿದೆ
not_bother,ತಲೆ ಕೆಡ್ಸ್ಕೊಬೇಡ
tones_vibration_mute,ಅಲಾರಾಂ ಟೋನ್‌ಗಳನ್ನು ಹೊರತುಪಡಿಸಿ ಟೋನ್‌ಗಳು ಮತ್ತು ಕಂಪನಗಳನ್ನು ಆಫ್ ಮಾಡಿ
sound,ಶಬ್ದಗಳ
music,ಸಂಗೀತ
notification,ಅಧಿಸೂಚನೆ
alarm,ಅಲಾರಂ
ultra_saving,ಅಲ್ಟ್ರಾ ಎನರ್ಜಿ ಸೇವಿಂಗ್ ಮೋಡ್
edit,ಸಂಪಾದಿಸಲು
disable_ultra_saving,ಅಲ್ಟ್ರಾ ಎನರ್ಜಿ ಸೇವಿಂಗ್ ಮೋಡ್ ಅನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ
min_remaining,ನಿಮಿಷ ಉಳಿದಿದೆ
hours,ಗಂಟೆಗಳು
activted_ultra_saving,ಅಲ್ಟ್ರಾ ಎನರ್ಜಿ ಸೇವಿಂಗ್ ಮೋಡ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆ
charged_in,ಚಾರ್ಜ್ ಮಾಡಲಾಗಿದೆ
min,ನಿಮಿಷ
limit_power,ವಿದ್ಯುತ್ ಬಳಕೆಯನ್ನು ಮಿತಿಗೊಳಿಸಿ
reduce_screen,ಪರದೆಯ ಹೊಳಪನ್ನು ಕಡಿಮೆ ಮಾಡಿ
restrict_bg_act_explain,ಹಿನ್ನೆಲೆ ಚಟುವಟಿಕೆಗಳನ್ನು ನಿರ್ಬಂಧಿಸಿ
volatge_check,ವೋಲ್ಟೇಜ್ ಅನ್ನು ಪರಿಶೀಲಿಸಲಾಗುತ್ತದೆ
software_optimized,ಸಾಫ್ಟ್‌ವೇರ್ ಆಪ್ಟಿಮೈಸ್ ಮಾಡಲಾಗಿದೆ
connect_charger,ಚಾರ್ಜರ್ ಅನ್ನು ಸಂಪರ್ಕಿಸಿ
charger_removed,ಚಾರ್ಜರ್ ತೆಗೆಯಬಹುದು
power_consump_title,ವಿದ್ಯುತ್ ಬಳಕೆಯನ್ನು
srcn_bg_title,ಪರದೆಯ ಹೊಳಪು
bg_al_activities,ಹಿನ್ನೆಲೆ ಚಟುವಟಿಕೆಗಳು
sftware,ಸಾಫ್ಟ್ವೇರ್
get_primium,ನೀವು ಪ್ರೀಮಿಯಂ ಆವೃತ್ತಿಯನ್ನು ಖರೀದಿಸಿದರೆ, ನೀವು ಎಲ್ಲಾ ಪ್ರಸ್ತುತ ಕಾರ್ಯಗಳನ್ನು ಮತ್ತು ಭವಿಷ್ಯದಲ್ಲಿ ಎಲ್ಲಾ ಹೊಸ ಕಾರ್ಯಗಳನ್ನು ಪಡೆಯುತ್ತೀರಿ.
cuztomize_face,ಬಳಕೆದಾರ ಇಂಟರ್ಫೇಸ್ನ ಗ್ರಾಹಕೀಕರಣ
comp_scheme,ವಿವಿಧ ಥೀಮ್‌ಗಳಿಂದ ನಿಮ್ಮ ಬ್ಯಾಟರಿ ನಿರ್ವಾಹಕ ಬಣ್ಣದ ಸ್ಕೀಮ್ ಅನ್ನು ರಚಿಸಿ.
bat_check_detail,ವಿವರವಾದ ಬ್ಯಾಟರಿ ಪರಿಶೀಲನೆ
check_cond_test,ಯಾವಾಗಲೂ ಸುರಕ್ಷಿತವಾಗಿರಲು ನಿಮ್ಮ ಬ್ಯಾಟರಿಯ ಸ್ಥಿತಿಯನ್ನು ಪರೀಕ್ಷಿಸಲು ಬ್ಯಾಟರಿ ನಿರ್ವಾಹಕವನ್ನು ಬಳಸಿ.
no_ads_yo,ಜಾಹೀರಾತು ಇಲ್ಲ
use_explain_noads,ಯಾವುದೇ ಜಾಹೀರಾತು ಇಲ್ಲದೆ ಬ್ಯಾಟರಿ ಮ್ಯಾನೇಜರ್ ಬಳಸಿ
act_energy_save,ತುರ್ತು ಪರಿಸ್ಥಿತಿಯಲ್ಲಿ ಬ್ಯಾಟರಿ ಬಾಳಿಕೆಯನ್ನು ಹೆಚ್ಚಿಸಲು ಅಲ್ಟ್ರಾ ಎನರ್ಜಿ ಸೇವಿಂಗ್ ಮೋಡ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ.
buy_title,ಪ್ರೀಮಿಯಂ ಖರೀದಿಸಿ
loc_title,ಸ್ಥಳ
cap_title,ಸಾಮರ್ಥ್ಯ
cap_remain,ಉಳಿದಿರುವ ಸಾಮರ್ಥ್ಯ
sleepy,ನಿದ್ರೆ
sek,ಸೆಕೆಂಡುಗಳು
sing_min,ನಿಮಿಷ
miniotes,ನಿಮಿಷಗಳು
finish,ಮುಗಿದಿದೆ
mobi_data,ಮೊಬೈಲ್ ಡೇಟಾ
plz_rate,ದಯವಿಟ್ಟು Play Store ನಲ್ಲಿ ಬ್ಯಾಟರಿ ನಿರ್ವಾಹಕರನ್ನು ರೇಟ್ ಮಾಡಿ
ur_data_cus,ನಿಮಗಾಗಿ ಜಾಹೀರಾತುಗಳನ್ನು ಕಸ್ಟಮೈಸ್ ಮಾಡಲು ನಾವು ನಿಮ್ಮ ಡೇಟಾವನ್ನು ಬಳಸುವುದನ್ನು ಮುಂದುವರಿಸಬಹುದೇ?
in_slep_mode,ನಿದ್ರೆ ಕ್ರಮದಲ್ಲಿ
in_use,ಬಳಕೆಯಲ್ಲಿ
