title,Battery Manager Lite שונה
tips,שמור על הסוללה שלך במצב טוב עם טיפים וטריקים.
recomm,המלצות
prem,פּרֶמיָה
more_func,פונקציות נוספות עבורך. קבל פרימיום, קבל יותר.
more,יותר
ur_cond_bat,מצב הסוללה הוא
ur_bat_life,חיי הסוללה שלך הם
ur_bat_temp,טמפרטורת הסוללה שלך היא
wow,מְעוּלֶה
normal,נוֹרמָלִי
poor,גרוע
days,ימים
mins,דקות
hrs,שעה (ות
chging,טְעִינָה
ful,מלא
dis_chrg,פריקה
unkn,לא ידוע
too_lit,מעט מדי נתוני סוללה
car_any,תבצע בכל זאת
endz_,סוֹף
dig_any,על מנת לקבל תוצאות אבחון טובות יותר, האפליקציה צריכה לנתח את הסוללה שלך ברקע. נא להתחיל את האבחון לאחר 24 שעות
end_dig,סיים את האבחנה
quit_dig,באמת עזוב את האבחון
batty_temp,טמפרטורת הסוללה
akku_manager,מנהל עכו
u_agree,עם "START" אתה מסכים לתקנות הגנת המידע
elemn_opti,ניתן לבצע אופטימיזציה של אלמנטים
looks_good,הכל נראה טוב
optimize_,בצע אופטימיזציה
toolz_,כלים
akku_check,עכו צ'ק
ctrl_load,טעינה מבוקרת
mng_apps,נהל אפליקציות
infosm,מֵידָע
tenzion,מתח
electy,חַשְׁמַל
lvl,רָמָה
akku_man_premium,Akku Manager Premium
premimum_highlight,השתמש ב-Battery Manager לחלוטין ללא פרסום ויש לך גישה להתאמה אישית נרחבת של ממשק המשתמש.
design,לְעַצֵב
subjs,נושאים
genrally,בדרך כלל
temp_unit,יחידת טמפרטורה
oth_apps,אפליקציות אחרות
dat_protect,הגנת מידע
thx_akku,תודה שתמכת ב- Akku Manager ברכישת גרסת הפרימיום.
user_got_pre,כעת יש לך גישה להתאמה אישית נרחבת של ממשק המשתמש והשימוש ללא פרסום.
exp_more,אתה יכול לצפות לתכונות נוספות בעדכונים עתידיים
ap_optimiz,אופטימיזציה של אפליקציה
sys_bat_usage,צריכת הסוללה של המערכת
bat_usage_det,פרטי שימוש בסוללה
end_optiz,סיים את האופטימיזציה
abort,לְהַפִּיל
break_up,להפרד
scn,לסרוק
scn_bgh,בהירות מסך
dact_wlan,השבת את ה-WLAN
dact_save_batt,בטל כדי לחסוך בסוללה
dact,השבת
dact_ble,השבת את ה-Bluetooth
red_brigh,הפחת את הבהירות
bright_txt,הפחת את בהירות התצוגה כדי לחסוך בסוללה
to_reduce,להפחית
dact_gps,השבת את ה-GPS
appz_optimz,אפליקציות מותאמות
start_bat_check_det,התחל בדיקת סוללה מפורטת כדי להיות תמיד על הצד הבטוח
act_eng_save,הפעל מצב חיסכון באנרגיה כדי להפחית את צריכת הסוללה
remove_useless,הסר התקנה של אפליקציות שאינן בשימוש עוד
premium,פּרֶמיָה
clear_mem,נקה את הזיכרון
clear_mem_des,כך שהסמארטפון שלך יפעל במהירות וחלק.
clenaup,לנקות
rat,דֵרוּג
rat_free,דרג את מנהל הסוללות בחינם
sendz,לִשְׁלוֹחַ
elmn_found,נמצאו אלמנטים
drumz,תופים
status,סטָטוּס
end_akk_check,סיום בדיקת הסוללה
bat_detlz,פרטי סוללה
temp_checked,הטמפרטורה נבדקת
cond_checked,נבדק מצב הסוללה
checkz_start,בדיקת הסוללה מתחילה
plug_in,מחובר
techz,טֶכנוֹלוֹגִיָה
coldz,קַר
until,עד
well,נו
ovr_heat,התחממות יתר
ovr_load,להעמיס יותר מדי
renam,שונה שם
not_def,לא מוגדר
chrgz,לחייב
full,מלא
unloadz,פְּרִיקָה
not_charge_unkn,לא טעון או לא ידוע
usb,יו אס בי
charger,מַטעֵן
wless,אַלחוּט
not_at_al,שום דבר
uninstall,הסר את ההתקנה
update,לעדכן
setting,הגדרות
app,אפליקציות
not_found,האפליקציה לא נמצאה
search,חיפוש אפליקציות
version_code,קוד גרסה
api_level,רמת API
app_version,גרסת האפליקציה
authorization,הרשאה
open,לפתוח
play_store,חנות משחקים
control,לִשְׁלוֹט
systemstandart,תקן מערכת
white,לבן
dark,אפל
ocean,אוקיינוס
black,שָׁחוֹר
dark_blue,כחול כהה
excellent,מְעוּלֶה
bad,רַע
battery_bad,הסוללה פגומה מעט
very_bad,רע מאוד
battery_damaged,הסוללה פגומה
custom_mode,מצב מותאם אישית
brightness,בְּהִירוּת
automatic_brightness,בהירות אוטומטית
normal,נוֹרמָלִי
sound_modus,מודוס סאונד
tone_work,כל הצלילים עובדים
mute,לְהַשְׁתִיק
call_note_mute,שיחות והתראות מושתקות
not_bother,אל תטרח
tones_vibration_mute,כבה צלילים ורעידות, למעט צלילי אזעקה
sound,צלילים
music,מוּסִיקָה
notification,הוֹדָעָה
alarm,אזעקה
ultra_saving,מצב חיסכון באנרגיה במיוחד
edit,לערוך
disable_ultra_saving,השבת את מצב חיסכון באנרגיה אולטרה
min_remaining,דקות שנותרו
hours,שעה (ות
activted_ultra_saving,מופעל מצב חיסכון באנרגיה אולטרה
charged_in,נטען פנימה
min,דקה
limit_power,הגבל את צריכת החשמל
reduce_screen,הפחת את בהירות המסך
restrict_bg_act_explain,הגבל פעילויות רקע
volatge_check,מתח נבדק
software_optimized,התוכנה מותאמת
connect_charger,חבר מטען
charger_removed,ניתן להסיר מטען
power_consump_title,צריכת חשמל
srcn_bg_title,בהירות מסך
bg_al_activities,פעילויות רקע
sftware,תוֹכנָה
get_primium,אם תרכוש את גרסת הפרימיום, תקבל את כל הפונקציות הנוכחיות כמו גם את כל הפונקציות החדשות בעתיד.
cuztomize_face,התאמה אישית של ממשק המשתמש
comp_scheme,חבר את ערכת הצבעים של Battery Manager שלך ממגוון נושאים.
bat_check_detail,בדיקת סוללה מפורטת
check_cond_test,השתמש במנהל הסוללות כדי לבדוק את מצב הסוללה שלך כדי להיות תמיד על הצד הבטוח.
no_ads_yo,אין פרסום
use_explain_noads,השתמש ב-Battery Manager ללא כל פרסום
act_energy_save,הפעל את מצב חיסכון באנרגיה במיוחד כדי להאריך את חיי הסוללה במקרה חירום.
buy_title,קנה פרימיום
loc_title,מקום
cap_title,קיבולת
cap_remain,קיבולת שנותרה
sleepy,לִישׁוֹן
sek,שניות
sing_min,דַקָה
miniotes,דקות
finish,גָמוּר
mobi_data,מידע נייד
plz_rate,אנא דרג את Battery Manager בחנות Play
ur_data_cus,האם נוכל להמשיך להשתמש בנתונים שלך כדי להתאים אישית פרסומות עבורך?
in_slep_mode,במצב שינה
in_use,בשימוש
with_curr_pow,עם צריכת חשמל נוכחית
rem_bat_life,חיי סוללה שנותרו
qck_acc,גישה מהירה
notif_txt,הוֹדָעָה
notif_at,להודיע ​​ב
chg_curr,זרם טעינה
charge_perm,ביצועי טעינה
maxi_charge_per,ביצועי טעינה מקסימליים
enb_notif,אפשר התראה
perm_send_notif,Battery Manager דורש הרשאה לשליחת התראה, יש להפעיל אותו בהגדרות המכשיר.
to_set,להגדרות
title_autost,הפעל את ההפעלה האוטומטית
auto_explain,מנהל הסוללה דורש הרשאה להישאר מופעל ברקע כדי לשאול את מצב הסוללה ולשלוח הודעה.
sync_auto,סנכרון אוטומטי
dis_auto_sync,השבתת הסנכרון האוטומטי מפחיתה משמעותית את נעילות ה-Wakelock. עם זאת, חלק מהפונקציות כגון קבלת דואר אלקטרוני יאבדו.
chg_lim,מגבלת טעינה
avoid_ful_explain,אם תטעין את הסוללה למקסימום או תפרק אותה עד לכיבויה, מצבה וחיי השירות של הסוללה יצטמצמו. בהמשך תוכלו להגדיר את מצב הטעינה או הפריקה המינימלי והמקסימלי של הסוללה ותקבל הודעה בכל פעם שערך הסף יגיע. הימנע מטעינה מלאה ופריקה את הסוללה שלך והארכת חיי הסוללה.
rec_notif,לא קיבלת הודעה?
title_allow_bg_act,אפשר פעילות ברקע
allow_bg_act,על מנת שתוכלו להשתמש ב-Battery Manager ללא הגבלות מבלי שהוא ייסגר בטעות על ידי מערכת ההפעלה, ייתכן שיהיה עליכם לכבות פונקציות מיוחדות לניהול סוללה ושימוש בסוללה בהגדרות. מכיוון שהיצרנים השונים נבדלים בייעוד האפשרויות הללו בהתאם למערכת ההפעלה שבה נעשה שימוש. באזור פרטי האפליקציה, תחת שינה או סוללה, בחר ללא הגבלות או אפשר פעילות ברקע.
dev_usage,שימוש במכשיר
dep_sleep,שינה עמוקה היא מצב שבו המכשיר שלך משתמש בכמות הסוללה הנמוכה ביותר. משך השינה העמוקה משפיע לטובה על החיסכון באנרגיה. השינה העמוקה יכולה להיקטע על ידי משימות רקע, מה שגורם לסוללה להתרוקן מהר יותר. במקרה זה, הפעל מחדש את המכשיר.
title_bat_temp,טמפרטורת הסוללה
bat_tempp,טמפרטורת הסוללה היא אחד הגורמים החשובים ביותר. אם הסוללה נשמרת בג'ל בטמפרטורות גבוהות, הדבר משפיע הן על חיי השירות והן על ביצועי הסוללה. אם הטמפרטורה עולה, המבנה הפנימי של הסוללה עלול להינזק.
rdc_brightness,הפחת את בהירות המסך
display_explain,התצוגה היא אחד המרכיבים שצורכים את רוב האנרגיה. הפחתת הבהירות המקסימלית עוזרת להפחית את הצריכה הכוללת ולהשיג חיסכון ניכר. לפני הפחתת הבהירות, השבת את הבהירות האוטומטית כדי שהבהירות לא תשתנה שלא לצורך.
tst_charge,בדיקת מטען
best_way_test,הדרך הטובה ביותר לבדוק את המטען והכבל היא על ידי בדיקת מהירות הטעינה כשהמסך כבוי. מהירות הטעינה כשהמסך פועל היא לא אמת מידה טובה מכיוון שהטלפון שלך צורך חשמל, מה שגורם לתנודות. חבר את המטען, כבה את המסך לכמה דקות ולאחר מכן בדוק את זרם הטעינה המרבי.
wait_title,הַמתָנָה
rfsh_rate,קצב רענון
low_sizty,הורדת קצב הרענון ל-60 הרץ משפרת את חיי הסוללה.
drk_mode,מצב כהה
acti_dark_mode,הפעל מצב כהה, במצב כהה צורך פחות חשמל
actz,לְהַפְעִיל
poz,כּוֹחַ
minz,מִינִימוּם
avgo,מְמוּצָע
mixi1,מַקסִימוּם
msg_dis,ההודעה נעלמת לאחר 24 שעות אם יש מספיק נתונים כדי להציג את הדיאגרמה במלואה.
no_enough,אין מספיק נתונים כדי להציג
log_graph,בעוד מספר שעות תראה כאן גרף שיאפשר לך לבדוק את טמפרטורת הסוללה, המתח, האמפראז' והרמה במהלך 24 השעות האחרונות.
week,שָׁבוּעַ
buy_it,לִקְנוֹת
one_pur,תשלום חד פעמי של
refun_pur,ניתן להחזיר את הרכישה תוך שעתיים.
each_month,המנוי מתחדש אוטומטית בכל חודש וממשיך לעלות לחודש. ניתן לבטל את המנוי בכל עת.
mng_subs,לנהל מנוי
subsci,להירשם
will_cost_week,המנוי מתחדש אוטומטית בכל שבוע וממשיך לעלות לשבוע. ניתן לבטל את המנוי בכל עת.
lfllong,מֶשֶׁך כֹּל הָחַיִים
mthly,יַרחוֹן
wkly,שְׁבוּעִי
hoto,חַם
prm_ben_title,הטבות פרימיום
sync_title,לְסַנכְרֵן
dis_sync_inc,השבתת הסנכרון תגדיל את חיי הסוללה על ידי אי סנכרון שירותים ברקע
time_out,פסק זמן
dec_extend,הקטנת הזמן לפני כיבוי התצוגה מאריכה את חיי הסוללה
u_end_opti,האם אתה בטוח שברצונך לסיים את תהליך האופטימיזציה?
no_why_perm,אין רשות
bright_exp,מנהל הסוללות דורש הרשאת שינוי הגדרות מערכת כדי להפחית את בהירות המסך או לכבות את ה-Bluetooth.
tg_title,הצטרפו לערוץ טלגרם!
tg_text,הישאר מעודכן עם עדכוני אפליקציות, קבל בנייה מוקדמת ועזור לבחון תכונות חדשות. הצע את הרעיונות שלך, שאל שאלות וקבל תשובות מהר יותר
join_tg,לְהִצְטַרֵף
curr_consumption,צריכה נוכחית
scrn_onn,מסך דולק
srcn_off,מסך כבוי
mob_charg,טְעִינָה
discha,פריקה
activea,פָּעִיל
slpmode,מצב שינה
chagingspeed,מהירות טעינה נוכחית
dta_proxt,הגנת מידע
governs,מדיניות פרטיות זו מסדירה את השימוש שלך באפליקציית התוכנה Battery Manager עבור מכשירים ניידים שנוצרה על ידי Baxolino.
info_u_provide,מידע שנמסר על ידי המשתמש
no_pass_per,איננו מעבירים מידע אישי לצדדים שלישיים. כאשר אתה שולח לנו דוא"ל, יש לנו את כתובת הדוא"ל שלך, אבל אנחנו משתמשים בה רק כדי לעזור לך עם האפליקציות שלנו.
info_auto_coll,מידע נאסף באופן אוטומטי
exp_admob_use,אנו משתמשים ב-Google Admob כדי להציג מודעות. השימוש בשירותים אלה כפוף להוראות הגנת הנתונים של Google בכתובת https://www.google.com/policies/privacy/.
we_real_time,האם Battery Manager אוסף מידע מדויק על מיקום בזמן אמת מהמכשיר?
exp_loc_perm_man,Battery Manager בודק רק אם המיקום מופעל או מושבת, אך אינו אוסף מידע מדויק על מיקום המכשיר הנייד שלך. פונקציות מבוססות מיקום כאלה מוגדרות כברירת מחדל. אתה יכול לבטל או להפעיל מחדש פונקציות אלה בהגדרות של המכשיר המתאים שלך. לפני או אחרי התקנת האפליקציות, תישאל - בהתאם למכשיר - האם תעדיף לבטל או להפעיל את הפונקציות הללו. אנו יכולים לאסוף נתונים על מיקומך רק אם תפעיל שירותי מיקום כאלה.
chng,שינויים
pri_update_exp,מדיניות פרטיות זו עשויה להתעדכן מעת לעת מכל סיבה שהיא. אנו נודיע לך על שינויים במדיניות הפרטיות שלנו על ידי פרסום מדיניות הפרטיות החדשה בכתובת אינטרנט זו ויודיע לך באמצעות הודעה באפליקציה. מומלץ לעיין באופן קבוע במדיניות פרטיות זו לשינויים, שכן המשך השימוש נחשב לאישור כל השינויים. אתה יכול לעיין בהיסטוריה של מדיניות זו באתר זה.
contct,איש קשר
any_que,אם יש לך שאלות כלשהן לגבי הגנת נתונים בזמן השימוש באפליקציה או שיש לך שאלות לגבי הנהלים שלנו, אנא שלח דוא"ל לכתובת baxolino.de@gmail.com
mem_opti,Battery Manager צריך את גישת ה"זיכרון" כדי שניתן יהיה לסרוק אפליקציות ולבצע אופטימיזציה. אתה יכול לבטל או להפעיל פונקציות אלה בהגדרות של המכשיר המתאים שלך. לפני או אחרי התקנת האפליקציה, תישאל - בהתאם למכשיר - האם תעדיף לבטל או להפעיל את הפונקציות הללו.
storg,אִחסוּן
ble_set_acc,blue_set_perm, Battery Manager דורש את הגישה "גישה להגדרות Bluetooth" כדי שניתן יהיה לבדוק אם Bluetooth מופעל או מושבת. וכדי להפעיל או לבטל את ה-Bluetooth.
ble_title,בלוטות
needz_del,Battery Manager דורש את הגישה "בקש מחיקת חבילות" כדי להתחיל הסרה של אפליקציה. האפליקציה תוסר רק אם תאפשר זאת במפורש.
deletion_pkg,בקש מחיקת חבילות
need_adnd,מנהל הסוללות דורש גישת "נא לא להפריע" כדי להפעיל או להשבית את מצב 'נא לא להפריע'.
adnd,גישה אל 'נא לא להפריע'
need_wlan_acc,Battery Manager דורש גישה ל"קבל חיבורי WLAN" כדי שמנהל הסוללות יוכל לבדוק אם WLAN מופעל או מושבת. וכדי להפעיל או לבטל את ה-WLAN.
wln_conn,קבל חיבורי WLAN
shop_bill_exp,כאשר אתה קונה דרך Google Play In App Billing, Google נותנת לנו את ארץ המגורים שלך ולפעמים את המדינה, העיר והמיקוד, אך לעולם לא את הכתובת המלאה. אנו משתמשים במידע זה כדי לעמוד בתקנות המס והחשבונאות.
pri_date,נכון ל-21/02/2021
how_to_stop,אתה יכול לעצור את כל איסוף המידע על ידי היישום פשוט על ידי הסרת ההתקנה של היישום. אתה יכול להשתמש בתהליכי הסרת ההתקנה הסטנדרטיים הזמינים כחלק מהמכשיר הנייד שלך או דרך השוק או הרשת עבור יישומים ניידים.
opt_out,מהן זכויות הביטול שלי?
ur_permission,רשותך
accept_privacy,על ידי שימוש באפליקציה, אתה מסכים לעיבוד הנתונים שלך כמפורט במדיניות פרטיות זו וכפי שתוקן על ידינו.
