title,Батарея менеджеры Lite төрле
sys_bat_usage,Система батареясын куллану
bat_usage_det,Батарея куллану детальләре
end_optiz,Ахыр оптимизация
abort,Аборт
break_up,ярырга
scn,сканерлау
scn_bgh,Экран яктылыгы
dact_wlan,WLANны туктату
dact_save_batt,Батарейканы саклап калу өчен
dact,Тукта
dact_ble,Bluetooth-ны сүндерегез
red_brigh,Яктылыкны киметү
bright_txt,Батарейканы саклау өчен дисплейның яктылыгын киметегез
to_reduce,Кыскарту
dact_gps,GPSны туктату
appz_optimz,Кушымталар оптимальләштерелгән
start_bat_check_det,Alwaysәрвакыт куркынычсыз ягында булу өчен, батареяны җентекләп тикшерегез
act_eng_save,Батарейка куллануны киметү өчен энергия саклау режимын активлаштыру
remove_useless,Инде кулланылмаган кушымталарны бетерегез
premium,Премиум
clear_mem,Хәтерне чистарту
clear_mem_des,Сезнең смартфон тиз һәм шома эшләсен өчен.
clenaup,Җыештыру
rat,рейтингы
rat_free,Батарея менеджерына бушлай бәя бирегез
sendz,Sendибәр
elmn_found,Элементлар табылды
drumz,Барабаннар
status,Статус
end_akk_check,Батарейканы тикшерү
bat_detlz,Батарея детальләре
temp_checked,Температура тикшерелә
cond_checked,Батарейканың торышы тикшерелә
checkz_start,Батареяны тикшерү башлана
plug_in,Керелгән
techz,Технология
coldz,Салкын
until,Кадәр
well,Ярар
ovr_heat,Overылыту
ovr_load,Артык йөкләү
renam,исеме үзгәртелде
not_def,билгеләнмәгән
chrgz,Түләү
full,Тулы
unloadz,Йөкләү
not_charge_unkn,гаепләнмәгән яки билгесез
usb,USB
charger,зарядлагыч
wless,чыбыксыз
not_at_al,бернәрсә дә
uninstall,Бетерү
update,Яңарту өчен
setting,Көйләүләр
app,Кушымталар
not_found,Кушымта табылмады
search,Кушымталарны эзләү
version_code,Вариант коды
api_level,API дәрәҗәсе
app_version,Кушымта версиясе
authorization,авторизация
open,ачарга
play_store,Кибет
control,контроль
systemstandart,Система
white,Белый
dark,Караңгы
ocean,Океан
black,Кара
dark_blue,Куе зәңгәр
excellent,Яхшы
bad,Начар
battery_bad,Батарея бераз бозылган
very_bad,Бик начар
battery_damaged,Батарея бозылган
custom_mode,Махсус режим
brightness,Яктылык
automatic_brightness,Автом яктылык
normal,Нормаль
sound_modus,Тавыш режимы
tone_work,Барлык тоннар эшли
mute,Тавышсыз
call_note_mute,Шалтыратулар һәм хәбәрләр сүндерелгән
not_bother,Тилмертмә
tones_vibration_mute,Сигнализация тоннарыннан кала, тоннарны һәм тибрәнүләрне сүндерегез
sound,Тавышлар
music,музыка
notification,Хәбәрләр
alarm,Сигнализация
ultra_saving,Ультра энергия саклау режимы
edit,Редакцияләү
disable_ultra_saving,Ультра энергия саклау режимын сүндерегез
min_remaining,мин калган
hours,сәгатьләр
activted_ultra_saving,Ультра энергия саклау режимы активлаштырылган
charged_in,.әр сүзнең
min,мин
limit_power,Энергия куллануны чикләгез
reduce_screen,Экран яктылыгын киметү
restrict_bg_act_explain,Фон эшчәнлеген чикләгез
volatge_check,Вольт тикшерелә
software_optimized,Программа оптимальләштерелгән
connect_charger,Зарядлагычны тоташтырыгыз
charger_removed,Зарядлагычны бетерергә мөмкин
power_consump_title,Энергия куллану
srcn_bg_title,Экран яктылыгы
bg_al_activities,Фональ чаралар
sftware,Программа тәэминаты
get_primium,Премиум версиясен сатып алсагыз, сез барлык агымдагы функцияләрне дә, киләчәктә барлык яңа функцияләрне дә алырсыз.
cuztomize_face,Кулланучының интерфейсын көйләү
comp_scheme,Төрле темалардан Батарея менеджеры төс схемасын языгыз.
bat_check_detail,Батарейканы җентекләп тикшерү
check_cond_test,Батарейка менеджерын кулланыгыз, батареягызның торышын һәрвакыт куркынычсыз ягында тикшерегез.
no_ads_yo,Реклама юк
use_explain_noads,Рекламасыз батарея менеджерын кулланыгыз
act_energy_save,Гадәттән тыш хәлдә батарея гомерен арттыру өчен ультра энергия саклау режимын активлаштырыгыз.
buy_title,Премиум сатып алыгыз
loc_title,Урын
cap_title,сыйдырышлыгы
cap_remain,Калган сыйдырышлык
sleepy,Йокла
sek,Секундлар
sing_min,Минут
miniotes,Минутлар
finish,Тәмамланды
mobi_data,мобиль мәгълүмат
plz_rate,Зинһар, Плей кибетендә батарея менеджерын бәяләгез
ur_data_cus,Сезнең өчен рекламаны көйләү өчен без сезнең мәгълүматны куллануны дәвам итә алабызмы?
in_slep_mode,Йокы режимында
in_use,Куллануда
with_curr_pow,Агымдагы энергия куллану белән
rem_bat_life,Батарейка гомере
qck_acc,Тиз керү
notif_txt,хәбәр итү
notif_at,Хәбәр итегез
chg_curr,Ток корылмасы
charge_perm,Эшләү
maxi_charge_per,Максималь зарядлау эше
enb_notif,Хәбәрне кушу
perm_send_notif,Батарея менеджеры хәбәр җибәрү өчен рөхсәт сорый, ул җайланма көйләүләрендә актив булырга тиеш.
to_set,Көйләүләргә
title_autost,Автостартны активлаштыру
auto_explain,Батарея менеджеры, батарея торышын сорау һәм хәбәр җибәрү өчен, фонда актив булырга рөхсәт сорый.
sync_auto,Синхронизация
dis_auto_sync,Автомат синхронизацияне сүндерү вакелокларны сизелерлек киметә. Ләкин, электрон почта алу кебек кайбер функцияләр юкка чыгачак.
chg_lim,Түләү лимиты
avoid_ful_explain,Әгәр дә сез батареяны максималь зарядка белән эшләсәгез яки аны сүндергәнче җибәрсәгез, батарейканың торышы һәм хезмәт итү вакыты кыскарыр. Түбәндә сез батареяның минималь һәм максималь корылмасын яки агызу статусын куя аласыз, һәм бусага бәясе җиткән саен сезгә хәбәр ителәчәк. Батарейканы тулысынча зарядкадан саклагыз һәм батареяның гомерен озайтыгыз.
rec_notif,Хәбәрләр алынмады?
title_allow_bg_act,Фон эшчәнлегенә рөхсәт итегез
allow_bg_act,Батарейка менеджерын чикләүләрсез куллана алуыгыз өчен, операцион система белә торып ябылмыйча, батарея белән идарә итү һәм көйләүләрдә батарея куллану өчен махсус функцияләрне сүндерергә туры килергә мөмкин. Чөнки төрле җитештерүчеләр кулланылган операцион системага карап бу вариантларны билгеләүдә аерылып торалар. Кушымта турында мәгълүмат өлкәсендә, Йокы яки Батарея астында, Чикләүләр юк яки Фональ эшчәнлеккә рөхсәт итегез.
dev_usage,Devайланма куллану
dep_sleep,Тирән йокы - сезнең җайланма иң аз күләмдә батарея кулланган халәт. Тирән йокы озынлыгы энергияне саклауга уңай йогынты ясый. Тирән йокы фон эшләре белән өзелергә мөмкин, бу батареяның тизрәк агып китүенә китерә. Бу очракта җайланмагызны яңадан эшләтеп җибәрегез.
title_bat_temp,Батарея температурасы
bat_tempp,Батарейка температурасы иң мөһим факторларның берсе. Әгәр дә батарея гел югары температурада сакланса, бу хезмәт итү вакытына да, батарея эшенә дә тәэсир итә. Әгәр температура күтәрелсә, батареяның эчке төзелеше бозылырга мөмкин.
rdc_brightness,Экран яктылыгын киметү
display_explain,Дисплей - энергиянең күп өлешен кулланучы компонентларның берсе. Максималь яктылыкны киметү гомуми куллануны киметергә һәм сизелерлек экономиягә ирешергә ярдәм итә. Яктылыкны киметкәнче, яктылык кирәксез үзгәрмәсен өчен, автоматик яктылыкны сүндерегез.
tst_charge,Тест зарядлагы
best_way_test,Зарядлагычны һәм кабельне сынап карау өчен иң яхшы ысул - зарядлау тизлеген экран белән сүндереп. Экран кабызылганда зарядлау тизлеге яхшы күрсәткеч түгел, чөнки телефоныгыз көч куллана, бу үзгәрүчәнлеккә китерә. Зарядлагычны урнаштырыгыз, экранны берничә минутка сүндерегез, аннары максималь корылма токын тикшерегез.
wait_title,Көтү
rfsh_rate,Яңарту ставкасы
low_sizty,Яңарту тизлеген 60 Гцга кадәр киметү батареяның гомерен яхшырта.
drk_mode,Караңгы режим
acti_dark_mode,Караңгы режимны активлаштырыгыз, караңгы режимда аз көч кулланыла
actz,Активлаштыру
poz,Көч
minz,Минимум
avgo,Уртача
mixi1,Максимум
msg_dis,Диаграмманы тулысынча күрсәтер өчен җитәрлек мәгълүмат булса, хәбәр 24 сәгатьтән соң юкка чыга.
no_enough,Күрсәтерлек мәгълүмат җитми
log_graph,Берничә сәгать эчендә сез монда 24 сәгать эчендә батарея температурасын, көчәнешне, куәтне һәм дәрәҗәне тикшерергә мөмкинлек бирүче графикны күрерсез.
week,атна
buy_it,Сатып ал
one_pur,Бер тапкыр түләү
refun_pur,сатып алу 2 сәгать эчендә кире кайтарылырга мөмкин.
each_month,Подписка ай саен автоматик яңартыла һәм айга бәясен дәвам итә. Подписка теләсә кайсы вакытта юкка чыгарылырга мөмкин.
mng_subs,язылу белән идарә итү
subsci,язылу
will_cost_week,Подписка атна саен автоматик яңартыла һәм атнага бәясен дәвам итә. Подписка теләсә кайсы вакытта юкка чыгарылырга мөмкин.
lfllong,гомерлек
mthly,ай саен
wkly,Атна саен
hoto,Кайнар
prm_ben_title,Премиум өстенлекләре
sync_title,Синхронизация
dis_sync_inc,Синхронизацияне сүндерү, фонда хезмәтләрне синхронлаштырмыйча, батарея гомерен арттырачак
time_out,Көтү вакыты бетте
dec_extend,Дисплейны сүндергәнче вакытны киметү батарейка гомерен озайта
u_end_opti,Сез оптимизация процессын туктатырга телисезме?
no_why_perm,Рөхсәт юк
bright_exp,Батарея менеджеры экран яктылыгын киметү яки Bluetoothны сүндерү өчен система көйләнмәләрен үзгәртү рөхсәтен таләп итә.
tg_title,Телеграм каналына кушылыгыз!
tg_text,Кушымта яңартулары белән агымда торыгыз, иртә төзегез, яңа функцияләрне сынап карагыз. Идеяларыгызны тәкъдим итегез, сораулар бирегез һәм тизрәк җавап алыгыз
join_tg,кушыл
curr_consumption,агымдагы куллану
scrn_onn,экран
srcn_off,экран сүндерелгән
mob_charg,Зарядлау
discha,Агарту
activea,Актив
slpmode,Йокы режимы
chagingspeed,Хәзерге зарядлау тизлеге
dta_proxt,Мәгълүматны саклау
governs,Бу хосусыйлык политикасы Баксолино ясаган мобиль җайланмалар өчен Батарея менеджеры программа кушымтасын куллануыгыз белән идарә итә.
info_u_provide,Кулланучы тарафыннан бирелгән мәгълүмат
no_pass_per,Без шәхси мәгълүматны өченче якка бирмибез. Сез безгә электрон почта аша хат җибәргәндә, сезнең электрон почта адресыгыз бар, ләкин без аны сезнең кушымталарда ярдәм итәр өчен кулланабыз.
info_auto_coll,Мәгълүмат автоматик рәвештә тупланган
exp_admob_use,Без реклама өчен Google Admob кулланабыз. Бу хезмәтләрне куллану Google мәгълүматларын саклау кагыйдәләренә буйсына, https://www.google.com/policies/privacy/.
we_real_time,Батарея менеджеры җайланмадан реаль вакыттагы урнашу турында төгәл мәгълүмат туплыймы?
exp_loc_perm_man,Батарея мангеры урнашкан урынның активлашканын яки эшсез калганын тикшерә, ләкин сезнең мобиль җайланманың урнашуы турында төгәл мәгълүмат тупламый. Мондый урнашуга нигезләнгән функцияләр килешү буенча куелган. Сез бу функцияләрне тиешле җайланма көйләүләрендә туктатырга яки яңадан эшләтеп җибәрә аласыз. Кушымталарны урнаштырганчы яисә соң, сездән - җайланмага карап - бу функцияләрне туктатырга яки активлаштырырга теләр идегез. Мондый урнашу хезмәтләрен активлаштырсагыз, без сезнең урыныгыз турында мәгълүмат туплый алабыз.
chng,Esзгәрешләр
pri_update_exp,Бу хосусыйлык политикасы вакыт-вакыт теләсә нинди сәбәп аркасында яңартылырга мөмкин. Без сезгә бу веб-адреска яңа хосусыйлык политикасын урнаштырып һәм кушымтадагы хәбәр аша хәбәр итеп, безнең хосусыйлык политикасына үзгәрешләр кертәчәкбез. Changesзгәрешләр өчен бу Хосусыйлык Сәясәтенә регуляр рәвештә мөрәҗәгать итү тәкъдим ителә, чөнки дәвамлы куллану барлык үзгәрешләрне раслау булып санала. Сез бу политиканың тарихын бу сайтта карый аласыз.
contct,Контакт
any_que,Кушымтаны кулланганда мәгълүматны саклау турында сорауларыгыз булса яки безнең практикалар турында сораулар булса, зинһар, e-mail җибәрегез baxolino.de@gmail.com
mem_opti,Батарея менеджеры кушымталарны сканерлау һәм оптимальләштерү өчен "хәтер" рөхсәтенә мохтаҗ. Сез бу функцияләрне тиешле җайланма көйләүләрендә туктатырга яки активлаштырырга мөмкин. Кушымтаны урнаштырганчы яисә аннан соң сездән соралачаклар - җайланмага карап - сез бу функцияләрне туктатырга яки активлаштырырга телисезме.
storg,Саклау
ble_set_acc,blue_set_perm, Батарея менеджеры "Bluetooth көйләү рөхсәте" рөхсәтен таләп итә, шуңа күрә ул Bluetoothның активлашканын яки эшсез калганын тикшерә ала. Bluetoothәм Bluetoothны активлаштыру яки туктату өчен.
ble_title,Bluetooth
needz_del,Батарея менеджеры кушымтаны юкка чыгару өчен "Пакетларны бетерүне сорарга" рөхсәт сорый. Әгәр дә сез рөхсәт итсәгез, кушымта юкка чыгарылачак.
deletion_pkg,Пакетларны бетерүне сорарга
need_adnd,Батарея менеджеры "Тынычланмагыз" режимын эшләтеп җибәрү яки сүндерү өчен "Борчылмагыз" рөхсәтен таләп итә.
adnd,Рөхсәт бозмагыз
need_wlan_acc,Батарея менеджеры "WLAN тоташуларын алыгыз" рөхсәтен таләп итә, шуңа күрә Батарея менеджеры WLANның активлашканын яки эшсез калганын тикшерә ала. WLANны активлаштыру яки туктату өчен.
wln_conn,WLAN тоташуларын алыгыз
shop_bill_exp,Google Play In App Billing аша кибет ясаганда, Google безгә яшәгән илне һәм кайвакыт дәүләт, шәһәр һәм индексны бирә, ләкин беркайчан да тулы адрес. Без бу мәгълүматны салым һәм бухгалтерлык кагыйдәләрен үтәү өчен кулланабыз.
pri_date,21/21/2021 көнгә
how_to_stop,Сез кушымтаны бетереп кенә мәгълүмат белән тулы мәгълүмат җыюны туктата аласыз. Сез мобиль җайланмагызның өлеше яки базар яки челтәр аша мобиль кушымталар өчен булган стандарт бетерү процессларын куллана аласыз.
opt_out,Минем баш тарту хокукларым нинди?
ur_permission,сезнең рөхсәт
accept_privacy,Кушымтаны кулланып, сез бу хосусыйлык политикасында күрсәтелгән һәм безнең үзгәртелгән мәгълүматларны эшкәртүгә ризасыз.
