title,باتارېيە باشقۇرغۇچى Lite ئوخشىمايدۇ
min_bat_tem,باتارېيەنىڭ ئەڭ تۆۋەن تېمپېراتۇرىسى
mx_bat_tem,باتارېيەنىڭ ئەڭ يۇقىرى تېمپېراتۇرىسى
avg_bat_tem,باتارېيەنىڭ ئوتتۇرىچە تېمپېراتۇرىسى
dig_last,ئالدىنقى دىئاگنوز
rem_time,قالغان ۋاقىت
volt,توك بېسىمى
curr,نۆۋەتتىكى
status,ھالەت
run_time,ئىجرا ۋاقتى
currently,نۆۋەتتە
avg,ئوتتۇرىچە
minmal,Minimal
maximal,ئەڭ چوڭ
tool,قوراللار
rem_apps,ئەمدى ئىشلەتمەيدىغان ئەپلەرنى ئۆچۈرۈۋېتىڭ ، ئەپلەرنىڭ بىھۇدە يۈرۈشى ۋە باتارېيەڭىزنى خورىتىشىنىڭ ئالدىنى ئالىدۇ
uninst_apps,ئەپلەرنى ئۆچۈرۈڭ
stat,باشلاش
act_eng_save,ئېنېرگىيە تېجەش ھالىتىنى قوزغىتىپ ، باتارېيە سەرپىياتىنى تۆۋەنلىتىڭ
pow_save,توك تېجەش ھالىتى
tempe,تېمپېراتۇرا
heal,ساغلاملىق
tips,ئۇسۇل ۋە ئۇسۇللار بىلەن باتارېيەڭىزنى ياخشى ھالەتتە ساقلاڭ.
recomm,تەۋسىيە
prem,Premium
more_func,سىز ئۈچۈن تېخىمۇ كۆپ ئىقتىدارلار. مۇكاپاتقا ئېرىشىڭ ، تېخىمۇ كۆپ ئېرىشىڭ.
more,تېخىمۇ كۆپ
ur_cond_bat,باتارېيەنىڭ ھالىتى
ur_bat_life,باتارېيەنىڭ ئۆمرى
ur_bat_temp,باتارېيەنىڭ تېمپېراتۇرىسى
wow,مۇنەۋۋەر
normal,نورمال
poor,ناچار
days,كۈنلەر
mins,مىنۇت
hrs,سائەت
chging,توك قاچىلاش
ful,تولۇق
dis_chrg,توك چىقىرىش
unkn,نامەلۇم
too_lit,باتارېيە سانلىق مەلۇماتلىرى بەك ئاز
car_any,قانداقلا بولمىسۇن ئېلىپ بېرىڭ
endz_,ئاخىر
dig_any,تېخىمۇ ياخشى دىئاگنوز قويۇش نەتىجىسىگە ئېرىشىش ئۈچۈن ، بۇ دېتال ئارقا سۇپىدا باتارېيەڭىزنى تەھلىل قىلىشى كېرەك. 24 سائەتتىن كېيىن دىئاگنوزنى باشلاڭ
end_dig,دىئاگنوزنى ئاخىرلاشتۇرۇڭ
quit_dig,دىئاگنوزنى ھەقىقەتەن تاشلاڭ
batty_temp,باتارېيەنىڭ تېمپېراتۇرىسى
akku_manager,Akku باشقۇرغۇچى
u_agree,«START» ئارقىلىق سانلىق مەلۇمات قوغداش بەلگىلىمىلىرىگە قوشۇلىسىز
elemn_opti,ئېلېمېنتلارنى ئەلالاشتۇرغىلى بولىدۇ
looks_good,ھەممە نەرسە ياخشىدەك قىلىدۇ
optimize_,ئەلالاشتۇرۇش
toolz_,قوراللار
akku_check,Akku Check
ctrl_load,كونترول قىلىنىدىغان يۈك
mng_apps,ئەپلەرنى باشقۇرۇش
infosm,ئۇچۇر
tenzion,جىددىيلىك
electy,توك
lvl,Level
akku_man_premium,Akku Manager Premium
premimum_highlight,ئېلانسىز باتارېيە باشقۇرغۇچىنى پۈتۈنلەي ئىشلىتىڭ ، ئىشلەتكۈچى كۆرۈنمە يۈزىنى كەڭ كۆلەمدە خاسلاشتۇرالايسىز.
design,لايىھىلەش
subjs,تېما
genrally,ئادەتتە
temp_unit,تېمپېراتۇرا بىرلىكى
oth_apps,باشقا ئەپلەر
dat_protect,سانلىق مەلۇمات قوغداش
thx_akku,Akku باشقۇرغۇچىسىنىڭ ئالىي دەرىجىلىك نۇسخىسىنى سېتىۋېلىشىغا ياردەم بەرگەنلىكىڭىزگە رەھمەت.
user_got_pre,سىز ھازىر ئىشلەتكۈچى كۆرۈنمە يۈزى ۋە ئېلانسىز كەڭ كۆلەمدە خاسلاشتۇرالايسىز.
exp_more,كەلگۈسىدىكى يېڭىلانمىلاردا تېخىمۇ كۆپ ئىقتىدارلارنى ئۈمىد قىلالايسىز
ap_optimiz,ئەپ ئەلالاشتۇرۇش
sys_bat_usage,سىستېما باتارېيەسى
bat_usage_det,باتارېيە ئىشلىتىش تەپسىلاتلىرى
end_optiz,ئەلالاشتۇرۇشنى ئاخىرلاشتۇرۇڭ
abort,ئەمەلدىن قالدۇرۇش
break_up,پارچىلىنىش
scn,سايىلەش
scn_bgh,ئېكراننىڭ يورۇقلۇقى
dact_wlan,WLAN نى توختىتىڭ
dact_save_batt,باتارېيەنى ساقلاشنى توختىتىڭ
dact,ئىناۋەتسىز
dact_ble,كۆك چىشنى توختىتىڭ
red_brigh,يورۇقلۇقنى ئازايتىڭ
bright_txt,باتارېيەنى تېجەش ئۈچۈن ئېكراننىڭ يورۇقلۇق دەرىجىسىنى تۆۋەنلىتىڭ
to_reduce,ئازايتىش
dact_gps,GPS نى توختىتىڭ
appz_optimz,ئەپلەر ئەلالاشتۇرۇلغان
start_bat_check_det,ھەمىشە بىخەتەر تەرەپتە بولۇش ئۈچۈن تەپسىلىي باتارېيە تەكشۈرۈشنى باشلاڭ
act_eng_save,ئېنېرگىيە تېجەش ھالىتىنى قوزغىتىپ ، باتارېيە سەرپىياتىنى تۆۋەنلىتىڭ
remove_useless,ئەمدى ئىشلىتىلمەيدىغان ئەپلەرنى ئۆچۈرۈڭ
premium,Premium
clear_mem,ئىچكى ساقلىغۇچنى تازىلاڭ
clear_mem_des,شۇنداق قىلىپ ئەقلىيفونىڭىز تېز ۋە ئوڭۇشلۇق ئىشلەيدۇ.
clenaup,تازىلاش
rat,باھا
rat_free,ھەقسىز باتارېيە باشقۇرغۇچى
sendz,ئەۋەتىڭ
elmn_found,ئېلېمېنتلار تېپىلدى
drumz,دۇمباق
status,ھالەت
end_akk_check,باتارېيەنى تەكشۈرۈش
bat_detlz,باتارېيە تەپسىلاتلىرى
temp_checked,تېمپېراتۇرا تەكشۈرۈلىدۇ
cond_checked,باتارېيەنىڭ ئەھۋالى تەكشۈرۈلگەن
checkz_start,باتارېيە تەكشۈرۈش باشلىنىدۇ
plug_in,قىستۇرما
techz,تېخنىكا
coldz,سوغۇق
until,تاكى ھازىرغىچە
well,ياخشى
ovr_heat,ھەددىدىن زىيادە قىزىش
ovr_load,نورمىدىن ئاشۇرۇپ يۈك بېسىش
renam,ئۆزگەرتىلگەن
not_def,ئېنىق ئەمەس
chrgz,ھەق ئېلىش
full,تولۇق
unloadz,چۈشۈرۈش
not_charge_unkn,ھەق ئېلىنمايدۇ ياكى نامەلۇم
usb,USB
charger,توك قاچىلىغۇچ
wless,سىمسىز
not_at_al,ھېچنېمە يوق
uninstall,ئۆچۈرۈۋېتىڭ
update,يېڭىلاش
setting,تەڭشەك
app,ئەپلەر
not_found,ئەپ تېپىلمىدى
search,ئەپلەرنى ئىزدەش
version_code,نەشرى كودى
api_level,API دەرىجىسى
app_version,ئەپ نۇسخىسى
authorization,ھوقۇق بېرىش
open,ئېچىش
play_store,Play Store
control,كونترول
systemstandart,سىستېما ئۆلچىمى
white,ئاق
dark,قاراڭغۇ
ocean,Ocean
black,قارا
dark_blue,قېنىق كۆك
excellent,مۇنەۋۋەر
bad,ناچار
battery_bad,باتارېيە ئازراق بۇزۇلغان
very_bad,بەك ناچار
battery_damaged,باتارېيە بۇزۇلغان
custom_mode,Custom Mode
brightness,Brightness
automatic_brightness,ئاپتوماتىك يورۇقلۇق
normal,نورمال
sound_modus,ئاۋاز ھالىتى
tone_work,بارلىق ئاھاڭلار ئىشلەيدۇ
mute,Mute
call_note_mute,چاقىرىش ۋە ئۇقتۇرۇشلار ئۈنسىز ھالەتتە
not_bother,ئاۋارە قىلماڭ
tones_vibration_mute,قوڭغۇراق ئاۋازىدىن باشقا ئاۋاز ۋە تەۋرىنىشنى ئېتىۋېتىڭ
sound,ئاۋاز
music,مۇزىكا
notification,ئۇقتۇرۇش
alarm,ئاگاھلاندۇرۇش
ultra_saving,ئۇلترا ئېنېرگىيە تېجەش ھالىتى
edit,تەھرىرلەش
disable_ultra_saving,ئۇلترا ئېنېرگىيە تېجەش ھالىتىنى چەكلەڭ
min_remaining,min قالغان
hours,سائەت
activted_ultra_saving,ئۇلترا ئېنېرگىيە تېجەش ھالىتى قوزغىتىلدى
charged_in,ئەيىبلەنگەن
min,min
limit_power,توك سەرپىياتىنى چەكلەش
reduce_screen,ئېكراننىڭ يورۇقلۇق دەرىجىسىنى تۆۋەنلىتىڭ
restrict_bg_act_explain,ئارقا كۆرۈنۈش پائالىيىتىنى چەكلەڭ
volatge_check,توك بېسىمى تەكشۈرۈلگەن
software_optimized,يۇمشاق دېتال ئەلالاشتۇرۇلغان
connect_charger,توك قاچىلىغۇچنى ئۇلاڭ
charger_removed,توك قاچىلىغۇچنى ئۆچۈرگىلى بولىدۇ
power_consump_title,توك سەرپىياتى
srcn_bg_title,ئېكراننىڭ يورۇقلۇقى
bg_al_activities,ئارقا كۆرۈنۈش پائالىيىتى
sftware,يۇمشاق دېتال
get_primium,ئەگەر ئالىي نەشرىنى سېتىۋالسىڭىز ، نۆۋەتتىكى بارلىق ئىقتىدارلارغا شۇنداقلا كەلگۈسىدىكى بارلىق يېڭى ئىقتىدارلارغا ئېرىشىسىز.
cuztomize_face,ئىشلەتكۈچى كۆرۈنمە يۈزىنى خاسلاشتۇرۇش
comp_scheme,ھەر خىل ئۇسلۇبتىكى باتارېيە باشقۇرغۇچ رەڭ لايىھىسىنى تۈزۈڭ.
bat_check_detail,باتارېيەنى تەپسىلىي تەكشۈرۈش
check_cond_test,باتارېيە باشقۇرغۇچىنى ئىشلىتىپ باتارېيەڭىزنىڭ ھالىتىنى ھەر ۋاقىت بىخەتەر تەرەپتە تۇرۇڭ.
no_ads_yo,ئېلان يوق
use_explain_noads,ھېچقانداق ئېلانسىز باتارېيە باشقۇرغۇچىنى ئىشلىتىڭ
act_energy_save,ئۇلترا ئېنېرگىيە تېجەش ھالىتىنى قوزغىتىپ ، جىددىي ئەھۋالدا باتارېيەنىڭ ئۆمرىنى ئۇزارتىڭ.
buy_title,Premium نى سېتىۋېلىڭ
loc_title,ئورنى
cap_title,سىغىمى
cap_remain,قالدۇق ئىقتىدارى
sleepy,ئۇخلاش
sek,سېكۇنت
sing_min,مىنۇت
miniotes,مىنۇت
finish,تاماملاندى
mobi_data,كۆچمە سانلىق مەلۇمات
plz_rate,ئويۇن دۇكىنىدىكى باتارېيە باشقۇرغۇچىغا باھا بېرىڭ
ur_data_cus,بىز داۋاملىق سانلىق مەلۇماتلىرىڭىزنى ئىشلىتىپ ئېلاننى خاسلاشتۇرالامدۇق؟
in_slep_mode,ئۇخلاش ھالىتى
in_use,ئىشلىتىلىۋاتىدۇ
with_curr_pow,نۆۋەتتىكى توك سەرپىياتى بىلەن
rem_bat_life,باتارېيەنىڭ ئۆمرى
qck_acc,تېز زىيارەت قىلىش
notif_txt,ئۇقتۇرۇش
notif_at,ئۇقتۇرۇش قىلىڭ
chg_curr,توك قاچىلاش
charge_perm,توك قاچىلاش ئىقتىدارى
maxi_charge_per,ئەڭ چوڭ توك قاچىلاش ئىقتىدارى
enb_notif,ئۇقتۇرۇشنى قوزغىتىڭ
perm_send_notif,باتارېيە باشقۇرغۇچى ئۇقتۇرۇش ئەۋەتىشكە ئىجازەت تەلەپ قىلىدۇ ، چوقۇم ئۈسكۈنىنىڭ تەڭشىكىدە ئاكتىپلىنىشى كېرەك.
to_set,تەڭشەكلەرگە
title_autost,Autostart نى قوزغىتىڭ
auto_explain,باتارېيە باشقۇرغۇچى باتارېيەنىڭ ئەھۋالىنى سۈرۈشتۈرۈش ۋە ئۇقتۇرۇش ئەۋەتىش ئۈچۈن ئارقا سۇپىدا ئاكتىپ ھالەتتە تۇرۇشقا ئىجازەت تەلەپ قىلىدۇ.
sync_auto,ئاپتوماتىك ماسقەدەملەڭ
dis_auto_sync,ئاپتوماتىك ماس قەدەمنى چەكلەش wakelock نى كۆرۈنەرلىك ئازايتىدۇ. قانداقلا بولمىسۇن ، ئېلېكترونلۇق خەت تاپشۇرۇۋېلىش قاتارلىق بەزى ئىقتىدارلار يوقىلىدۇ.
chg_lim,ھەق ئېلىش چەكلىمىسى
avoid_ful_explain,ئەگەر باتارېيەڭىزنى ئەڭ يۇقىرى چەكتە توك قاچىلىسىڭىز ياكى ئۇ ئېتىلىپ بولغۇچە قويۇپ بەرسىڭىز ، باتارېيەنىڭ ئەھۋالى ۋە مۇلازىمەت ئۆمرى قىسقىرايدۇ. تۆۋەندە سىز باتارېيەنىڭ ئەڭ تۆۋەن ۋە ئەڭ چوڭ توك قاچىلاش ياكى قويۇپ بېرىش ھالىتىنى بەلگىلىيەلەيسىز ، ھەر قېتىم چەك قىممىتىگە يەتكەندە سىزگە ئۇقتۇرۇلىدۇ. تولۇق توك قاچىلاشتىن ساقلىنىڭ ۋە باتارېيەڭىزنى قويۇپ بېرىڭ ھەمدە باتارېيەنىڭ ئۆمرىنى ئۇزارتىڭ.
rec_notif,ئۇقتۇرۇش تاپشۇرۇۋالمىدىمۇ؟
title_allow_bg_act,تەگلىك پائالىيىتىگە يول قويۇڭ
allow_bg_act,مەشغۇلات سىستېمىسى تەرىپىدىن مەقسەتسىز تاقىلىپ قالماي ، باتارېيە باشقۇرغۇچىنى چەكلىمىسىز ئىشلىتەلەيدىغان بولۇشىڭىز ئۈچۈن ، تەڭشەكلەردە باتارېيە باشقۇرۇش ۋە باتارېيە ئىشلىتىشتىكى ئالاھىدە ئىقتىدارلارنى ئۆچۈرۈشىڭىز مۇمكىن. چۈنكى ھەرخىل ئىشلەپچىقارغۇچىلار ئىشلىتىلگەن مەشغۇلات سىستېمىسىغا ئاساسەن بۇ تاللاشلارنىڭ بېكىتىلىشىدە پەرقلىنىدۇ. ئەپ ئۇچۇر رايونىدا ، ئۇيقۇ ياكى باتارېيە ئاستىدا ، چەكلىمە يوق ياكى تەگلىك پائالىيىتىگە يول قويۇڭ.
dev_usage,ئۈسكۈنىنىڭ ئىشلىتىلىشى
dep_sleep,چوڭقۇر ئۇيقۇ ئۈسكۈنىڭىزنىڭ باتارېيەسىنى ئەڭ ئاز ئىشلىتىدىغان ھالىتى. چوڭقۇر ئۇخلاش ۋاقتى ئېنېرگىيە تېجەشكە ئاكتىپ تەسىر كۆرسىتىدۇ. چوڭقۇر ئۇخلاش تەگلىك ۋەزىپىلىرى بىلەن ئۈزۈلۈپ قالىدۇ ، بۇ باتارېيەنىڭ تېزرەك توك چىقىرىشىنى كەلتۈرۈپ چىقىرىدۇ. بۇ خىل ئەھۋالدا ئۈسكۈنىڭىزنى قايتا قوزغىتىڭ.
title_bat_temp,باتارېيەنىڭ تېمپېراتۇرىسى
bat_tempp,باتارېيەنىڭ تېمپېراتۇرىسى ئەڭ مۇھىم ئامىللارنىڭ بىرى. ئەگەر باتارېيە يۇقىرى تېمپېراتۇرىدا گېلى ساقلانسا ، بۇ ھەم خىزمەت ئۆمرىگە ھەم باتارېيەنىڭ ئىقتىدارىغا تەسىر كۆرسىتىدۇ. ئەگەر تېمپېراتۇرا ئۆرلىسە ، باتارېيەنىڭ ئىچكى قۇرۇلمىسى بۇزۇلۇپ كېتىشى مۇمكىن.
rdc_brightness,ئېكراننىڭ يورۇقلۇق دەرىجىسىنى تۆۋەنلىتىڭ
display_explain,ئېكران كۆپ قىسىم ئېنېرگىيەنى خورىتىدىغان زاپچاسلارنىڭ بىرى. ئەڭ چوڭ يورۇقلۇقنى تۆۋەنلىتىش ئومۇمىي ئىستېمالنى ئازايتىپ ، كۆرۈنەرلىك تېجەپ قالغىلى بولىدۇ. يورۇقلۇقنى تۆۋەنلىتىشتىن بۇرۇن ، ئاپتوماتىك يورۇقلۇقنى توختىتىڭ ، بۇنداق بولغاندا يورۇقلۇق بىھۇدە ئۆزگەرمەيدۇ.
tst_charge,سىناق توك قاچىلىغۇچ
best_way_test,توك قاچىلىغۇچ ۋە كابېلنى سىناشنىڭ ئەڭ ياخشى ئۇسۇلى ئېكراننى تاقاپ توك قاچىلاش سۈرئىتىنى تەكشۈرۈش. ئېكران ئېچىلغاندا توك قاچىلاش سۈرئىتى ياخشى ئۆلچەم ئەمەس ، چۈنكى تېلېفونىڭىز توك سەرپ قىلىپ داۋالغۇشنى كەلتۈرۈپ چىقىرىدۇ. توك قاچىلىغۇچنى چېتىپ ، ئېكراننى بىر نەچچە مىنۇت ئېتىڭ ، ئاندىن ئەڭ چوڭ توك ئېقىمىنى تەكشۈرۈڭ.
wait_title,ساقلاش
rfsh_rate,يېڭىلاش نىسبىتى
low_sizty,يېڭىلاش نىسبىتىنى 60 Hz غا چۈشۈرۈش باتارېيەنىڭ ئۆمرىنى ياخشىلايدۇ.
drk_mode,قاراڭغۇ ھالەت
acti_dark_mode,قاراڭغۇ ھالەتنى قوزغىتىڭ ، قاراڭغۇ ھالەتتە توك سەرپىياتى تۆۋەن بولىدۇ
actz,ئاكتىپلاش
poz,قۇۋۋەت
minz,ئەڭ تۆۋەن
avgo,ئوتتۇرىچە
mixi1,ئەڭ چوڭ
msg_dis,دىئاگراممىنى تولۇق كۆرسىتىش ئۈچۈن يېتەرلىك سانلىق مەلۇمات بولسا 24 سائەتتىن كېيىن ئۇچۇر يوقاپ كېتىدۇ.
no_enough,كۆرسىتىشكە يېتەرلىك سانلىق مەلۇمات يوق
log_graph,بىر نەچچە سائەتتىن كېيىن سىز بۇ يەردە بىر گرافىكنى كۆرىسىز ، بۇ ئارقىلىق ئۆتكەن 24 سائەت ئىچىدە باتارېيەنىڭ تېمپېراتۇرىسى ، توك بېسىمى ، توك سەرپىياتى ۋە دەرىجىسىنى تەكشۈرەلەيسىز.
week,ھەپتە
buy_it,سېتىۋېلىش
one_pur,بىر قېتىملىق ھەق
refun_pur,سېتىۋېلىشنى 2 سائەت ئىچىدە قايتۇرغىلى بولىدۇ.
each_month,مۇشتەرىلىك ھەر ئايدا ئاپتوماتىك يېڭىلىنىدۇ ، ھەر ئايدا داۋاملىق خىراجەت قىلىدۇ. مۇشتەرىلىكنى خالىغان ۋاقىتتا ئەمەلدىن قالدۇرغىلى بولىدۇ.
mng_subs,مۇشتەرىلىكنى باشقۇرۇش
subsci,مۇشتەرى بولۇش
will_cost_week,مۇشتەرىلىك ھەر ھەپتە ئاپتوماتىك يېڭىلىنىدۇ ، ھەپتىسىگە داۋاملىق خىراجەت كېتىدۇ. مۇشتەرىلىكنى خالىغان ۋاقىتتا ئەمەلدىن قالدۇرغىلى بولىدۇ.
lfllong,ئۆمۈرلۈك
mthly,ئايلىق
wkly,ھەپتىلىك
hoto,قىزىق
prm_ben_title,سۇغۇرتا ھەققى
sync_title,ماس قەدەملەش
dis_sync_inc,ماس قەدەمنى چەكلەش مۇلازىمەتنى ئارقا سۇپىدا ماسقەدەملىمەي باتارېيەنىڭ ئۆمرىنى ئۇزارتىدۇ
time_out,Time out
dec_extend,ئېكراننى تاقاشتىن بۇرۇنقى ۋاقىتنى قىسقارتىش باتارېيەنىڭ ئۆمرىنى ئۇزارتىدۇ
u_end_opti,ئەلالاشتۇرۇش جەريانىنى ئاخىرلاشتۇرماقچىمۇ؟
no_why_perm,ئىجازەت يوق
bright_exp,باتارېيە باشقۇرغۇچى ئېكراننىڭ يورۇقلۇق دەرىجىسىنى تۆۋەنلىتىش ياكى كۆكچىشنى تاقاش ئۈچۈن سىستېما تەڭشىكىنى ئۆزگەرتىش ئىجازىتىنى تەلەپ قىلىدۇ.
tg_title,تېلېگرامما قانىلىغا قوشۇلۇڭ!
tg_text,ئەپ يېڭىلانمىلىرى بىلەن نۆۋەتتىكى ھالەتتە تۇرۇڭ ، بالدۇر قۇرۇڭ ۋە يېڭى ئىقتىدارلارنى سىناشقا ياردەم قىلىڭ. ئوي-پىكىرلىرىڭىزنى ئوتتۇرىغا قويۇڭ ، سوئال سوراڭ ۋە تېز جاۋابقا ئېرىشىڭ
join_tg,قوشۇلۇڭ
curr_consumption,نۆۋەتتىكى ئىستېمال
scrn_onn,ئېكراندا
srcn_off,ئېكران ئېتىۋېتىلدى
mob_charg,توك قاچىلاش
discha,توك چىقىرىش
activea,ئاكتىپ
slpmode,ئۇخلاش ھالىتى
chagingspeed,نۆۋەتتىكى توك قاچىلاش سۈرئىتى
dta_proxt,سانلىق مەلۇمات قوغداش
governs,بۇ مەخپىيەتلىك تۈزۈمى سىزنىڭ Baxolino قۇرغان كۆچمە ئۈسكۈنىلەرگە باتارېيە باشقۇرغۇچ يۇمشاق دېتالى ئىشلىتىشىڭىزنى باشقۇرىدۇ.
info_u_provide,ئىشلەتكۈچى تەمىنلىگەن ئۇچۇرلار
no_pass_per,شەخسىي ئۇچۇرلارنى ئۈچىنچى تەرەپكە يەتكۈزمەيمىز. بىزگە ئېلخەت يوللىسىڭىز ، بىزنىڭ ئېلېكترونلۇق خەت ئادرېسىڭىز بار ، ئەمما بىز ئۇنى پەقەت ئەپلىرىمىزگە ياردەم قىلىش ئۈچۈن ئىشلىتىمىز.
info_auto_coll,ئاپتوماتىك توپلانغان ئۇچۇرلار
exp_admob_use,بىز Google Admob نى ئېلان ئۈچۈن ئىشلىتىمىز. بۇ مۇلازىمەتلەرنىڭ ئىشلىتىلىشى https://www.google.com/policies/privacy/ دىكى Google سانلىق مەلۇمات قوغداش بەلگىلىمىلىرىگە بويسۇنىدۇ.
we_real_time,باتارېيە باشقۇرغۇچى ئۈسكۈنىدىن دەل ۋاقتىدا ئورۇن ئۇچۇرى توپلامدۇ؟
exp_loc_perm_man,باتارېيە باشقۇرغۇچ پەقەت ئورۇننىڭ قوزغىتىلغان ياكى توختىتىلغانلىقىنى تەكشۈرىدۇ ، ئەمما كۆچمە ئۈسكۈنىڭىزنىڭ ئورنى ھەققىدە ئېنىق ئۇچۇر توپلىمايدۇ. بۇ ئورۇننى ئاساس قىلغان ئىقتىدارلار سۈكۈتتىكى ھالەتتە تەڭشىلىدۇ. بۇ ئىقتىدارلارنى مۇناسىۋەتلىك ئۈسكۈنىڭىزنىڭ تەڭشىكىدە ئاكتىپلىيالايسىز ياكى قايتا قوزغىتالايسىز. ئەپلەرنى قاچىلاشتىن بۇرۇن ياكى كېيىن ، ئۈسكۈنىگە ئاساسەن سىز بۇ ئىقتىدارلارنى توختىتىۋېتىشنى ياكى ئاكتىپلاشنى خالامسىز؟ ئەگەر سىز بۇ ئورۇن مۇلازىمىتىنى ئاكتىپلىسىڭىز ، ئورنىڭىزغا مۇناسىۋەتلىك ئۇچۇرلارنى توپلىيالايمىز.
chng,ئۆزگەرتىش
pri_update_exp,بۇ مەخپىيەتلىك تۈزۈمى ھەر قانداق سەۋەب بىلەن پات-پات يېڭىلىنىشى مۇمكىن. يېڭى مەخپىيەتلىك تۈزۈمىنى بۇ تور ئادرېسىغا يوللاش ۋە ئەپتىكى ئۇچۇر ئارقىلىق سىزگە ئۇقتۇرۇش قىلىش ئارقىلىق مەخپىيەتلىك سىياسىتىمىزدىكى ئۆزگىرىشلەرنى سىزگە ئۇقتۇرىمىز. داۋاملىق ئىشلىتىش بارلىق ئۆزگەرتىشلەرنىڭ تەستىقى دەپ قارالغانلىقتىن ، ئۆزگەرتىش ئۈچۈن بۇ مەخپىيەتلىك تۈزۈمىدىن قەرەللىك مەسلىھەت سورىشىڭىز تەۋسىيە قىلىنىدۇ. بۇ سىياسەتنىڭ تارىخىنى بۇ تور بەتتىن كۆرەلەيسىز.
