title,Battery Manager Lite басқаша
dep_sleep,Терең ұйқы - бұл құрылғы батареяның ең аз мөлшерін пайдаланатын күй. Терең ұйқының ұзақтығы энергияны үнемдеуге оң әсер етеді. Терең ұйқыны фондық тапсырмалар үзуі мүмкін, бұл батареяның заряды тезірек бітеді. Бұл жағдайда құрылғыны қайта іске қосыңыз.
title_bat_temp,Батарея температурасы
bat_tempp,Батарея температурасы ең маңызды факторлардың бірі болып табылады. Батарея гельді жоғары температурада ұстаса, бұл батареяның қызмет ету мерзіміне де, өнімділігіне де әсер етеді. Температура көтерілсе, батареяның ішкі құрылымы зақымдалуы мүмкін.
rdc_brightness,Экран жарықтығын азайтыңыз
display_explain,Дисплей энергияның көп бөлігін тұтынатын құрамдастардың бірі болып табылады. Максималды жарықтылықты азайту жалпы тұтынуды азайтуға және айтарлықтай үнемдеуге көмектеседі. Жарықтықты азайтпас бұрын, жарықтық қажетсіз өзгертілмеуі үшін автоматты жарықтылықты өшіріңіз.
tst_charge,Сынақ зарядтағыш
best_way_test,Зарядтағыш пен кабельді тексерудің ең жақсы жолы - экран өшірулі күйде зарядтау жылдамдығын тексеру. Экран қосулы кезде зарядтау жылдамдығы жақсы көрсеткіш емес, себебі телефоныңыз қуатты тұтынады, бұл ауытқуларға әкеледі. Зарядтағышты розеткаға қосыңыз, экранды бірнеше минутқа өшіріңіз, содан кейін максималды зарядтау тогын тексеріңіз.
wait_title,Күтуде
rfsh_rate,Жаңарту жылдамдығы
low_sizty,Жаңарту жиілігін 60 Гц дейін төмендету батареяның қызмет ету мерзімін жақсартады.
drk_mode,Қараңғы режим
acti_dark_mode,Қараңғы режимді қосыңыз, қараңғы режимде тұтынылатын қуат аз
actz,Іске қосу
poz,Қуат
minz,Ең аз
avgo,Орташа
mixi1,Максимум
msg_dis,Диаграмманы толық көрсету үшін жеткілікті деректер болса, хабарлама 24 сағаттан кейін жоғалады.
no_enough,Көрсету үшін деректер жеткіліксіз
log_graph,Бірнеше сағаттан кейін сіз соңғы 24 сағаттағы батареяның температурасын, кернеуін, ток күшін және деңгейін тексеруге мүмкіндік беретін графикті көресіз.
week,апта
buy_it,Сатып алу
one_pur,Бір реттік төлем
refun_pur,сатып алған ақшаны 2 сағат ішінде қайтаруға болады.
each_month,Жазылым ай сайын автоматты түрде жаңартылады және ай сайынғы құны жалғасады. Жазылымнан кез келген уақытта бас тартуға болады.
mng_subs,жазылымды басқару
subsci,жазылу
will_cost_week,Жазылым апта сайын автоматты түрде жаңартылады және апта сайынғы құны жалғасады. Жазылымнан кез келген уақытта бас тартуға болады.
lfllong,өмір бойы
mthly,ай сайын
wkly,Апта сайын
hoto,Ыстық
prm_ben_title,Премиум артықшылықтар
sync_title,Синхрондау
dis_sync_inc,Синхрондауды өшіру қызметтерді фондық режимде синхрондамау арқылы батареяның қызмет ету мерзімін арттырады
time_out,Үзіліс
dec_extend,Дисплей өшкенге дейінгі уақытты азайту батареяның қызмет ету мерзімін ұзартады
u_end_opti,Оңтайландыру процесін аяқтағыңыз келетініне сенімдісіз бе?
no_why_perm,Рұқсат жоқ
bright_exp,Батарея реттеушісі экран жарықтығын азайту немесе Bluetooth өшіру үшін жүйе параметрлерін өзгерту рұқсатын талап етеді.
tg_title,Telegram каналына қосылыңыз!
tg_text,Қолданба жаңартуларынан хабардар болыңыз, ерте құрастыруларды алыңыз және жаңа мүмкіндіктерді сынауға көмектесіңіз. Өз идеяларыңызды ұсыныңыз, сұрақтар қойыңыз және тезірек жауап алыңыз
join_tg,қосылу
curr_consumption,ағымдағы тұтыну
scrn_onn,экран қосулы
srcn_off,экран өшірулі
mob_charg,Зарядталуда
discha,Зарядтау
activea,Белсенді
slpmode,Ұйқы режимі
chagingspeed,Ағымдағы зарядтау жылдамдығы
dta_proxt,Деректерді қорғау
governs,Бұл құпиялылық саясаты Baxolino жасаған мобильді құрылғыларға арналған Battery Manager бағдарламалық құралын пайдалануыңызды басқарады.
info_u_provide,Пайдаланушы ұсынған ақпарат
no_pass_per,Біз жеке деректерді үшінші тұлғаларға бермейміз. Бізге электрондық хат жіберген кезде, бізде сіздің электрондық пошта мекенжайыңыз бар, бірақ біз оны тек қолданбаларымызда көмектесу үшін пайдаланамыз.
info_auto_coll,Ақпарат автоматты түрде жиналады
exp_admob_use,Біз жарнамаларды көрсету үшін Google Admob жүйесін пайдаланамыз. Бұл қызметтерді пайдалану https://www.google.com/policies/privacy/ мекенжайындағы Google деректерін қорғау ережелеріне бағынады.
we_real_time,Battery Manager құрылғыдан нақты уақыттағы нақты орын туралы ақпаратты жинай ма?
exp_loc_perm_man,Battery Manger тек орынның қосылғанын немесе өшірілгенін тексереді, бірақ мобильді құрылғының орны туралы нақты ақпаратты жинамайды. Мұндай орынға негізделген функциялар әдепкі бойынша орнатылады. Бұл функцияларды тиісті құрылғының параметрлерінде өшіруге немесе қайта қосуға болады. Қолданбаларды орнатпас бұрын немесе орнатқаннан кейін құрылғыға байланысты сізден осы функцияларды өшіруді немесе белсендіруді қалайтыныңызды сұрайды. Егер сіз осындай орынды анықтау қызметтерін іске қоссаңыз, біз сіздің орналасқан жеріңіз туралы деректерді жинай аламыз.
chng,Өзгерістер
pri_update_exp,Бұл құпиялылық саясаты кез келген себеппен мезгіл-мезгіл жаңартылуы мүмкін. Осы веб-мекенжайда жаңа құпиялылық саясатын жариялау және қолданбадағы хабар арқылы хабарлау арқылы құпиялылық саясатымызға енгізілген өзгерістер туралы хабарлаймыз. Өзгерістер үшін осы Құпиялық саясатымен жүйелі түрде танысып тұру ұсынылады, себебі пайдалануды жалғастыру барлық өзгерістерді мақұлдау болып саналады. Осы веб-сайтта осы саясаттың тарихын қарап шығуға болады.
contct,Байланыс
any_que,Қолданбаны пайдалану кезінде деректерді қорғау туралы сұрақтарыңыз болса немесе біздің тәжірибемізге қатысты сұрақтарыңыз болса baxolino.de@gmail.com электрондық поштасына хат жіберіңіз.
mem_opti,Қолданбаларды сканерлеу және оңтайландыру үшін Battery Manager қолданбасына "жад" рұқсаты қажет. Бұл функцияларды тиісті құрылғының параметрлерінде өшіруге немесе қосуға болады. Қолданбаны орнатпас бұрын немесе орнатқаннан кейін сізден құрылғыға байланысты осы функцияларды өшіруді немесе белсендіруді қалайсыз ба сұралады.
storg,Сақтау
ble_set_acc,blue_set_perm,Battery Manager Bluetooth қосылғанын немесе өшірілгенін тексеру үшін "Bluetooth параметріне кіру" рұқсатын қажет етеді. Және Bluetooth қосу немесе өшіру үшін.
ble_title,Блютез
needz_del,Батарея менеджері қолданбаны жоюды бастау үшін "Бумаларды жоюды сұрау" рұқсатын талап етеді. Қолданба тек рұқсат етсеңіз ғана жойылады.
deletion_pkg,Пакеттерді жоюды сұрау
need_adnd,Мазаламау режимін қосу немесе өшіру үшін Battery Manager қолданбасы "Мазаламау" режиміне кіруді қажет етеді.
adnd,Мазаламау режиміне кіру
need_wlan_acc,Батарея менеджері WLAN қосылғанын немесе өшірілгенін тексере алуы үшін «WLAN қосылымдарын алу» мүмкіндігін қажет етеді. Және WLAN желісін қосу немесе өшіру.
wln_conn,WLAN қосылымдарын алыңыз
shop_bill_exp,Google Play In App Billing арқылы сатып алғанда, Google бізге тұрғылықты еліңізді, кейде штатты, қаланы және пошталық индексті береді, бірақ ешқашан толық мекенжайды көрсетпейді. Біз бұл ақпаратты салық және бухгалтерлік есеп ережелерін сақтау үшін пайдаланамыз.
pri_date,21.02.2021 жағдай бойынша
how_to_stop,Қолданбаны жою арқылы қолданба арқылы ақпараттың толық жинағын тоқтатуға болады. Мобильді құрылғының бөлігі ретінде немесе мобильді қолданбаларға арналған нарық немесе желі арқылы қолжетімді стандартты жою процестерін пайдалануға болады.
opt_out,Менің бас тарту құқықтарым қандай?
ur_permission,сіздің рұқсатыңыз
accept_privacy,Қолданбаны пайдалану арқылы сіз деректеріңізді осы құпиялылық саясатында көрсетілген және біз түзетулермен өңдеуімізге келісесіз.
